"Trade Date","Instrument","Symbol","Expiry Date","Open Price","High Price","Low Price","Close Price","Daily Settlement Price","Open Interest(OI)","No. of Contracts","Turnover ( Rs.)"
"27-Mar-2020","FUTENR","BRCRUDE","31-03-2020","    1946.00","    1946.00","    1906.00","    1906.00","    1933.00","               40","              40","             0.76"
"23-Mar-2020","FUTENR","BRCRUDE","31-03-2020","    2136.00","    2136.00","    2136.00","    2136.00","    1955.00","               80","               1","             0.02"
"13-Mar-2020","FUTENR","BRCRUDE","31-03-2020","    2517.00","    2517.00","    2517.00","    2517.00","    2637.00","               81","               4","             0.10"
"06-Mar-2020","FUTENR","BRCRUDE","31-03-2020","    3674.00","    3674.00","    3445.00","    3445.00","    3580.00","               81","             127","             4.56"
"05-Mar-2020","FUTENR","BRCRUDE","31-03-2020","    3830.00","    3830.00","    3734.00","    3734.00","    3734.00","               51","             158","             5.97"
"04-Mar-2020","FUTENR","BRCRUDE","31-03-2020","    3870.00","    3900.00","    3809.00","    3810.00","    3899.00","               61","             195","             7.54"
"03-Mar-2020","FUTENR","BRCRUDE","31-03-2020","    3880.00","    3936.00","    3831.00","    3834.00","    3907.00","               72","              26","             1.01"
"02-Mar-2020","FUTENR","BRCRUDE","31-03-2020","    3720.00","    3804.00","    3683.00","    3792.00","    3675.00","               73","             103","             3.86"
"28-Feb-2020","FUTENR","BRCRUDE","28-02-2020","    3678.00","    3678.00","    3678.00","    3678.00","    3643.00","               38","               1","             0.04"
"28-Feb-2020","FUTENR","BRCRUDE","31-03-2020","    3628.00","    3679.00","    3598.00","    3629.00","    3701.00","               57","             110","             4.02"
"27-Feb-2020","FUTENR","BRCRUDE","28-02-2020","    3775.00","    3775.00","    3663.00","    3678.00","    3742.00","               38","               4","             0.15"
"27-Feb-2020","FUTENR","BRCRUDE","31-03-2020","    3748.00","    3770.00","    3642.00","    3690.00","    3760.00","               11","              36","             1.33"
"26-Feb-2020","FUTENR","BRCRUDE","28-02-2020","    3963.00","    3963.00","    3875.00","    3875.00","    3880.00","               39","              34","             1.34"
"26-Feb-2020","FUTENR","BRCRUDE","31-03-2020","    3854.00","    3854.00","    3847.00","    3847.00","    3898.00","                0","              20","             0.77"
"25-Feb-2020","FUTENR","BRCRUDE","28-02-2020","    4062.00","    4073.00","    3988.00","    3992.00","    4043.00","               39","              57","             2.31"
"24-Feb-2020","FUTENR","BRCRUDE","28-02-2020","    4102.00","    4107.00","    4026.00","    4040.00","    4053.00","               54","              89","             3.62"
"21-Feb-2020","FUTENR","BRCRUDE","28-02-2020","    4194.00","    4204.00","    4173.00","    4195.00","    4187.00","               40","              14","             0.59"
"20-Feb-2020","FUTENR","BRCRUDE","28-02-2020","    4251.00","    4310.00","    4236.00","    4276.00","    4258.00","               42","              63","             2.69"
"19-Feb-2020","FUTENR","BRCRUDE","28-02-2020","    4176.00","    4207.00","    4156.00","    4184.00","    4192.00","               61","              47","             1.96"
"18-Feb-2020","FUTENR","BRCRUDE","28-02-2020","    4076.00","    4110.00","    4039.00","    4070.00","    4053.00","               60","              55","             2.24"
"17-Feb-2020","FUTENR","BRCRUDE","28-02-2020","    4094.00","    4108.00","    4085.00","    4108.00","    4105.00","               40","              49","             2.01"
"14-Feb-2020","FUTENR","BRCRUDE","28-02-2020","    4032.00","    4098.00","    4030.00","    4083.00","    4083.00","               50","              35","             1.42"
"13-Feb-2020","FUTENR","BRCRUDE","28-02-2020","    3994.00","    4027.00","    3941.00","    4001.00","    3966.00","               40","              79","             3.15"
"12-Feb-2020","FUTENR","BRCRUDE","28-02-2020","    3921.00","    4013.00","    3918.00","    3997.00","    3948.00","               41","              82","             3.25"
"11-Feb-2020","FUTENR","BRCRUDE","28-02-2020","    3851.00","    3895.00","    3838.00","    3894.00","    3881.00","               54","              96","             3.72"
"10-Feb-2020","FUTENR","BRCRUDE","28-02-2020","    3895.00","    3897.00","    3850.00","    3850.00","    3887.00","               54","              55","             2.13"
