"Date","Total Returns Index"
"02-Jan-2017","11031.91"
"03-Jan-2017","11049.08"
"04-Jan-2017","11046.76"
"05-Jan-2017","11159.12"
"06-Jan-2017","11118.62"
"09-Jan-2017","11108.2"
"10-Jan-2017","11179.04"
"11-Jan-2017","11303.19"
"12-Jan-2017","11339.04"
"13-Jan-2017","11329.78"
"16-Jan-2017","11346.57"
"17-Jan-2017","11326.62"
"18-Jan-2017","11352.22"
"19-Jan-2017","11376.62"
"20-Jan-2017","11260.99"
"23-Jan-2017","11319.09"
"24-Jan-2017","11432.83"
"25-Jan-2017","11604.09"
"27-Jan-2017","11656"
"30-Jan-2017","11644.53"
"31-Jan-2017","11548.15"
"01-Feb-2017","11758.63"
"02-Feb-2017","11784.61"
"03-Feb-2017","11793.62"
"06-Feb-2017","11874.73"
"07-Feb-2017","11832.78"
"08-Feb-2017","11833.8"
"09-Feb-2017","11846.42"
"10-Feb-2017","11866.82"
"13-Feb-2017","11882.38"
"14-Feb-2017","11865.43"
"15-Feb-2017","11776.57"
"16-Feb-2017","11849.55"
"17-Feb-2017","11908.56"
"20-Feb-2017","11986.21"
"21-Feb-2017","12024.88"
"22-Feb-2017","12050.54"
"23-Feb-2017","12067.61"
"27-Feb-2017","12009.8"
"28-Feb-2017","11990.44"
"01-Mar-2017","12079.8"
"02-Mar-2017","12017.63"
"03-Mar-2017","12014.7"
"06-Mar-2017","12103.68"
"07-Mar-2017","12081.34"
"08-Mar-2017","12050.77"
"09-Mar-2017","12056.17"
"10-Mar-2017","12066.4"
"14-Mar-2017","12281.22"
"15-Mar-2017","12278.23"
"16-Mar-2017","12374.48"
"17-Mar-2017","12383.04"
"20-Mar-2017","12338.14"
"21-Mar-2017","12330.92"
"22-Mar-2017","12207.85"
"23-Mar-2017","12283.35"
"24-Mar-2017","12314.98"
"27-Mar-2017","12230.63"
"28-Mar-2017","12305.77"
"29-Mar-2017","12363.95"
"30-Mar-2017","12404.41"
"31-Mar-2017","12406.69"
"03-Apr-2017","12493.39"
"05-Apr-2017","12530.31"
"06-Apr-2017","12525.97"
"07-Apr-2017","12439.9"
"10-Apr-2017","12417.07"
"11-Apr-2017","12492.24"
"12-Apr-2017","12446.84"
"13-Apr-2017","12375.68"
"17-Apr-2017","12360.11"
"18-Apr-2017","12313.9"
"19-Apr-2017","12311.67"
"20-Apr-2017","12356.2"
"21-Apr-2017","12333.17"
"24-Apr-2017","12466.46"
"25-Apr-2017","12586.34"
"26-Apr-2017","12647.53"
"27-Apr-2017","12634.41"
"28-Apr-2017","12582.88"
"02-May-2017","12596.08"
"03-May-2017","12593.58"
"04-May-2017","12659.51"
"05-May-2017","12558.6"
"08-May-2017","12597.5"
"09-May-2017","12601.23"
"10-May-2017","12723.6"
"11-May-2017","12743.99"
"12-May-2017","12714.97"
"15-May-2017","12775.11"
"16-May-2017","12865.56"
"17-May-2017","12883.83"
"18-May-2017","12753.55"
"19-May-2017","12751.43"
"22-May-2017","12765.48"
"23-May-2017","12695.02"
"24-May-2017","12661.62"
"25-May-2017","12863.38"
"26-May-2017","12981.79"
"29-May-2017","12996.61"
"30-May-2017","13023.19"
"31-May-2017","13018.69"
"01-Jun-2017","13022.35"
"02-Jun-2017","13072.98"
"05-Jun-2017","13116.78"
"06-Jun-2017","13065.33"
"07-Jun-2017","13101.62"
"08-Jun-2017","13079.63"
"09-Jun-2017","13108.12"
