,Date,Instrument,Symbol,Expiry_Date,Open_Price,High_Price,Low_Price,Close_Price,Daily_Settlement_Price,Open_Interest,No_of_Contracts,Turnover
0,2019-12-31,FUTENR,BRCRUDE,31-01-2020,4751.0,4764.0,4751.0,4764.0,4898.0,2,2,0.1
1,2019-12-30,FUTENR,BRCRUDE,30-12-2019,4867.0,4910.0,4867.0,4910.0,4874.0,2,7,0.34
2,2019-12-27,FUTENR,BRCRUDE,30-12-2019,4856.0,4863.0,4856.0,4863.0,4856.0,3,9,0.44
3,2019-12-26,FUTENR,BRCRUDE,30-12-2019,4802.0,4802.0,4802.0,4802.0,4719.0,3,1,0.05
4,2019-12-24,FUTENR,BRCRUDE,30-12-2019,4731.0,4731.0,4728.0,4728.0,4721.0,4,4,0.19
5,2019-12-23,FUTENR,BRCRUDE,30-12-2019,4683.0,4712.0,4681.0,4710.0,4718.0,4,6,0.28
6,2019-12-20,FUTENR,BRCRUDE,30-12-2019,4731.0,4736.0,4710.0,4720.0,4736.0,5,11,0.52
7,2019-12-19,FUTENR,BRCRUDE,30-12-2019,4690.0,4707.0,4690.0,4706.0,4723.0,5,11,0.52
8,2019-12-18,FUTENR,BRCRUDE,30-12-2019,4677.0,4677.0,4664.0,4673.0,4694.0,5,8,0.37
9,2019-12-17,FUTENR,BRCRUDE,30-12-2019,4632.0,4636.0,4632.0,4636.0,4668.0,4,2,0.09
10,2019-12-16,FUTENR,BRCRUDE,30-12-2019,4637.0,4637.0,4637.0,4637.0,4655.0,4,1,0.05
11,2019-12-13,FUTENR,BRCRUDE,30-12-2019,4562.0,4614.0,4562.0,4576.0,4618.0,5,8,0.37
12,2019-12-12,FUTENR,BRCRUDE,30-12-2019,4517.0,4517.0,4517.0,4517.0,4566.0,1,1,0.05
13,2019-12-10,FUTENR,BRCRUDE,30-12-2019,4530.0,4530.0,4530.0,4530.0,4564.0,2,1,0.05
14,2019-12-09,FUTENR,BRCRUDE,30-12-2019,4562.0,4565.0,4552.0,4565.0,4559.0,1,8,0.36
15,2019-12-06,FUTENR,BRCRUDE,30-12-2019,4501.0,4583.0,4500.0,4583.0,4541.0,1,12,0.54
16,2019-12-05,FUTENR,BRCRUDE,30-12-2019,4533.0,4533.0,4533.0,4533.0,4561.0,3,1,0.05
17,2019-12-03,FUTENR,BRCRUDE,30-12-2019,4380.0,4380.0,4380.0,4380.0,4382.0,4,1,0.04
18,2019-12-02,FUTENR,BRCRUDE,30-12-2019,4446.0,4450.0,4379.0,4379.0,4469.0,3,4,0.18
19,2019-11-29,FUTENR,BRCRUDE,30-12-2019,4522.0,4532.0,4510.0,4512.0,4571.0,3,9,0.41
20,2019-11-28,FUTENR,BRCRUDE,29-11-2019,4561.0,4577.0,4533.0,4533.0,4557.0,7,7,0.32
21,2019-11-26,FUTENR,BRCRUDE,29-11-2019,4565.0,4565.0,4557.0,4564.0,4574.0,7,4,0.18
22,2019-11-25,FUTENR,BRCRUDE,29-11-2019,4560.0,4560.0,4559.0,4559.0,4548.0,7,2,0.09
23,2019-11-22,FUTENR,BRCRUDE,29-11-2019,4578.0,4580.0,4578.0,4580.0,4606.0,7,2,0.09
24,2019-11-20,FUTENR,BRCRUDE,29-11-2019,4406.0,4406.0,4406.0,4406.0,4390.0,8,10,0.44
25,2019-11-19,FUTENR,BRCRUDE,29-11-2019,4475.0,4485.0,4417.0,4417.0,4459.0,18,47,2.09
26,2019-11-18,FUTENR,BRCRUDE,29-11-2019,4494.0,4495.0,4493.0,4495.0,4548.0,18,20,0.9
27,2019-11-15,FUTENR,BRCRUDE,29-11-2019,4486.0,4492.0,4479.0,4479.0,4459.0,10,22,0.99
28,2019-11-14,FUTENR,BRCRUDE,29-11-2019,4527.0,4527.0,4527.0,4527.0,4558.0,20,2,0.09
29,2019-11-13,FUTENR,BRCRUDE,29-11-2019,4434.0,4462.0,4434.0,4448.0,4403.0,20,54,2.4
30,2019-11-08,FUTENR,BRCRUDE,29-11-2019,4384.0,4384.0,4384.0,4384.0,4392.0,30,10,0.44
31,2019-11-06,FUTENR,BRCRUDE,29-11-2019,4477.0,4477.0,4477.0,4477.0,4466.0,40,10,0.45
32,2019-11-05,FUTENR,BRCRUDE,29-11-2019,4400.0,4400.0,4387.0,4387.0,4462.0,30,2,0.09
33,2019-11-04,FUTENR,BRCRUDE,29-11-2019,4421.0,4429.0,4421.0,4426.0,4440.0,30,36,1.59
34,2019-10-31,FUTENR,BRCRUDE,31-10-2019,4313.0,4321.0,4313.0,4321.0,4261.0,5,3,0.13
35,2019-10-30,FUTENR,BRCRUDE,31-10-2019,4361.0,4361.0,4350.0,4350.0,4378.0,5,40,1.74
36,2019-10-25,FUTENR,BRCRUDE,31-10-2019,4355.0,4357.0,4355.0,4357.0,4379.0,20,2,0.09
37,2019-10-24,FUTENR,BRCRUDE,31-10-2019,4306.0,4349.0,4304.0,4340.0,4339.0,20,29,1.26
38,2019-10-23,FUTENR,BRCRUDE,31-10-2019,4213.0,4213.0,4212.0,4212.0,4209.0,3,2,0.08
39,2019-10-22,FUTENR,BRCRUDE,31-10-2019,4199.0,4199.0,4196.0,4196.0,4208.0,3,2,0.08
40,2019-10-17,FUTENR,BRCRUDE,31-10-2019,4209.0,4209.0,4180.0,4192.0,4231.0,3,4,0.17
41,2019-10-16,FUTENR,BRCRUDE,31-10-2019,4200.0,4219.0,4200.0,4219.0,4204.0,3,6,0.25
42,2019-10-15,FUTENR,BRCRUDE,31-10-2019,4206.0,4207.0,4205.0,4206.0,4190.0,3,31,1.3
43,2019-10-10,FUTENR,BRCRUDE,31-10-2019,4138.0,4138.0,4138.0,4138.0,4152.0,30,1,0.04
44,2019-10-09,FUTENR,BRCRUDE,31-10-2019,4192.0,4214.0,4192.0,4214.0,4196.0,31,31,1.3
45,2019-09-30,FUTENR,BRCRUDE,30-09-2019,4306.0,4345.0,4306.0,4331.0,4293.0,46,36,1.56
46,2019-09-27,FUTENR,BRCRUDE,30-09-2019,4406.0,4406.0,4328.0,4334.0,4416.0,12,4,0.17
47,2019-09-26,FUTENR,BRCRUDE,30-09-2019,4407.0,4408.0,4407.0,4408.0,4439.0,10,2,0.09
48,2019-09-25,FUTENR,BRCRUDE,30-09-2019,4406.0,4408.0,4376.0,4376.0,4419.0,10,10,0.44
49,2019-09-24,FUTENR,BRCRUDE,30-09-2019,4549.0,4549.0,4520.0,4520.0,4548.0,10,5,0.23
50,2019-09-20,FUTENR,BRCRUDE,30-09-2019,4609.0,4609.0,4609.0,4609.0,4617.0,10,1,0.05
51,2019-09-19,FUTENR,BRCRUDE,30-09-2019,4536.0,4663.0,4536.0,4636.0,4619.0,10,7,0.32
52,2019-09-18,FUTENR,BRCRUDE,30-09-2019,4604.0,4605.0,4520.0,4554.0,4896.0,10,18,0.82
53,2019-09-17,FUTENR,BRCRUDE,30-09-2019,4912.0,4945.0,4611.0,4678.0,4926.0,10,32,1.54
54,2019-09-16,FUTENR,BRCRUDE,30-09-2019,4736.0,4792.0,4647.0,4745.0,4757.0,5,131,6.21
55,2019-09-13,FUTENR,BRCRUDE,30-09-2019,4278.0,4278.0,4278.0,4278.0,4293.0,98,1,0.04
56,2019-09-12,FUTENR,BRCRUDE,30-09-2019,4374.0,4374.0,4325.0,4325.0,4337.0,98,35,1.52
57,2019-09-11,FUTENR,BRCRUDE,30-09-2019,4507.0,4523.0,4348.0,4360.0,4542.0,130,16,0.71
58,2019-09-10,FUTENR,BRCRUDE,30-09-2019,4568.0,4571.0,4568.0,4571.0,4529.0,131,2,0.09
59,2019-09-09,FUTENR,BRCRUDE,30-09-2019,4463.0,4512.0,4425.0,4512.0,4458.0,130,36,1.6
60,2019-09-06,FUTENR,BRCRUDE,30-09-2019,4396.0,4397.0,4271.0,4294.0,4355.0,133,97,4.22
61,2019-09-05,FUTENR,BRCRUDE,30-09-2019,4361.0,4451.0,4349.0,4404.0,4411.0,196,121,5.29
62,2019-09-04,FUTENR,BRCRUDE,30-09-2019,4221.0,4320.0,4220.0,4318.0,4254.0,300,44,1.9
63,2019-09-02,FUTENR,BRCRUDE,30-09-2019,4280.0,4284.0,4244.0,4252.0,4256.0,258,35,1.49
64,2019-08-30,FUTENR,BRCRUDE,30-08-2019,4344.0,4361.0,4250.0,4286.0,4333.0,248,109,4.71
65,2019-08-30,FUTENR,BRCRUDE,30-09-2019,4340.0,4340.0,4258.0,4262.0,4393.0,231,7,0.3
66,2019-08-29,FUTENR,BRCRUDE,30-08-2019,4319.0,4342.0,4311.0,4339.0,4355.0,156,154,6.66
67,2019-08-29,FUTENR,BRCRUDE,30-09-2019,4337.0,4344.0,4332.0,4334.0,4377.0,231,81,3.51
68,2019-08-28,FUTENR,BRCRUDE,30-08-2019,4285.0,4357.0,4285.0,4338.0,4319.0,18,54,2.34
69,2019-08-28,FUTENR,BRCRUDE,30-09-2019,4288.0,4360.0,4288.0,4360.0,4340.0,156,11,0.47
70,2019-08-27,FUTENR,BRCRUDE,30-09-2019,4235.0,4235.0,4235.0,4235.0,4278.0,156,2,0.08
71,2019-08-26,FUTENR,BRCRUDE,30-08-2019,4230.0,4231.0,4230.0,4231.0,4266.0,18,2,0.08
72,2019-08-26,FUTENR,BRCRUDE,30-09-2019,4226.0,4313.0,4226.0,4253.0,4287.0,156,46,1.96
73,2019-08-23,FUTENR,BRCRUDE,30-08-2019,4272.0,4280.0,4188.0,4244.0,4297.0,18,23,0.97
74,2019-08-23,FUTENR,BRCRUDE,30-09-2019,4207.0,4250.0,4207.0,4250.0,4319.0,116,2,0.08
75,2019-08-22,FUTENR,BRCRUDE,30-08-2019,4359.0,4359.0,4350.0,4350.0,4358.0,15,4,0.17
76,2019-08-22,FUTENR,BRCRUDE,30-09-2019,4320.0,4363.0,4320.0,4363.0,4380.0,116,3,0.13
77,2019-08-21,FUTENR,BRCRUDE,30-08-2019,4358.0,4379.0,4316.0,4316.0,4368.0,15,32,1.39
78,2019-08-21,FUTENR,BRCRUDE,30-09-2019,4355.0,4355.0,4355.0,4355.0,4389.0,116,1,0.04
79,2019-08-20,FUTENR,BRCRUDE,30-08-2019,4266.0,4274.0,4230.0,4231.0,4289.0,26,45,1.91
80,2019-08-20,FUTENR,BRCRUDE,30-09-2019,4289.0,4292.0,4245.0,4277.0,4311.0,116,116,4.95
81,2019-08-19,FUTENR,BRCRUDE,30-08-2019,4211.0,4214.0,4209.0,4210.0,4226.0,26,50,2.11
82,2019-08-16,FUTENR,BRCRUDE,30-08-2019,4212.0,4218.0,4157.0,4157.0,4225.0,76,10,0.42
83,2019-08-14,FUTENR,BRCRUDE,30-08-2019,4310.0,4340.0,4305.0,4305.0,4255.0,76,34,1.47
84,2019-08-13,FUTENR,BRCRUDE,30-08-2019,4160.0,4215.0,4148.0,4215.0,4179.0,103,63,2.62
85,2019-08-09,FUTENR,BRCRUDE,30-08-2019,4046.0,4162.0,4046.0,4162.0,4109.0,133,6,0.24
86,2019-08-08,FUTENR,BRCRUDE,30-08-2019,4120.0,4122.0,4030.0,4082.0,4069.0,132,20,0.81
87,2019-08-07,FUTENR,BRCRUDE,30-08-2019,4180.0,4193.0,4080.0,4096.0,4185.0,132,169,7.03
88,2019-08-06,FUTENR,BRCRUDE,30-08-2019,4267.0,4288.0,4264.0,4288.0,4261.0,0,6,0.26
89,2019-08-05,FUTENR,BRCRUDE,30-08-2019,4313.0,4315.0,4312.0,4315.0,4331.0,0,6,0.26
90,2019-08-02,FUTENR,BRCRUDE,30-08-2019,4300.0,4376.0,4300.0,4373.0,4305.0,0,14,0.61
91,2019-08-01,FUTENR,BRCRUDE,30-08-2019,4466.0,4466.0,4406.0,4413.0,4476.0,0,34,1.51
92,2019-07-31,FUTENR,BRCRUDE,31-07-2019,4500.0,4500.0,4492.0,4499.0,4490.0,84,110,4.95
