"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"ADANIPORTS","02-Jul-2012","26-Jul-2012","122.5","126.4","122.25","125.4","125.15","125.4","684","1702.87","5948000","-32000","        124.75"
"ADANIPORTS","02-Jul-2012","30-Aug-2012","125","125","125","125","125","126.7","4","9.95","10000","6000","        124.75"
"ADANIPORTS","02-Jul-2012","27-Sep-2012","0","0","0","122.3","0","127.6","0","0","0","0","        124.75"
"ADANIPORTS","03-Jul-2012","26-Jul-2012","127.35","127.5","124.15","124.5","124.4","124.5","335","842.37","5910000","-38000","        124.05"
"ADANIPORTS","03-Jul-2012","30-Aug-2012","0","0","0","125","125","125.95","1","2.5","12000","2000","        124.05"
"ADANIPORTS","03-Jul-2012","27-Sep-2012","0","0","0","122.3","0","126.85","0","0","0","0","        124.05"
"ADANIPORTS","04-Jul-2012","26-Jul-2012","125.25","125.9","123.5","125.3","125.35","125.3","288","719.08","5970000","60000","        124.60"
"ADANIPORTS","04-Jul-2012","30-Aug-2012","0","0","0","125","125","126.45","1","2.49","14000","2000","        124.60"
"ADANIPORTS","04-Jul-2012","27-Sep-2012","0","0","0","122.3","0","127.4","0","0","0","0","        124.60"
"ADANIPORTS","05-Jul-2012","26-Jul-2012","124.4","127","124.2","124.9","124.55","124.9","433","1085.79","6086000","116000","        123.95"
"ADANIPORTS","05-Jul-2012","30-Aug-2012","0","0","0","124.5","125","124.5","4","9.99","20000","6000","        123.95"
"ADANIPORTS","05-Jul-2012","27-Sep-2012","0","0","0","122.3","0","126.7","0","0","0","0","        123.95"
"ADANIPORTS","06-Jul-2012","26-Jul-2012","124.1","124.3","121.7","123.1","123.2","123.1","347","852.28","6130000","44000","        122.60"
"ADANIPORTS","06-Jul-2012","30-Aug-2012","123.1","123.1","122","122.55","122","122.55","19","46.34","50000","30000","        122.60"
"ADANIPORTS","06-Jul-2012","27-Sep-2012","0","0","0","122.3","0","125.25","0","0","0","0","        122.60"
"ADANIPORTS","09-Jul-2012","26-Jul-2012","122.25","122.25","120.45","121.75","121.5","121.75","165","400.28","6078000","-52000","        121.45"
"ADANIPORTS","09-Jul-2012","30-Aug-2012","121","121.1","120","121.1","121.1","121.1","22","53.09","78000","28000","        121.45"
"ADANIPORTS","09-Jul-2012","27-Sep-2012","0","0","0","122.3","0","124","0","0","0","0","        121.45"
"ADANIPORTS","10-Jul-2012","26-Jul-2012","122.1","123","120.6","121.95","122.2","121.95","259","631.58","6138000","60000","        121.40"
"ADANIPORTS","10-Jul-2012","30-Aug-2012","121.55","121.65","120.7","121.35","121.3","121.35","11","26.67","98000","20000","        121.40"
"ADANIPORTS","10-Jul-2012","27-Sep-2012","0","0","0","122.3","0","123.9","0","0","0","0","        121.40"
"ADANIPORTS","11-Jul-2012","26-Jul-2012","121.05","123","121","121.15","121.1","121.15","233","567.3","6218000","80000","        120.55"
"ADANIPORTS","11-Jul-2012","30-Aug-2012","122.5","122.5","121.05","120.85","121.2","120.85","32","77.71","154000","56000","        120.55"
"ADANIPORTS","11-Jul-2012","27-Sep-2012","0","0","0","122.3","0","123","0","0","0","0","        120.55"
"ADANIPORTS","12-Jul-2012","26-Jul-2012","119.75","120.25","118.1","119.2","119.3","119.2","216","513.29","6192000","-26000","        118.85"
"ADANIPORTS","12-Jul-2012","30-Aug-2012","119.95","119.95","117.75","118.65","118.65","118.65","24","56.76","178000","24000","        118.85"
"ADANIPORTS","12-Jul-2012","27-Sep-2012","0","0","0","122.3","0","121.25","0","0","0","0","        118.85"
"ADANIPORTS","13-Jul-2012","26-Jul-2012","118.9","120.65","117.15","118","117.35","118","1025","2451.31","6322000","130000","        117.50"
"ADANIPORTS","13-Jul-2012","30-Aug-2012","119.8","120","116.6","117.25","116.6","117.25","627","1491.56","1142000","964000","        117.50"
"ADANIPORTS","13-Jul-2012","27-Sep-2012","0","0","0","122.3","0","119.85","0","0","0","0","        117.50"
"ADANIPORTS","16-Jul-2012","26-Jul-2012","118.05","118.25","115.45","115.7","115.65","115.7","474","1100.39","6658000","336000","        115.50"
"ADANIPORTS","16-Jul-2012","30-Aug-2012","117.1","117.1","114.5","115","115.1","115","298","686.76","1630000","488000","        115.50"
"ADANIPORTS","16-Jul-2012","27-Sep-2012","0","0","0","122.3","0","117.7","0","0","0","0","        115.50"
"ADANIPORTS","17-Jul-2012","26-Jul-2012","116.05","116.2","112.55","113.3","113.85","113.3","748","1704.21","6918000","260000","        113.55"
"ADANIPORTS","17-Jul-2012","30-Aug-2012","115.45","115.45","112.25","112.55","113.3","112.55","352","796.47","2166000","536000","        113.55"
"ADANIPORTS","17-Jul-2012","27-Sep-2012","0","0","0","122.3","0","115.7","0","0","0","0","        113.55"
"ADANIPORTS","18-Jul-2012","26-Jul-2012","113.65","114.3","111.15","113.5","113.75","113.5","855","1934.55","7166000","248000","        113.00"
"ADANIPORTS","18-Jul-2012","30-Aug-2012","113.5","113.6","110.7","112.75","112.95","112.75","413","929.22","2750000","584000","        113.00"
"ADANIPORTS","18-Jul-2012","27-Sep-2012","0","0","0","122.3","0","115.1","0","0","0","0","        113.00"
"ADANIPORTS","19-Jul-2012","26-Jul-2012","105.6","114.8","105.6","112.3","112.05","112.3","2165","4925.73","6862000","-304000","        111.95"
"ADANIPORTS","19-Jul-2012","30-Aug-2012","113.6","114.1","111.35","111.8","112","111.8","1866","4223.87","4274000","1524000","        111.95"
"ADANIPORTS","19-Jul-2012","27-Sep-2012","0","0","0","122.3","0","114","0","0","0","0","        111.95"
"ADANIPORTS","20-Jul-2012","26-Jul-2012","112.15","114.6","111.4","113.7","113.8","113.7","361","816.28","6680000","-182000","        113.85"
"ADANIPORTS","20-Jul-2012","30-Aug-2012","111.9","114.1","111","113.3","113.4","113.3","130","292.61","4300000","26000","        113.85"
"ADANIPORTS","20-Jul-2012","27-Sep-2012","0","0","0","122.3","0","115.9","0","0","0","0","        113.85"
"ADANIPORTS","23-Jul-2012","26-Jul-2012","112.1","113","109.25","112.7","112.8","112.7","556","1248.54","6200000","-480000","        112.45"
"ADANIPORTS","23-Jul-2012","30-Aug-2012","110.9","112.7","109.6","112.25","112.5","112.25","318","712.09","4268000","-32000","        112.45"
"ADANIPORTS","23-Jul-2012","27-Sep-2012","0","0","0","122.3","0","114.35","0","0","0","0","        112.45"
"ADANIPORTS","24-Jul-2012","26-Jul-2012","112.7","116.6","112.7","116.4","116.25","116.4","2459","5675.9","2468000","-3732000","        117.00"
"ADANIPORTS","24-Jul-2012","30-Aug-2012","112.7","116.35","112.7","116.15","116","116.15","2136","4919.93","4464000","196000","        117.00"
"ADANIPORTS","24-Jul-2012","27-Sep-2012","0","0","0","122.3","0","118.95","0","0","0","0","        117.00"
"ADANIPORTS","25-Jul-2012","26-Jul-2012","115.95","116.35","114.5","115.3","115.35","115.3","697","1608.02","1412000","-1056000","        115.20"
"ADANIPORTS","25-Jul-2012","30-Aug-2012","115.9","115.9","114.1","115.05","115.2","115.05","626","1440.39","5156000","692000","        115.20"
"ADANIPORTS","25-Jul-2012","27-Sep-2012","0","0","0","122.3","0","117.1","0","0","0","0","        115.20"
"ADANIPORTS","26-Jul-2012","26-Jul-2012","115.25","118.9","114.25","117.7","117.8","117.85","974","2282.72","902000","-510000","        117.85"
