"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"ADANIPORTS","02-Mar-2015","26-Mar-2015","334.8","338","328.25","333","334","333","6538","21729.73","10284000","845000","        330.35"
"ADANIPORTS","02-Mar-2015","30-Apr-2015","338.6","338.6","331.65","335.75","337","335.75","39","130.88","148000","9000","        330.35"
"ADANIPORTS","02-Mar-2015","28-May-2015","337.05","337.05","337.05","337.05","337.05","337.3","1","3.37","2000","1000","        330.35"
"ADANIPORTS","03-Mar-2015","26-Mar-2015","333","340.8","333","337.9","337.05","337.9","5230","17681.3","10029000","-255000","        336.55"
"ADANIPORTS","03-Mar-2015","30-Apr-2015","337.75","342","336.8","340.9","339.45","340.9","29","98.44","148000","0","        336.55"
"ADANIPORTS","03-Mar-2015","28-May-2015","0","0","0","337.05","337.05","343.5","0","0","2000","0","        336.55"
"ADANIPORTS","04-Mar-2015","26-Mar-2015","341","344.35","331.2","333.25","332.2","333.25","4950","16793.3","9828000","-201000","        332.00"
"ADANIPORTS","04-Mar-2015","30-Apr-2015","342","346","334.1","336.5","335","336.5","190","645.85","278000","130000","        332.00"
"ADANIPORTS","04-Mar-2015","28-May-2015","0","0","0","337.05","337.05","338.7","100","342.1","102000","100000","        332.00"
"ADANIPORTS","05-Mar-2015","26-Mar-2015","333.85","336.25","328.7","334.1","334.1","334.1","2922","9735.21","9824000","-4000","        333.05"
"ADANIPORTS","05-Mar-2015","30-Apr-2015","336.45","337.5","331.5","336.2","336.5","336.2","38","127.28","294000","16000","        333.05"
"ADANIPORTS","05-Mar-2015","28-May-2015","335","343.8","335","343.8","343.8","339.6","8","26.86","110000","8000","        333.05"
"ADANIPORTS","09-Mar-2015","26-Mar-2015","332","336.95","324.45","325.7","325","325.7","3439","11343.14","9629000","-195000","        325.00"
"ADANIPORTS","09-Mar-2015","30-Apr-2015","338.85","339","327.15","327.8","327.15","327.8","45","149.16","295000","1000","        325.00"
"ADANIPORTS","09-Mar-2015","28-May-2015","330","330","330","330","330","330","6","20.34","106000","-4000","        325.00"
"ADANIPORTS","10-Mar-2015","26-Mar-2015","326","329.5","315.7","319.15","320","319.15","3255","10516.76","9572000","-57000","        317.55"
"ADANIPORTS","10-Mar-2015","30-Apr-2015","328","331","318.7","321.5","322.1","321.5","75","243.25","318000","23000","        317.55"
"ADANIPORTS","10-Mar-2015","28-May-2015","0","0","0","330","330","323.45","1","3.32","105000","-1000","        317.55"
"ADANIPORTS","11-Mar-2015","26-Mar-2015","319.15","319.15","304.35","310.05","309.5","310.05","7264","22565.92","10043000","471000","        307.80"
