"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"ADANIPORTS","02-May-2013","30-May-2013","146","149.7","145.15","147.25","147.65","147.25","436","1285.02","1998000","24000","        146.30"
"ADANIPORTS","02-May-2013","27-Jun-2013","150","150","146.9","148.1","148.1","148.1","8","23.62","16000","10000","        146.30"
"ADANIPORTS","02-May-2013","25-Jul-2013","0","0","0","148.7","0","149.3","0","0","0","0","        146.30"
"ADANIPORTS","03-May-2013","30-May-2013","148.7","158.4","148.7","155.1","155.3","155.1","2186","6692.79","2408000","410000","        155.55"
"ADANIPORTS","03-May-2013","27-Jun-2013","149.95","156.8","149.95","156.05","156","156.05","7","21.44","24000","8000","        155.55"
"ADANIPORTS","03-May-2013","25-Jul-2013","0","0","0","148.7","0","158.55","0","0","0","0","        155.55"
"ADANIPORTS","06-May-2013","30-May-2013","157","157","151.55","153.15","153.65","153.15","1058","3259.69","2538000","130000","        152.45"
"ADANIPORTS","06-May-2013","27-Jun-2013","156.15","156.25","153.5","154.35","154.35","154.3","9","27.92","28000","4000","        152.45"
"ADANIPORTS","06-May-2013","25-Jul-2013","0","0","0","148.7","0","155.3","0","0","0","0","        152.45"
"ADANIPORTS","07-May-2013","30-May-2013","152.35","153.4","148","151.2","151.5","151.2","626","1888.67","2532000","-6000","        150.35"
"ADANIPORTS","07-May-2013","27-Jun-2013","150.45","152","150.45","151.5","151.5","152.15","6","18.17","34000","6000","        150.35"
"ADANIPORTS","07-May-2013","25-Jul-2013","0","0","0","148.7","0","153.15","0","0","0","0","        150.35"
"ADANIPORTS","08-May-2013","30-May-2013","151.85","155.3","150.25","154.7","154.6","154.7","801","2458.61","2428000","-104000","        154.40"
"ADANIPORTS","08-May-2013","27-Jun-2013","153.4","154.8","152.8","154.5","154.5","156.2","5","15.4","36000","2000","        154.40"
"ADANIPORTS","08-May-2013","25-Jul-2013","0","0","0","148.7","0","157.25","0","0","0","0","        154.40"
"ADANIPORTS","09-May-2013","30-May-2013","155.25","155.25","150.75","151.65","151.95","151.65","504","1533.52","2324000","-104000","        151.55"
"ADANIPORTS","09-May-2013","27-Jun-2013","152","152","152","152","152","153.3","1","3.04","36000","0","        151.55"
"ADANIPORTS","09-May-2013","25-Jul-2013","0","0","0","148.7","0","154.3","0","0","0","0","        151.55"
"ADANIPORTS","10-May-2013","30-May-2013","151","152.75","150.6","151.75","151.85","151.75","225","682.67","2346000","22000","        150.95"
"ADANIPORTS","10-May-2013","27-Jun-2013","153.3","153.3","153.3","153.3","153.3","152.65","1","3.07","36000","0","        150.95"
"ADANIPORTS","10-May-2013","25-Jul-2013","0","0","0","148.7","0","153.6","0","0","0","0","        150.95"
