"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"MUNDRAPORT","02-Sep-2011","29-Sep-2011","153.9","158.5","151.5","157.4","157.35","157.4","598","1871.82","3566000","274000","        157.50"
"MUNDRAPORT","02-Sep-2011","25-Oct-2011","0","0","0","143.35","143.35","159.7","0","0","0","0","        157.50"
"MUNDRAPORT","02-Sep-2011","24-Nov-2011","0","0","0","143.75","0","160.95","0","0","0","0","        157.50"
"MUNDRAPORT","05-Sep-2011","29-Sep-2011","155.05","160.4","155.05","157.6","157.95","157.6","268","846.9","3680000","114000","        157.25"
"MUNDRAPORT","05-Sep-2011","25-Oct-2011","0","0","0","143.35","143.35","159.3","0","0","0","0","        157.25"
"MUNDRAPORT","05-Sep-2011","24-Nov-2011","0","0","0","143.75","0","160.55","0","0","0","0","        157.25"
"MUNDRAPORT","06-Sep-2011","29-Sep-2011","156.3","157.4","151","154.7","154.6","154.7","379","1165.1","3646000","-34000","        154.05"
"MUNDRAPORT","06-Sep-2011","25-Oct-2011","0","0","0","143.35","143.35","156.05","0","0","0","0","        154.05"
"MUNDRAPORT","06-Sep-2011","24-Nov-2011","0","0","0","143.75","0","157.25","0","0","0","0","        154.05"
"MUNDRAPORT","07-Sep-2011","29-Sep-2011","155.85","162.2","154.85","160.45","161","160.45","753","2405.81","3870000","224000","        160.05"
"MUNDRAPORT","07-Sep-2011","25-Oct-2011","161.2","161.2","161.2","161.2","161.2","161.2","1","3.22","2000","2000","        160.05"
"MUNDRAPORT","07-Sep-2011","24-Nov-2011","0","0","0","143.75","0","163.3","0","0","0","0","        160.05"
"MUNDRAPORT","08-Sep-2011","29-Sep-2011","161","164.4","159.25","161.5","161.45","161.5","542","1757.45","4110000","240000","        160.75"
"MUNDRAPORT","08-Sep-2011","25-Oct-2011","163.5","163.5","161.5","162.5","162.5","162.75","6","19.52","10000","8000","        160.75"
"MUNDRAPORT","08-Sep-2011","24-Nov-2011","0","0","0","143.75","0","164","0","0","0","0","        160.75"
