"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"ASIANPAINT","01-Jan-2014","30-Jan-2014","495.95","508.7","495","505.05","504.9","505.05","6181","15596.07","4842500","162000","        499.75"
"ASIANPAINT","01-Jan-2014","26-Feb-2014","500.8","512","500.5","508.55","508.5","508.55","209","532.18","119500","69000","        499.75"
"ASIANPAINT","01-Jan-2014","27-Mar-2014","0","0","0","501.1","0","510.4","0","0","0","0","        499.75"
"ASIANPAINT","02-Jan-2014","30-Jan-2014","505.9","509.85","486","487.9","488","487.9","6486","16245.26","4237500","-605000","        485.55"
"ASIANPAINT","02-Jan-2014","26-Feb-2014","512.2","512.6","490","491.95","491","491.95","113","283.26","111500","-8000","        485.55"
"ASIANPAINT","02-Jan-2014","27-Mar-2014","0","0","0","501.1","0","495.8","0","0","0","0","        485.55"
"ASIANPAINT","03-Jan-2014","30-Jan-2014","483.6","494.2","481.9","491.65","491.5","491.65","3818","9342.48","4100000","-137500","        489.50"
"ASIANPAINT","03-Jan-2014","26-Feb-2014","488.3","498.35","488.3","495.45","495","495.45","61","150.59","120000","8500","        489.50"
"ASIANPAINT","03-Jan-2014","27-Mar-2014","0","0","0","501.1","0","499.7","0","0","0","0","        489.50"
"ASIANPAINT","06-Jan-2014","30-Jan-2014","492.75","494.55","485.15","493.1","492.2","493.1","2655","6511.59","3868500","-231500","        490.65"
"ASIANPAINT","06-Jan-2014","26-Feb-2014","490","498","490","497.8","497.6","497.8","43","106.36","117500","-2500","        490.65"
"ASIANPAINT","06-Jan-2014","27-Mar-2014","0","0","0","501.1","0","500.5","0","0","0","0","        490.65"
"ASIANPAINT","07-Jan-2014","30-Jan-2014","492.5","495.6","486.25","491.8","491.75","491.8","2117","5198.65","3587000","-281500","        489.95"
"ASIANPAINT","07-Jan-2014","26-Feb-2014","498.15","498.7","490.8","495.9","495.9","495.9","41","101.29","116000","-1500","        489.95"
"ASIANPAINT","07-Jan-2014","27-Mar-2014","0","0","0","501.1","0","499.65","0","0","0","0","        489.95"
"ASIANPAINT","08-Jan-2014","30-Jan-2014","493.05","494.15","488.85","491.7","491.7","491.7","1725","4240.59","3420500","-166500","        490.50"
"ASIANPAINT","08-Jan-2014","26-Feb-2014","495.7","497.2","494.7","494.95","495.45","494.95","42","104.02","114000","-2000","        490.50"
"ASIANPAINT","08-Jan-2014","27-Mar-2014","0","0","0","501.1","0","500.15","0","0","0","0","        490.50"
"ASIANPAINT","09-Jan-2014","30-Jan-2014","490.05","492.4","487","490.9","491.5","490.9","1547","3788.92","3396500","-24000","        490.10"
"ASIANPAINT","09-Jan-2014","26-Feb-2014","493","495.4","491","494.45","495","494.45","51","125.75","121000","7000","        490.10"
"ASIANPAINT","09-Jan-2014","27-Mar-2014","0","0","0","501.1","0","499.65","0","0","0","0","        490.10"
"ASIANPAINT","10-Jan-2014","30-Jan-2014","492.1","501","488.85","492.95","492.2","492.95","2944","7306.21","3405000","8500","        492.00"
"ASIANPAINT","10-Jan-2014","26-Feb-2014","496.95","504.45","495.5","495.9","495.5","495.9","37","92.48","124000","3000","        492.00"
"ASIANPAINT","10-Jan-2014","27-Mar-2014","0","0","0","501.1","0","501.55","0","0","0","0","        492.00"
"ASIANPAINT","13-Jan-2014","30-Jan-2014","492.65","499.95","489.35","496.05","496.5","496.05","2473","6129.5","3474000","69000","        494.05"
"ASIANPAINT","13-Jan-2014","26-Feb-2014","498.45","503.55","493.1","500.4","501","500.4","49","122.14","126000","2000","        494.05"
"ASIANPAINT","13-Jan-2014","27-Mar-2014","0","0","0","501.1","0","503.35","0","0","0","0","        494.05"
"ASIANPAINT","14-Jan-2014","30-Jan-2014","495","498.15","488","489.6","489.5","489.6","1728","4252.13","3626000","152000","        487.40"
"ASIANPAINT","14-Jan-2014","26-Feb-2014","500.05","500.25","492.25","493","492.6","493","37","91.68","128500","2500","        487.40"
"ASIANPAINT","14-Jan-2014","27-Mar-2014","0","0","0","501.1","0","496.45","0","0","0","0","        487.40"
"ASIANPAINT","15-Jan-2014","30-Jan-2014","489","496.4","489","495.5","495","495.5","2322","5727.98","3586000","-40000","        493.50"
"ASIANPAINT","15-Jan-2014","26-Feb-2014","492.85","499.45","492.85","499.05","499.1","499.05","35","87","132500","4000","        493.50"
"ASIANPAINT","15-Jan-2014","27-Mar-2014","0","0","0","501.1","0","502.5","0","0","0","0","        493.50"
"ASIANPAINT","16-Jan-2014","30-Jan-2014","497","499.4","493","498.25","497.3","498.25","2726","6768.75","3658500","72500","-"
"ASIANPAINT","16-Jan-2014","26-Feb-2014","500.05","502.5","496.4","502","501.35","502","48","120.13","140000","7500","-"
"ASIANPAINT","16-Jan-2014","27-Mar-2014","0","0","0","501.1","0","504.55","0","0","0","0","-"
"ASIANPAINT","17-Jan-2014","30-Jan-2014","499.85","502.2","489.1","492.35","494.5","492.35","3557","8829.83","3612500","-46000","        491.55"
"ASIANPAINT","17-Jan-2014","26-Feb-2014","502.8","505.3","493.3","495.4","497.75","495.4","109","272.25","146500","6500","        491.55"
"ASIANPAINT","17-Jan-2014","27-Mar-2014","0","0","0","501.1","0","500.25","0","0","0","0","        491.55"
"ASIANPAINT","20-Jan-2014","30-Jan-2014","492","492.5","483.5","490.2","490.05","490.2","6274","15310.69","3633500","21000","        490.00"
"ASIANPAINT","20-Jan-2014","26-Feb-2014","493.5","495.7","488","494.15","494.45","494.15","218","536.22","181500","35000","        490.00"
"ASIANPAINT","20-Jan-2014","27-Mar-2014","0","0","0","501.1","0","498.3","0","0","0","0","        490.00"
"ASIANPAINT","21-Jan-2014","30-Jan-2014","480","482.3","471.4","478.55","479","478.55","6815","16237.66","3444000","-189500","        479.25"
"ASIANPAINT","21-Jan-2014","26-Feb-2014","480.1","485.4","474.7","481.8","482.7","481.8","673","1612.79","319000","137500","        479.25"
"ASIANPAINT","21-Jan-2014","27-Mar-2014","0","0","0","501.1","0","487.15","0","0","0","0","        479.25"
"ASIANPAINT","22-Jan-2014","30-Jan-2014","479.05","479.05","467.8","473.2","473.1","473.2","3805","8973.68","3458500","14500","        472.60"
"ASIANPAINT","22-Jan-2014","26-Feb-2014","480.5","480.5","471.45","476.65","477","476.65","571","1355.63","416500","97500","        472.60"
"ASIANPAINT","22-Jan-2014","27-Mar-2014","0","0","0","501.1","0","480.25","0","0","0","0","        472.60"
"ASIANPAINT","23-Jan-2014","30-Jan-2014","473.9","475","468.85","473.9","474.65","473.9","2002","4720.45","3356000","-102500","        473.00"
"ASIANPAINT","23-Jan-2014","26-Feb-2014","475.5","478.3","472.45","477.4","478.3","477.4","351","833.3","495000","78500","        473.00"
"ASIANPAINT","23-Jan-2014","27-Mar-2014","475.25","476.3","475.25","476.3","476.3","480.6","7","16.64","3500","3500","        473.00"
"ASIANPAINT","24-Jan-2014","30-Jan-2014","471.4","478.8","466","477.75","478.25","477.75","3755","8894.22","3253000","-103000","        478.10"
"ASIANPAINT","24-Jan-2014","26-Feb-2014","476.1","482.3","469.15","480.8","481","480.8","758","1806.46","606000","111000","        478.10"
"ASIANPAINT","24-Jan-2014","27-Mar-2014","479.85","479.85","474","479.25","479.25","485.7","13","31.06","8000","4500","        478.10"
"ASIANPAINT","27-Jan-2014","30-Jan-2014","475.3","479.45","471.2","476.7","476.3","476.7","4557","10835.54","2650500","-602500","        476.40"
"ASIANPAINT","27-Jan-2014","26-Feb-2014","480.2","482.5","474.9","479.8","480","479.8","2185","5234.62","1294500","688500","        476.40"
"ASIANPAINT","27-Jan-2014","27-Mar-2014","477.75","480.6","477.75","480.6","480.6","483.55","2","4.79","9000","1000","        476.40"
"ASIANPAINT","28-Jan-2014","30-Jan-2014","476.35","480.9","471.6","477.2","479.05","477.2","4291","10198.5","2050000","-600500","        476.80"
"ASIANPAINT","28-Jan-2014","26-Feb-2014","480.4","483.95","475","479.4","481.65","479.4","2973","7108.14","2174000","879500","        476.80"
"ASIANPAINT","28-Jan-2014","27-Mar-2014","481.7","481.7","481.7","481.7","481.7","483.9","1","2.41","9000","0","        476.80"
"ASIANPAINT","29-Jan-2014","30-Jan-2014","478","484.4","476.1","483.45","483.35","483.45","3937","9479.1","1685500","-364500","        482.90"
"ASIANPAINT","29-Jan-2014","26-Feb-2014","480.6","486","479.05","485.35","485.1","485.35","2219","5369.55","2557500","383500","        482.90"
"ASIANPAINT","29-Jan-2014","27-Mar-2014","486","487.75","486","487","487","490","7","17.05","10500","1500","        482.90"
"ASIANPAINT","30-Jan-2014","30-Jan-2014","480.7","481.9","463.7","476.65","477.3","477.5","6053","14275.7","1059000","-626500","        477.50"
"ASIANPAINT","30-Jan-2014","26-Feb-2014","482.95","483","465.5","478.6","478.75","478.6","5483","12975.59","3378500","821000","        477.50"
