"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"ASIANPAINT","01-Mar-2016","31-Mar-2016","857.6","875.9","852.55","873.8","873.7","873.8","2230","11595.23","3113400","9600","        871.95"
"ASIANPAINT","01-Mar-2016","28-Apr-2016","865.5","875","865.5","875","875","875","7","36.56","18000","1200","        871.95"
"ASIANPAINT","01-Mar-2016","26-May-2016","880","880","880","880","880","889.15","1","5.28","600","600","        871.95"
"ASIANPAINT","02-Mar-2016","31-Mar-2016","879","883.7","867.6","873.4","874.3","873.4","3058","16067.13","3200400","87000","        871.85"
"ASIANPAINT","02-Mar-2016","28-Apr-2016","881.85","885","871.1","875.5","875","875.5","21","110.52","20400","2400","        871.85"
"ASIANPAINT","02-Mar-2016","26-May-2016","0","0","0","880","880","888.75","0","0","600","0","        871.85"
"ASIANPAINT","03-Mar-2016","31-Mar-2016","870.5","889.9","870.5","881.6","880.95","881.6","2862","15139.05","3252000","51600","        880.25"
"ASIANPAINT","03-Mar-2016","28-Apr-2016","891.55","891.6","879","882.85","885","882.85","25","132.73","24000","3600","        880.25"
"ASIANPAINT","03-Mar-2016","26-May-2016","894","894","894","894","894","897","1","5.36","1200","600","        880.25"
"ASIANPAINT","04-Mar-2016","31-Mar-2016","886.2","887.95","860.65","868.05","868","868.05","2937","15343.44","3283800","31800","        865.80"
"ASIANPAINT","04-Mar-2016","28-Apr-2016","885","885","865","872.6","872.6","872.6","38","198.9","28200","4200","        865.80"
"ASIANPAINT","04-Mar-2016","26-May-2016","0","0","0","894","894","882","0","0","1200","0","        865.80"
"ASIANPAINT","08-Mar-2016","31-Mar-2016","861.1","876","855.2","870.85","874","870.85","2541","13224.68","3259200","-24600","        875.70"
"ASIANPAINT","08-Mar-2016","28-Apr-2016","867.45","876.45","862.05","874.95","876.4","874.95","29","151.26","28800","600","        875.70"
"ASIANPAINT","08-Mar-2016","26-May-2016","869","869","869","869","869","891.25","1","5.21","1200","0","        875.70"
"ASIANPAINT","09-Mar-2016","31-Mar-2016","871.85","888","871","879.7","881.1","879.7","3042","16085.58","3127200","-132000","        876.20"
"ASIANPAINT","09-Mar-2016","28-Apr-2016","874","890.5","874","883.2","884","883.2","49","260.31","33000","4200","        876.20"
"ASIANPAINT","09-Mar-2016","26-May-2016","882.5","882.5","882.5","882.5","882.5","882.5","1","5.3","1800","600","        876.20"
"ASIANPAINT","10-Mar-2016","31-Mar-2016","874.85","895","873.7","893.75","894","893.75","2473","13162.7","3111000","-16200","        894.75"
"ASIANPAINT","10-Mar-2016","28-Apr-2016","881.5","898.8","877.55","897.4","898.8","897.4","47","251.03","45600","12600","        894.75"
"ASIANPAINT","10-Mar-2016","26-May-2016","890","890","890","890","890","910.35","1","5.34","2400","600","        894.75"
"ASIANPAINT","11-Mar-2016","31-Mar-2016","894.4","901","889.55","897.7","897.7","897.7","2560","13786.79","3054000","-57000","        898.35"
"ASIANPAINT","11-Mar-2016","28-Apr-2016","901.75","903.5","899.05","901.45","901.25","901.45","30","162.25","47400","1800","        898.35"
"ASIANPAINT","11-Mar-2016","26-May-2016","0","0","0","890","890","913.85","0","0","2400","0","        898.35"
"ASIANPAINT","14-Mar-2016","31-Mar-2016","901.65","903.7","889.65","899.5","896.4","899.5","2636","14191.13","3051600","-2400","        899.35"
"ASIANPAINT","14-Mar-2016","28-Apr-2016","899.5","906","895","903.95","903.5","903.95","62","335.35","54000","6600","        899.35"
"ASIANPAINT","14-Mar-2016","26-May-2016","0","0","0","890","890","914.25","0","0","2400","0","        899.35"
"ASIANPAINT","15-Mar-2016","31-Mar-2016","902","904.5","881.35","889.05","888","889.05","3604","19256.11","3077400","25800","        884.60"
"ASIANPAINT","15-Mar-2016","28-Apr-2016","910.35","910.35","886.4","893.2","893","893.2","102","546.36","64200","10200","        884.60"
"ASIANPAINT","15-Mar-2016","26-May-2016","0","0","0","890","890","899.1","0","0","2400","0","        884.60"
"ASIANPAINT","16-Mar-2016","31-Mar-2016","884.95","885","867.15","869.95","871","869.95","3109","16269.51","3274200","196800","        864.90"
"ASIANPAINT","16-Mar-2016","28-Apr-2016","881.75","883.5","872.85","875.65","875.5","875.65","75","394.69","70800","6600","        864.90"
"ASIANPAINT","16-Mar-2016","26-May-2016","0","0","0","890","890","878.85","0","0","2400","0","        864.90"
"ASIANPAINT","17-Mar-2016","31-Mar-2016","877.4","878.75","866.45","873.7","873.7","873.7","2064","10816.63","3205800","-68400","        872.55"
"ASIANPAINT","17-Mar-2016","28-Apr-2016","881.95","883","872.5","878.2","878.3","878.2","51","268.5","70800","0","        872.55"
"ASIANPAINT","17-Mar-2016","26-May-2016","0","0","0","890","890","886.4","0","0","2400","0","        872.55"
"ASIANPAINT","18-Mar-2016","31-Mar-2016","875.5","876.9","864.3","875","875","875","2758","14414.01","3117600","-88200","        875.35"
"ASIANPAINT","18-Mar-2016","28-Apr-2016","878.55","881.2","870.55","880.25","880.1","880.25","49","257.31","67200","-3600","        875.35"
"ASIANPAINT","18-Mar-2016","26-May-2016","0","0","0","890","890","889.05","0","0","2400","0","        875.35"
"ASIANPAINT","21-Mar-2016","31-Mar-2016","869.85","870","853.55","860.6","859.85","860.6","3959","20412.73","3430200","312600","        859.65"
"ASIANPAINT","21-Mar-2016","28-Apr-2016","874.7","874.7","860","866.05","865","866.05","365","1892.61","148200","81000","        859.65"
"ASIANPAINT","21-Mar-2016","26-May-2016","0","0","0","890","890","872.5","0","0","2400","0","        859.65"
"ASIANPAINT","22-Mar-2016","31-Mar-2016","860","861.75","849","856.15","855.35","856.15","3277","16817.88","3411000","-19200","        853.35"
"ASIANPAINT","22-Mar-2016","28-Apr-2016","867","867","854","860.8","860","860.8","595","3070.18","340800","192600","        853.35"
"ASIANPAINT","22-Mar-2016","26-May-2016","863.75","863.75","863.75","863.75","863.75","865.9","1","5.18","2400","0","        853.35"
"ASIANPAINT","23-Mar-2016","31-Mar-2016","856.7","858.7","848.5","852.6","851.6","852.6","2488","12743.48","3442800","31800","        850.00"
"ASIANPAINT","23-Mar-2016","28-Apr-2016","860.45","863","853.3","857.55","856.25","857.55","595","3063.42","461400","120600","        850.00"
"ASIANPAINT","23-Mar-2016","26-May-2016","0","0","0","863.75","863.75","862.25","0","0","2400","0","        850.00"
"ASIANPAINT","28-Mar-2016","31-Mar-2016","849.15","859.4","845.65","848.2","846.65","848.2","3469","17730.14","3240600","-202200","        845.40"
"ASIANPAINT","28-Mar-2016","28-Apr-2016","855.25","864","851","853.2","851","853.2","1104","5673.71","760200","298800","        845.40"
"ASIANPAINT","28-Mar-2016","26-May-2016","0","0","0","863.75","863.75","856.6","0","0","2400","0","        845.40"
