"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"AXISBANK","01-Jan-2008","31-Jan-2008","977","990","977","984.5","984.15","984.5","833","1845.96","795825","36450","        972.55"
"AXISBANK","01-Jan-2008","28-Feb-2008","0","0","0","938.4","0","986.1","0","0","0","0","        972.55"
"AXISBANK","01-Jan-2008","27-Mar-2008","0","0","0","977.3","0","992.7","0","0","0","0","        972.55"
"AXISBANK","02-Jan-2008","31-Jan-2008","989","1056.7","989","1046.55","1040.2","1046.55","6186","14408.37","960750","164925","       1034.65"
"AXISBANK","02-Jan-2008","28-Feb-2008","0","0","0","938.4","0","1048.6","0","0","0","0","       1034.65"
"AXISBANK","02-Jan-2008","27-Mar-2008","0","0","0","977.3","0","1055.55","0","0","0","0","       1034.65"
"AXISBANK","03-Jan-2008","31-Jan-2008","1034.4","1058","1030.3","1048.25","1045","1048.25","2777","6570.92","957150","-3600","       1035.85"
"AXISBANK","03-Jan-2008","28-Feb-2008","0","0","0","938.4","0","1049.45","0","0","0","0","       1035.85"
"AXISBANK","03-Jan-2008","27-Mar-2008","0","0","0","977.3","0","1056.3","0","0","0","0","       1035.85"
"AXISBANK","04-Jan-2008","31-Jan-2008","1050","1087","1039.9","1061.8","1067","1061.8","3899","9332.33","1021950","64800","       1054.90"
"AXISBANK","04-Jan-2008","28-Feb-2008","0","0","0","938.4","0","1068.25","0","0","0","0","       1054.90"
"AXISBANK","04-Jan-2008","27-Mar-2008","0","0","0","977.3","0","1075.1","0","0","0","0","       1054.90"
"AXISBANK","07-Jan-2008","31-Jan-2008","1049.7","1108.75","1043.1","1097","1098","1097","4740","11642.44","1064250","42300","       1090.15"
"AXISBANK","07-Jan-2008","28-Feb-2008","1101.1","1101.1","1070","1070","1070","1103.35","4","9.83","675","675","       1090.15"
"AXISBANK","07-Jan-2008","27-Mar-2008","1190","1190","1190","1190","1190","1110.55","1","2.68","225","225","       1090.15"
"AXISBANK","08-Jan-2008","31-Jan-2008","1113.85","1127.7","1060","1074.9","1079","1074.9","4047","9984.41","1004400","-59850","       1065.75"
"AXISBANK","08-Jan-2008","28-Feb-2008","1100","1100","1070","1078","1078","1078","9","21.94","2250","1575","       1065.75"
"AXISBANK","08-Jan-2008","27-Mar-2008","0","0","0","1190","1190","1085.3","0","0","225","0","       1065.75"
"AXISBANK","09-Jan-2008","31-Jan-2008","1075","1121","1070","1097.05","1099.95","1097.05","5398","13349.72","873675","-130725","       1095.60"
"AXISBANK","09-Jan-2008","28-Feb-2008","1075.3","1075.3","1075.3","1075.3","1075.3","1108.1","1","2.42","2250","0","       1095.60"
"AXISBANK","09-Jan-2008","27-Mar-2008","0","0","0","1190","1190","1115.15","0","0","225","0","       1095.60"
"AXISBANK","10-Jan-2008","31-Jan-2008","1109","1124.9","1071.2","1089.45","1089.9","1089.45","3575","8914.7","784575","-89100","       1089.15"
"AXISBANK","10-Jan-2008","28-Feb-2008","1124.9","1140","1098","1098","1098","1101.6","17","42.65","4275","2025","       1089.15"
"AXISBANK","10-Jan-2008","27-Mar-2008","0","0","0","1190","1190","1108.75","0","0","225","0","       1089.15"
