"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"AXISBANK","04-May-2015","28-May-2015","574.95","579.5","566","571.25","570.95","571.25","23813","68142.9","23858500","500","        568.35"
"AXISBANK","04-May-2015","25-Jun-2015","577.6","583.3","570","574.35","574.85","574.35","967","2792.51","715500","-26000","        568.35"
"AXISBANK","04-May-2015","30-Jul-2015","578","578","572.8","573.85","573.85","573.85","5","14.36","2000","2000","        568.35"
"AXISBANK","05-May-2015","28-May-2015","568.25","577.6","565","568.25","567.4","568.25","26997","77096.71","23993000","134500","        565.85"
"AXISBANK","05-May-2015","25-Jun-2015","573.7","581.25","568.15","572.1","571.95","572.1","305","876.37","714500","-1000","        565.85"
"AXISBANK","05-May-2015","30-Jul-2015","570.2","578.2","570.2","574.95","574.95","577.05","12","34.53","7000","5000","        565.85"
"AXISBANK","06-May-2015","28-May-2015","566.1","568.4","542.3","544.3","544.1","544.3","34184","94153.25","21504000","-2489000","        543.30"
"AXISBANK","06-May-2015","25-Jun-2015","567.3","571.95","546","547.95","547.9","547.95","699","1935.22","752500","38000","        543.30"
"AXISBANK","06-May-2015","30-Jul-2015","560.15","560.15","547","547.2","547.35","547.2","37","102.29","21500","14500","        543.30"
"AXISBANK","07-May-2015","28-May-2015","539.55","546.4","524.1","529.35","528","529.35","32612","87455.92","21201000","-303000","        527.35"
"AXISBANK","07-May-2015","25-Jun-2015","540.85","550","528.45","532.9","531.75","532.9","642","1731.78","748000","-4500","        527.35"
"AXISBANK","07-May-2015","30-Jul-2015","542.25","548.85","532.1","532.5","532.1","532.5","54","145.27","39500","18000","        527.35"
"AXISBANK","08-May-2015","28-May-2015","535.8","550","535","543.25","542.5","543.25","26240","71226.76","20788500","-412500","        540.80"
"AXISBANK","08-May-2015","25-Jun-2015","540.9","553","539.3","546.95","546.4","546.95","365","996.03","730500","-17500","        540.80"
"AXISBANK","08-May-2015","30-Jul-2015","542.15","551.35","541.7","546.6","545.8","546.6","40","109.16","41500","2000","        540.80"
"AXISBANK","11-May-2015","28-May-2015","547","555","544.5","552.85","553.2","552.85","23316","64212.56","21250500","462000","        551.10"
"AXISBANK","11-May-2015","25-Jun-2015","550.9","558.3","548.2","556.35","556.95","556.35","367","1016.8","730500","0","        551.10"
"AXISBANK","11-May-2015","30-Jul-2015","551.2","557.55","551.2","557.55","557.55","561.3","28","77.41","40500","-1000","        551.10"
"AXISBANK","12-May-2015","28-May-2015","554.45","555.5","532","534.15","532.2","534.15","25962","70180.06","21075500","-175000","        532.35"
"AXISBANK","12-May-2015","25-Jun-2015","555.05","556.5","535.6","537.55","537","537.55","644","1753.76","798500","68000","        532.35"
"AXISBANK","12-May-2015","30-Jul-2015","551.7","552.5","538","538","538","538","23","62.83","48500","8000","        532.35"
"AXISBANK","13-May-2015","28-May-2015","538.1","566.4","536.9","560.8","561.1","560.8","48187","133160.53","20141500","-934000","        558.50"
"AXISBANK","13-May-2015","25-Jun-2015","542.05","570","541.6","564.6","564.4","564.6","790","2197.77","758000","-40500","        558.50"
"AXISBANK","13-May-2015","30-Jul-2015","548","565.15","545","564.15","563.8","564.15","35","96.82","48000","-500","        558.50"
"AXISBANK","14-May-2015","28-May-2015","555.1","560.9","549.25","557.9","557.45","557.9","24772","68915.79","20244500","103000","        555.85"
"AXISBANK","14-May-2015","25-Jun-2015","560.95","564.5","553.85","561.5","561.75","561.5","453","1268.65","770500","12500","        555.85"
"AXISBANK","14-May-2015","30-Jul-2015","558","560","556","556","556","565.75","11","30.73","47000","-1000","        555.85"
"AXISBANK","15-May-2015","28-May-2015","559.85","569","558.15","562.55","561.9","562.55","22872","64559.47","20081000","-163500","        562.05"
"AXISBANK","15-May-2015","25-Jun-2015","564.3","572.7","561.9","566.6","565.4","566.6","476","1351.8","777500","7000","        562.05"
"AXISBANK","15-May-2015","30-Jul-2015","564.45","568","562.7","567","567","567","10","28.32","45500","-1500","        562.05"
"AXISBANK","18-May-2015","28-May-2015","564.2","571.6","559.9","569.35","569.95","569.35","16991","48073.46","20584500","503500","        567.50"
"AXISBANK","18-May-2015","25-Jun-2015","567.4","575","564","573.15","572.7","573.15","894","2549.14","898000","120500","        567.50"
"AXISBANK","18-May-2015","30-Jul-2015","564","573","564","571.95","570.85","571.95","13","36.9","45000","-500","        567.50"
"AXISBANK","19-May-2015","28-May-2015","567.85","572.45","560.25","563.45","562.25","563.45","26161","74146.67","20541000","-43500","        561.45"
"AXISBANK","19-May-2015","25-Jun-2015","572","576.25","564.15","566.8","565.95","566.8","1446","4118.8","1121000","223000","        561.45"
"AXISBANK","19-May-2015","30-Jul-2015","570.8","574.75","567.5","567.5","567.5","570.75","13","37.11","47000","2000","        561.45"
"AXISBANK","20-May-2015","28-May-2015","565.95","568.3","558.45","560.1","560.3","560.1","19062","53675.63","20755500","214500","        558.25"
"AXISBANK","20-May-2015","25-Jun-2015","568.7","571.65","562.05","563.7","563.75","563.7","2216","6273.28","1686000","565000","        558.25"
"AXISBANK","20-May-2015","30-Jul-2015","571.2","571.2","562","562","562","562","15","42.53","48500","1500","        558.25"
"AXISBANK","21-May-2015","28-May-2015","561.55","573.95","561.2","572.25","571.75","572.25","34688","98626.3","22193000","1437500","        570.45"
"AXISBANK","21-May-2015","25-Jun-2015","566.15","577.4","565","575.95","575.05","575.95","2516","7197.21","2016500","330500","        570.45"
"AXISBANK","21-May-2015","30-Jul-2015","571.05","573.5","565.8","573.5","573.5","579.6","9","25.65","49500","1000","        570.45"
"AXISBANK","22-May-2015","28-May-2015","574","577.9","563.75","568.1","566","568.1","31950","91497.58","20364000","-1829000","        568.65"
"AXISBANK","22-May-2015","25-Jun-2015","576.15","581.6","567.5","571.75","570.7","571.75","4488","12942.95","2855000","838500","        568.65"
"AXISBANK","22-May-2015","30-Jul-2015","575.15","580","568.85","573.2","570.85","573.2","25","71.94","54000","4500","        568.65"
"AXISBANK","25-May-2015","28-May-2015","567.75","569.3","559","561.2","560.6","561.2","26382","74486","17565000","-2799000","        562.10"
"AXISBANK","25-May-2015","25-Jun-2015","572.1","573","561.5","564.85","564.4","564.85","9947","28256.14","5251000","2396000","        562.10"
"AXISBANK","25-May-2015","30-Jul-2015","572.25","572.25","563.05","563.8","563.8","563.8","58","164.33","72000","18000","        562.10"
"AXISBANK","26-May-2015","28-May-2015","562.9","566.4","557.5","564.95","566.25","564.95","24268","68191.99","12119500","-5445500","        564.25"
"AXISBANK","26-May-2015","25-Jun-2015","566.2","569.95","561.5","568.45","569.8","568.45","17045","48178.13","11292000","6041000","        564.25"
"AXISBANK","26-May-2015","30-Jul-2015","563","568","563","565.9","565.9","565.9","61","172.46","97000","25000","        564.25"
"AXISBANK","27-May-2015","28-May-2015","567.95","579.7","560.2","577.75","577.4","577.75","33753","96864.3","8478000","-3641500","        577.80"
"AXISBANK","27-May-2015","25-Jun-2015","565.1","583.9","564.5","581.4","581.45","581.4","27005","78000.59","17579500","6287500","        577.80"
"AXISBANK","27-May-2015","30-Jul-2015","566.8","582","566.1","581","580.9","581","111","319.35","117000","20000","        577.80"
"AXISBANK","28-May-2015","28-May-2015","578.65","585.8","571.7","573.8","574.65","574.65","29808","86206.77","6783000","-1695000","        574.65"
"AXISBANK","28-May-2015","25-Jun-2015","582.65","590","576.1","579.05","580.3","579.05","32914","95830.72","23083000","5503500","        574.65"
"AXISBANK","28-May-2015","30-Jul-2015","581.7","589.1","575.6","577.65","579","577.65","210","610.17","183500","66500","        574.65"
"AXISBANK","29-May-2015","25-Jun-2015","579.75","591.65","579","589.6","589.8","589.6","24387","71466","24139500","1056500","        585.40"
"AXISBANK","29-May-2015","30-Jul-2015","579.95","590.5","579","589.05","588.9","589.05","279","816.46","216000","32500","        585.40"
"AXISBANK","29-May-2015","27-Aug-2015","0","0","0","586.65","0","597.45","0","0","0","0","        585.40"
"AXISBANK","01-Jun-2015","25-Jun-2015","591.7","592.5","580.65","582.2","582.6","582.2","16261","47661.88","24425500","286000","        578.45"
"AXISBANK","01-Jun-2015","30-Jul-2015","589.45","591","580.15","581.8","582.45","581.8","165","483.27","248500","32500","        578.45"
"AXISBANK","01-Jun-2015","27-Aug-2015","590","590","590","590","590","589.95","1","2.95","500","500","        578.45"
