"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"BAJAJ-AUTO","01-Jan-2020","30-Jan-2020","3199.2","3214.75","3165","3170.2","3172.05","3170.2","2213","17642.84","2552000","-14000","       3150.10"
"BAJAJ-AUTO","01-Jan-2020","27-Feb-2020","3218.65","3220","3180.05","3182.65","3185.2","3182.65","10","80.11","5250","750","       3150.10"
"BAJAJ-AUTO","01-Jan-2020","26-Mar-2020","0","0","0","3276.55","0","3192.35","0","0","0","0","       3150.10"
"BAJAJ-AUTO","02-Jan-2020","30-Jan-2020","3173","3188.1","3128.05","3135.8","3137.55","3135.8","4435","34886.35","2528250","-23750","       3121.00"
"BAJAJ-AUTO","02-Jan-2020","27-Feb-2020","3160","3164.4","3143.9","3150.4","3150.4","3148.5","23","181.25","5250","0","       3121.00"
"BAJAJ-AUTO","02-Jan-2020","26-Mar-2020","0","0","0","3276.55","0","3162.45","0","0","0","0","       3121.00"
"BAJAJ-AUTO","03-Jan-2020","30-Jan-2020","3137.05","3137.05","3082","3085.55","3083","3085.55","3886","30170.19","2527250","-1000","       3072.05"
"BAJAJ-AUTO","03-Jan-2020","27-Feb-2020","3138.7","3146.2","3094.4","3098.5","3101.45","3098.5","32","249.33","7250","2000","       3072.05"
"BAJAJ-AUTO","03-Jan-2020","26-Mar-2020","3125.5","3125.5","3125.5","3125.5","3125.5","3112.4","1","7.81","250","250","       3072.05"
"BAJAJ-AUTO","06-Jan-2020","30-Jan-2020","3080","3080","3045.05","3053.9","3054.5","3053.9","2010","15357.65","2559500","32250","       3037.65"
"BAJAJ-AUTO","06-Jan-2020","27-Feb-2020","3079","3080","3060","3067.55","3065.85","3067.55","43","329.77","13500","6250","       3037.65"
"BAJAJ-AUTO","06-Jan-2020","26-Mar-2020","3091.65","3091.65","3091.65","3091.65","3091.65","3076.05","1","7.73","250","0","       3037.65"
"BAJAJ-AUTO","07-Jan-2020","30-Jan-2020","3060","3102.75","3041","3055.75","3060.6","3055.75","2164","16548.32","2544000","-15500","       3037.95"
"BAJAJ-AUTO","07-Jan-2020","27-Feb-2020","3093","3093","3060.7","3069.45","3071","3069.45","18","138.08","13500","0","       3037.95"
"BAJAJ-AUTO","07-Jan-2020","26-Mar-2020","3152.95","3152.95","3152.95","3152.95","3152.95","3075.9","1","7.88","250","0","       3037.95"
"BAJAJ-AUTO","08-Jan-2020","30-Jan-2020","3030","3081.45","3020","3066.95","3065.95","3066.95","3099","23715.13","2418000","-126000","       3059.25"
"BAJAJ-AUTO","08-Jan-2020","27-Feb-2020","3049.45","3093.8","3049.45","3081","3078.8","3081","16","123.09","14750","1250","       3059.25"
"BAJAJ-AUTO","08-Jan-2020","26-Mar-2020","3083.55","3088.4","3070.5","3070.5","3070.5","3070.5","4","30.82","500","250","       3059.25"
"BAJAJ-AUTO","09-Jan-2020","30-Jan-2020","3078.35","3118.45","3078.35","3097.85","3100","3097.85","2439","18906.1","2344000","-74000","       3085.70"
"BAJAJ-AUTO","09-Jan-2020","27-Feb-2020","3114","3122.45","3102.95","3109.7","3108.05","3109.7","28","217.77","14000","-750","       3085.70"
"BAJAJ-AUTO","09-Jan-2020","26-Mar-2020","0","0","0","3070.5","3070.5","3123.35","0","0","500","0","       3085.70"
"BAJAJ-AUTO","10-Jan-2020","30-Jan-2020","3095.15","3123.9","3091.55","3110.55","3109.95","3110.55","1723","13390.4","2289750","-54250","       3101.20"
"BAJAJ-AUTO","10-Jan-2020","27-Feb-2020","3122.15","3122.15","3115","3120.65","3120.65","3124.8","5","38.99","14000","0","       3101.20"
"BAJAJ-AUTO","10-Jan-2020","26-Mar-2020","0","0","0","3070.5","3070.5","3138.6","0","0","500","0","       3101.20"
"BAJAJ-AUTO","13-Jan-2020","30-Jan-2020","3121.3","3127.8","3088.5","3101.35","3100.9","3101.35","1338","10396.21","2279500","-10250","       3094.05"
