"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"BAJAJ-AUTO","03-Jul-2017","27-Jul-2017","2729.85","2744","2702.45","2740.9","2742","2740.9","3252","22158.68","1552250","108250","       2789.35"
"BAJAJ-AUTO","03-Jul-2017","31-Aug-2017","2740.95","2756.6","2740.95","2756.6","2756.6","2819.05","6","41.23","1500","1500","       2789.35"
"BAJAJ-AUTO","03-Jul-2017","28-Sep-2017","0","0","0","2847.45","0","2833.25","0","0","0","0","       2789.35"
"BAJAJ-AUTO","04-Jul-2017","27-Jul-2017","2741.3","2742.95","2708","2720.4","2723.65","2720.4","1803","12274.17","1585750","33500","       2769.65"
"BAJAJ-AUTO","04-Jul-2017","31-Aug-2017","2750.35","2750.35","2723.7","2723.7","2723.7","2798.6","2","13.69","1500","0","       2769.65"
"BAJAJ-AUTO","04-Jul-2017","28-Sep-2017","0","0","0","2847.45","0","2812.7","0","0","0","0","       2769.65"
"BAJAJ-AUTO","05-Jul-2017","27-Jul-2017","2699.8","2742.85","2699.8","2724.4","2724","2724.4","1188","8096.89","1622750","37000","       2771.25"
"BAJAJ-AUTO","05-Jul-2017","31-Aug-2017","2746.45","2746.45","2730.25","2736.55","2736.5","2736.55","8","54.78","2000","500","       2771.25"
"BAJAJ-AUTO","05-Jul-2017","28-Sep-2017","0","0","0","2847.45","0","2813.75","0","0","0","0","       2771.25"
"BAJAJ-AUTO","06-Jul-2017","27-Jul-2017","2739.15","2744.35","2730.3","2732.3","2731.75","2732.3","1735","11867.63","1598500","-24250","       2728.60"
"BAJAJ-AUTO","06-Jul-2017","31-Aug-2017","2753","2753","2747","2747","2747","2756.1","3","20.62","2500","500","       2728.60"
"BAJAJ-AUTO","06-Jul-2017","28-Sep-2017","0","0","0","2847.45","0","2769.95","0","0","0","0","       2728.60"
"BAJAJ-AUTO","07-Jul-2017","27-Jul-2017","2727.95","2738.75","2705.5","2716.5","2719","2716.5","1976","13422.26","1654250","55750","       2708.25"
"BAJAJ-AUTO","07-Jul-2017","31-Aug-2017","2744.65","2750.45","2721","2725.05","2725.05","2735.1","29","198.01","5750","3250","       2708.25"
"BAJAJ-AUTO","07-Jul-2017","28-Sep-2017","0","0","0","2847.45","0","2748.85","3","20.7","750","750","       2708.25"
"BAJAJ-AUTO","10-Jul-2017","27-Jul-2017","2727.1","2748.45","2715.15","2744.3","2742.05","2744.3","1428","9773.99","1607750","-46500","       2730.65"
"BAJAJ-AUTO","10-Jul-2017","31-Aug-2017","2735.05","2758","2735.05","2758","2758","2756.25","9","61.9","4750","-1000","       2730.65"
"BAJAJ-AUTO","10-Jul-2017","28-Sep-2017","0","0","0","2847.45","0","2770.1","0","0","750","0","       2730.65"
"BAJAJ-AUTO","11-Jul-2017","27-Jul-2017","2750","2804.6","2750","2796.15","2797","2796.15","3253","22607.85","1525250","-82500","       2792.75"
"BAJAJ-AUTO","11-Jul-2017","31-Aug-2017","2765","2815","2765","2815","2815","2815","24","167.57","5250","500","       2792.75"
"BAJAJ-AUTO","11-Jul-2017","28-Sep-2017","0","0","0","2847.45","0","2832.6","0","0","750","0","       2792.75"
"BAJAJ-AUTO","12-Jul-2017","27-Jul-2017","2805.25","2820","2776.45","2789.55","2791","2789.55","1737","12133.45","1528750","3500","       2785.85"
"BAJAJ-AUTO","12-Jul-2017","31-Aug-2017","2800","2800","2797.85","2797.85","2797.85","2797.85","4","27.99","5000","-250","       2785.85"
"BAJAJ-AUTO","12-Jul-2017","28-Sep-2017","0","0","0","2847.45","0","2825","0","0","750","0","       2785.85"
