"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"BAJAJ-AUTO","01-Mar-2012","29-Mar-2012","1828.6","1828.8","1765.5","1794.1","1792","1794.1","1850","8268.35","1254000","3750","       1774.20"
"BAJAJ-AUTO","01-Mar-2012","26-Apr-2012","1826.9","1826.9","1784.5","1799","1799","1799","22","99.16","12000","0","       1774.20"
"BAJAJ-AUTO","01-Mar-2012","31-May-2012","0","0","0","1834.65","0","1821.2","0","0","0","0","       1774.20"
"BAJAJ-AUTO","02-Mar-2012","29-Mar-2012","1804.05","1808","1752","1763.7","1755","1763.7","1942","8582.92","1268250","14250","       1749.95"
"BAJAJ-AUTO","02-Mar-2012","26-Apr-2012","1804.8","1807.55","1764","1772.75","1771","1772.75","22","98.07","14000","2000","       1749.95"
"BAJAJ-AUTO","02-Mar-2012","31-May-2012","0","0","0","1834.65","0","1795.5","0","0","0","0","       1749.95"
"BAJAJ-AUTO","03-Mar-2012","29-Mar-2012","1761.95","1765","1746.55","1750.05","1746.6","1750.05","126","552.62","1269500","1250","       1737.35"
"BAJAJ-AUTO","03-Mar-2012","26-Apr-2012","1767.25","1767.25","1765.85","1765.85","1765.85","1765.85","2","8.83","14000","0","       1737.35"
"BAJAJ-AUTO","03-Mar-2012","31-May-2012","0","0","0","1834.65","0","1782.1","0","0","0","0","       1737.35"
"BAJAJ-AUTO","05-Mar-2012","29-Mar-2012","1738.05","1738.1","1706","1718.6","1724.85","1718.6","996","4281.11","1256000","-13500","       1701.90"
"BAJAJ-AUTO","05-Mar-2012","26-Apr-2012","1740.9","1740.9","1724.6","1729.4","1732.8","1729.4","7","30.31","13750","-250","       1701.90"
"BAJAJ-AUTO","05-Mar-2012","31-May-2012","0","0","0","1834.65","0","1745.95","0","0","0","0","       1701.90"
"BAJAJ-AUTO","06-Mar-2012","29-Mar-2012","1702.45","1772","1680","1717.35","1721.9","1717.35","2090","9061.23","1246250","-9750","       1703.95"
"BAJAJ-AUTO","06-Mar-2012","26-Apr-2012","1721.7","1779.2","1721.7","1727.4","1739.2","1727.4","36","157.26","13750","0","       1703.95"
"BAJAJ-AUTO","06-Mar-2012","31-May-2012","0","0","0","1834.65","0","1747.8","0","0","0","0","       1703.95"
"BAJAJ-AUTO","07-Mar-2012","29-Mar-2012","1710.05","1762.5","1706.2","1750.35","1753","1750.35","1820","7936.17","1256000","9750","       1733.20"
"BAJAJ-AUTO","07-Mar-2012","26-Apr-2012","1729.6","1773","1729.25","1765.1","1765.1","1765.1","28","122.84","13250","-500","       1733.20"
"BAJAJ-AUTO","07-Mar-2012","31-May-2012","0","0","0","1834.65","0","1777.55","0","0","0","0","       1733.20"
"BAJAJ-AUTO","09-Mar-2012","29-Mar-2012","1769.9","1785.85","1754","1764.95","1767.8","1764.95","1104","4883.35","1235750","-20250","       1752.85"
"BAJAJ-AUTO","09-Mar-2012","26-Apr-2012","1796.2","1796.25","1771.1","1775.4","1775","1775.4","23","102.66","13750","500","       1752.85"
"BAJAJ-AUTO","09-Mar-2012","31-May-2012","0","0","0","1834.65","0","1796.95","0","0","0","0","       1752.85"
