"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"BAJAJFINSV","01-Jan-2020","30-Jan-2020","9460.05","9484.9","9413","9431.45","9440.2","9431.45","929","10962.42","1437750","-11625","       9378.45"
"BAJAJFINSV","01-Jan-2020","27-Feb-2020","9500","9514.65","9458","9466.55","9466.55","9466.55","16","189.48","6125","125","       9378.45"
"BAJAJFINSV","01-Jan-2020","26-Mar-2020","0","0","0","9544.1","9544.1","9504.9","0","0","250","0","       9378.45"
"BAJAJFINSV","02-Jan-2020","30-Jan-2020","9446","9560","9442.1","9542.3","9554","9542.3","2713","32266.65","1436750","-1000","       9505.60"
"BAJAJFINSV","02-Jan-2020","27-Feb-2020","9518.95","9598.75","9518.95","9581.55","9598.75","9581.55","19","227.06","7625","1500","       9505.60"
"BAJAJFINSV","02-Jan-2020","26-Mar-2020","9550","9627","9550","9620.55","9627","9620.55","6","71.98","625","375","       9505.60"
"BAJAJFINSV","03-Jan-2020","30-Jan-2020","9519","9539","9364","9396.8","9404","9396.8","3643","42993.41","1379000","-57750","       9345.85"
"BAJAJFINSV","03-Jan-2020","27-Feb-2020","9535.2","9556.95","9413.65","9429.5","9431","9429.5","54","638.34","4375","-3250","       9345.85"
"BAJAJFINSV","03-Jan-2020","26-Mar-2020","9559.15","9559.15","9470","9470","9470","9468.65","5","59.44","875","250","       9345.85"
"BAJAJFINSV","06-Jan-2020","30-Jan-2020","9360.1","9373.3","9070","9085.5","9080.05","9085.5","4978","57129.17","1348875","-30125","       9042.70"
"BAJAJFINSV","06-Jan-2020","27-Feb-2020","9383.7","9385.3","9109.9","9126.3","9109.9","9126.3","48","553.74","5125","750","       9042.70"
"BAJAJFINSV","06-Jan-2020","26-Mar-2020","9235","9235","9179.7","9179.7","9179.7","9179.7","5","57.55","1250","375","       9042.70"
"BAJAJFINSV","07-Jan-2020","30-Jan-2020","9177.75","9314.3","9111","9134.15","9120","9134.15","3537","40653.19","1365750","16875","       9095.65"
"BAJAJFINSV","07-Jan-2020","27-Feb-2020","9280.55","9330.05","9161.95","9181.05","9181.05","9181.05","32","370.44","5875","750","       9095.65"
"BAJAJFINSV","07-Jan-2020","26-Mar-2020","9325.45","9425.95","9213.95","9213.95","9213.95","9213.95","12","139.78","1500","250","       9095.65"
"BAJAJFINSV","08-Jan-2020","30-Jan-2020","9019.4","9214.85","9019.4","9190.3","9190","9190.3","3323","37977.46","1363375","-2375","       9145.50"
"BAJAJFINSV","08-Jan-2020","27-Feb-2020","9125","9240.3","9098.4","9229","9240.3","9229","27","309.96","6750","875","       9145.50"
"BAJAJFINSV","08-Jan-2020","26-Mar-2020","9213.95","9268.35","9202.5","9268.35","9268.35","9258.15","3","34.61","1500","0","       9145.50"
"BAJAJFINSV","09-Jan-2020","30-Jan-2020","9338.2","9460","9251.15","9420.5","9409","9420.5","3346","39187.29","1362000","-1375","       9395.25"
"BAJAJFINSV","09-Jan-2020","27-Feb-2020","9325","9503.6","9300","9463.45","9461.1","9463.45","59","696.21","9625","2875","       9395.25"
"BAJAJFINSV","09-Jan-2020","26-Mar-2020","9351","9517.3","9351","9517.3","9517.3","9509.8","9","106.22","2000","500","       9395.25"
"BAJAJFINSV","10-Jan-2020","30-Jan-2020","9410","9470","9366","9396.2","9394.15","9396.2","1880","22126.77","1359375","-2625","       9372.25"
"BAJAJFINSV","10-Jan-2020","27-Feb-2020","9451.25","9500","9415","9433.4","9429.6","9433.4","26","307.06","10625","1000","       9372.25"
"BAJAJFINSV","10-Jan-2020","26-Mar-2020","9509.8","9509.8","9509.8","9509.8","9509.8","9485.15","2","23.77","1875","-125","       9372.25"
"BAJAJFINSV","13-Jan-2020","30-Jan-2020","9402.05","9479.55","9383","9470.2","9477.95","9470.2","1653","19525.51","1351875","-7500","       9455.25"
"BAJAJFINSV","13-Jan-2020","27-Feb-2020","9430.65","9521.05","9430.65","9511.4","9510","9511.4","27","320.57","12375","1750","       9455.25"
"BAJAJFINSV","13-Jan-2020","26-Mar-2020","9531.8","9540.25","9531.8","9538.15","9540.25","9538.15","3","35.76","2125","250","       9455.25"
"BAJAJFINSV","14-Jan-2020","30-Jan-2020","9458","9592.85","9437.85","9573.3","9585.05","9573.3","2974","35410.75","1354750","2875","       9554.85"
"BAJAJFINSV","14-Jan-2020","27-Feb-2020","9500.15","9628","9483.75","9619.45","9628","9619.45","72","862.7","18375","6000","       9554.85"
"BAJAJFINSV","14-Jan-2020","26-Mar-2020","9623.5","9651.85","9621.65","9639","9651.85","9639","8","96.35","2625","500","       9554.85"
