"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"BHARTIARTL","01-Mar-2019","28-Mar-2019","315","315","302.75","307.25","307.75","307.25","20466","107107.64","36986900","1385500","        307.65"
"BHARTIARTL","01-Mar-2019","25-Apr-2019","314.4","314.4","302.5","306.45","306.05","306.45","607","3181.16","506600","431800","        307.65"
"BHARTIARTL","01-Mar-2019","30-May-2019","0","0","0","324.05","0","313.4","0","0","0","0","        307.65"
"BHARTIARTL","05-Mar-2019","28-Mar-2019","307.75","310.5","303.5","309.2","308.95","309.2","6989","36557.28","36453100","-533800","        307.85"
"BHARTIARTL","05-Mar-2019","25-Apr-2019","307.65","309.5","303","308.5","308.2","308.5","241","1261.41","516800","10200","        307.85"
"BHARTIARTL","05-Mar-2019","30-May-2019","0","0","0","324.05","0","313.35","0","0","0","0","        307.85"
"BHARTIARTL","06-Mar-2019","28-Mar-2019","310.35","314.35","308.5","310.2","310.05","310.2","6007","31745.95","36415700","-37400","        309.40"
"BHARTIARTL","06-Mar-2019","25-Apr-2019","310.65","313.7","307.8","308.9","308.65","308.9","539","2828.41","1113500","596700","        309.40"
"BHARTIARTL","06-Mar-2019","30-May-2019","314.65","314.65","308.95","310","310","314.85","78","410.41","127500","127500","        309.40"
"BHARTIARTL","07-Mar-2019","28-Mar-2019","310.35","313.9","307.9","309.4","309.45","309.4","5230","27629.32","37199400","783700","        307.65"
"BHARTIARTL","07-Mar-2019","25-Apr-2019","308.65","311.5","307","308.7","308.85","308.7","68","358.76","1128800","15300","        307.65"
"BHARTIARTL","07-Mar-2019","30-May-2019","310","310","309.85","309.85","309.85","309.85","2","10.54","129200","1700","        307.65"
"BHARTIARTL","08-Mar-2019","28-Mar-2019","311.9","312.9","309.15","310.3","310.35","310.3","3373","17824.91","36747200","-452200","        308.70"
"BHARTIARTL","08-Mar-2019","25-Apr-2019","311.6","311.6","308.9","309.3","309.3","309.3","92","484.26","1224000","95200","        308.70"
"BHARTIARTL","08-Mar-2019","30-May-2019","0","0","0","309.85","309.85","314.05","0","0","129200","0","        308.70"
"BHARTIARTL","11-Mar-2019","28-Mar-2019","308.2","336.5","308.2","334.45","334.8","334.45","12144","67249.24","36046800","-700400","        333.80"
"BHARTIARTL","11-Mar-2019","25-Apr-2019","311.55","335.3","311.55","334.3","334","334.3","159","875.09","1247800","23800","        333.80"
"BHARTIARTL","11-Mar-2019","30-May-2019","318.3","335","318.3","333.35","335","333.35","11","61.03","132600","3400","        333.80"
"BHARTIARTL","12-Mar-2019","28-Mar-2019","333.5","354.3","330.5","351.9","351","351.9","16885","99367.63","34946900","-1099900","        351.80"
"BHARTIARTL","12-Mar-2019","25-Apr-2019","331.75","353.7","330.2","350.45","350","350.45","594","3499.56","1737400","489600","        351.80"
"BHARTIARTL","12-Mar-2019","30-May-2019","344","353","344","352.5","353","352.5","222","1311.81","494700","362100","        351.80"
"BHARTIARTL","13-Mar-2019","28-Mar-2019","349.9","357.7","338.5","339.65","338.6","339.65","8850","51979.68","34132600","-814300","        337.75"
"BHARTIARTL","13-Mar-2019","25-Apr-2019","349.2","356.5","338","338.85","338.5","338.85","158","927.89","1715300","-22100","        337.75"
"BHARTIARTL","13-Mar-2019","30-May-2019","352.75","352.75","337.95","338.85","339.75","338.85","7","41","487900","-6800","        337.75"
"BHARTIARTL","14-Mar-2019","28-Mar-2019","339.2","347.4","335.95","344.9","347.2","344.9","5412","31468.7","34238000","105400","        342.40"
