"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"BHARTIARTL","02-May-2016","26-May-2016","362.9","365.2","358.1","359.35","359.9","359.35","2496","10793.6","21734400","-295200","        357.80"
"BHARTIARTL","02-May-2016","30-Jun-2016","365.05","365.1","358.65","359.6","360","359.6","33","142.83","352800","4800","        357.80"
"BHARTIARTL","02-May-2016","28-Jul-2016","0","0","0","366.95","366.95","364.15","0","0","51000","0","        357.80"
"BHARTIARTL","03-May-2016","26-May-2016","360.95","370.7","359.8","368.2","366.55","368.2","4621","20365.08","21976800","242400","        368.35"
"BHARTIARTL","03-May-2016","30-Jun-2016","362.25","370.7","362.25","368.8","367.4","368.8","138","608.88","412800","60000","        368.35"
"BHARTIARTL","03-May-2016","28-Jul-2016","0","0","0","366.95","366.95","374.8","0","0","51000","0","        368.35"
"BHARTIARTL","04-May-2016","26-May-2016","366.1","369.2","360.75","362.4","363.55","362.4","4114","17954.6","21646800","-330000","        361.45"
"BHARTIARTL","04-May-2016","30-Jun-2016","367","369","361.25","362.95","364","362.95","106","463.16","462000","49200","        361.45"
"BHARTIARTL","04-May-2016","28-Jul-2016","0","0","0","366.95","366.95","367.75","0","0","51000","0","        361.45"
"BHARTIARTL","05-May-2016","26-May-2016","363","366.5","351.7","355.75","356.25","355.75","4479","19238.01","21432000","-214800","        354.40"
"BHARTIARTL","05-May-2016","30-Jun-2016","362.9","365.65","352.8","356.45","356.45","356.45","123","527.66","498000","36000","        354.40"
"BHARTIARTL","05-May-2016","28-Jul-2016","0","0","0","366.95","366.95","360.45","0","0","51000","0","        354.40"
"BHARTIARTL","06-May-2016","26-May-2016","354","364.4","354","359.3","359.5","359.3","4162","17964.93","21136800","-295200","        359.10"
"BHARTIARTL","06-May-2016","30-Jun-2016","361.9","361.9","357.35","359.7","360","359.7","45","194.06","501600","3600","        359.10"
"BHARTIARTL","06-May-2016","28-Jul-2016","0","0","0","366.95","366.95","365.15","0","0","51000","0","        359.10"
"BHARTIARTL","09-May-2016","26-May-2016","359.5","368.4","357.95","367.5","367.3","367.5","2897","12651.12","21765600","628800","        366.80"
"BHARTIARTL","09-May-2016","30-Jun-2016","358.4","368.6","358.4","368.1","367.9","368.1","78","341.59","506400","4800","        366.80"
