"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"BHARTIARTL","02-Sep-2013","26-Sep-2013","302","304.65","297.3","303.3","302.85","303.3","3914","11798.06","9436000","200000","        300.30"
"BHARTIARTL","02-Sep-2013","31-Oct-2013","304.55","305.3","299.95","305.15","305.2","305.15","43","130.46","79000","3000","        300.30"
"BHARTIARTL","02-Sep-2013","28-Nov-2013","303.05","304","303.05","304","304","308.55","2","6.07","2000","1000","        300.30"
"BHARTIARTL","03-Sep-2013","26-Sep-2013","307.05","308.9","285.2","287.05","286.15","287.05","6700","19910.86","10376000","940000","        285.00"
"BHARTIARTL","03-Sep-2013","31-Oct-2013","309","309.2","287.5","288.95","289.2","288.95","123","366.23","94000","15000","        285.00"
"BHARTIARTL","03-Sep-2013","28-Nov-2013","0","0","0","304","304","292.7","0","0","2000","0","        285.00"
"BHARTIARTL","04-Sep-2013","26-Sep-2013","289.65","301.5","282","299.75","299.35","299.75","5447","16110.98","10412000","36000","        297.20"
"BHARTIARTL","04-Sep-2013","31-Oct-2013","288.75","303.7","285.85","301.35","301.15","301.35","123","366.11","125000","31000","        297.20"
"BHARTIARTL","04-Sep-2013","28-Nov-2013","300","303","299.5","303","303","303","6","18.12","5000","3000","        297.20"
"BHARTIARTL","05-Sep-2013","26-Sep-2013","304.4","310.8","296.6","299.3","301","299.3","7687","23266.91","11196000","784000","        296.20"
"BHARTIARTL","05-Sep-2013","31-Oct-2013","311.35","312.1","299","301.6","302.9","301.6","138","420.2","149000","24000","        296.20"
"BHARTIARTL","05-Sep-2013","28-Nov-2013","304.25","304.25","304.25","304.25","304.25","304.25","2","6.09","6000","1000","        296.20"
"BHARTIARTL","06-Sep-2013","26-Sep-2013","303.3","319.75","300.55","315.4","316.1","315.4","9400","29161.85","10354000","-842000","        313.75"
"BHARTIARTL","06-Sep-2013","31-Oct-2013","304.15","321.55","304.15","316.8","318.85","316.8","102","321.07","176000","27000","        313.75"
"BHARTIARTL","06-Sep-2013","28-Nov-2013","313","316","313","316","316","321.95","2","6.29","6000","0","        313.75"
"BHARTIARTL","10-Sep-2013","26-Sep-2013","325","352.6","323","341.25","342.7","341.25","13606","45430.59","11264000","910000","        338.35"
"BHARTIARTL","10-Sep-2013","31-Oct-2013","328.5","353.1","326.3","344.6","343.3","344.6","288","968.25","223000","47000","        338.35"
"BHARTIARTL","10-Sep-2013","28-Nov-2013","338","338","333","333","333","346.5","2","6.71","6000","0","        338.35"
"BHARTIARTL","11-Sep-2013","26-Sep-2013","340","347.2","332.4","337.9","337","337.9","7662","26002.12","11438000","174000","        335.10"
"BHARTIARTL","11-Sep-2013","31-Oct-2013","346.1","349.65","335.5","340.4","339.65","340.4","287","980.02","312000","89000","        335.10"
"BHARTIARTL","11-Sep-2013","28-Nov-2013","351","351","338.45","343","343","343","10","34.37","11000","5000","        335.10"
"BHARTIARTL","12-Sep-2013","26-Sep-2013","338.7","341.85","326.85","330.85","331.9","330.85","4825","16108.51","11167000","-271000","        328.60"
"BHARTIARTL","12-Sep-2013","31-Oct-2013","341.5","343.75","330.1","333.7","334.4","333.7","292","981.85","324000","12000","        328.60"
"BHARTIARTL","12-Sep-2013","28-Nov-2013","339.9","340.05","338","338","338","336.35","5","16.98","10000","-1000","        328.60"
"BHARTIARTL","13-Sep-2013","26-Sep-2013","326.95","334.4","319","328.35","328.5","328.35","8692","28319.38","11158000","-9000","        325.75"
"BHARTIARTL","13-Sep-2013","31-Oct-2013","331.25","337","322.1","331.2","331","331.2","241","793.68","335000","11000","        325.75"
"BHARTIARTL","13-Sep-2013","28-Nov-2013","336.55","336.55","326.25","326.25","326.25","333.35","4","13.21","10000","0","        325.75"
"BHARTIARTL","16-Sep-2013","26-Sep-2013","331.15","341.2","328.55","337.3","336.7","337.3","8244","27628.49","10842000","-316000","        335.75"
