"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"BPCL","02-Jan-2007","25-Jan-2007","333.5","334","328.05","328.55","328.3","328.55","303","1102.41","3229600","-18700","        334.30"
"BPCL","02-Jan-2007","22-Feb-2007","0","0","0","334","334","338.8","0","0","7700","0","        334.30"
"BPCL","02-Jan-2007","29-Mar-2007","0","0","0","343.55","0","341.95","0","0","0","0","        334.30"
"BPCL","03-Jan-2007","25-Jan-2007","327.5","333.2","327.45","331.85","332.25","331.85","462","1679.29","3169100","-60500","        337.95"
"BPCL","03-Jan-2007","22-Feb-2007","330","330","330","330","330","342.15","1","3.63","8800","1100","        337.95"
"BPCL","03-Jan-2007","29-Mar-2007","0","0","0","343.55","0","345.1","0","0","0","0","        337.95"
"BPCL","04-Jan-2007","25-Jan-2007","338","348.5","338","340.9","341.25","340.9","1413","5337.35","3104200","-64900","        345.45"
"BPCL","04-Jan-2007","22-Feb-2007","345","345.05","345","345","345","349.7","3","11.39","9900","1100","        345.45"
"BPCL","04-Jan-2007","29-Mar-2007","0","0","0","343.55","0","352.75","0","0","0","0","        345.45"
"BPCL","05-Jan-2007","25-Jan-2007","348","352.8","345.15","346.45","347.3","346.45","1257","4827.34","2989800","-114400","        352.20"
"BPCL","05-Jan-2007","22-Feb-2007","351","357.75","348","350.2","350","350.2","32","123.43","37400","27500","        352.20"
"BPCL","05-Jan-2007","29-Mar-2007","0","0","0","343.55","0","359.65","0","0","0","0","        352.20"
"BPCL","08-Jan-2007","25-Jan-2007","348","351","345.1","346","345.15","346","813","3120.72","2959000","-30800","        352.05"
"BPCL","08-Jan-2007","22-Feb-2007","352.75","354.65","348","348.65","348","348.65","28","108.22","42900","5500","        352.05"
"BPCL","08-Jan-2007","29-Mar-2007","0","0","0","343.55","0","359.25","0","0","0","0","        352.05"
"BPCL","09-Jan-2007","25-Jan-2007","345","351.65","337.5","340.95","341.3","340.95","627","2382.99","3001900","42900","        345.25"
"BPCL","09-Jan-2007","22-Feb-2007","353","354","341","343.9","344","343.9","24","91.63","52800","9900","        345.25"
"BPCL","09-Jan-2007","29-Mar-2007","0","0","0","343.55","0","352.25","0","0","0","0","        345.25"
"BPCL","10-Jan-2007","25-Jan-2007","341","344.9","334.5","338.4","339.2","338.4","643","2402.41","3022800","20900","        345.00"
"BPCL","10-Jan-2007","22-Feb-2007","343","345.95","339","340.5","340.5","340.5","30","112.76","55000","2200","        345.00"
"BPCL","10-Jan-2007","29-Mar-2007","0","0","0","343.55","0","351.75","0","0","0","0","        345.00"
"BPCL","11-Jan-2007","25-Jan-2007","340.1","349.7","340.1","348.6","349","348.6","721","2740.16","2899600","-123200","        354.65"
"BPCL","11-Jan-2007","22-Feb-2007","345","350.85","344.15","350.85","350.85","350.85","25","95.53","63800","8800","        354.65"
"BPCL","11-Jan-2007","29-Mar-2007","0","0","0","343.55","0","361.65","0","0","0","0","        354.65"
"BPCL","12-Jan-2007","25-Jan-2007","353.75","366.25","352.5","363.05","362.3","363.05","1979","7843.92","2547600","-352000","        367.85"
"BPCL","12-Jan-2007","22-Feb-2007","353","366","353","365","365","365","11","43.85","62700","-1100","        367.85"
"BPCL","12-Jan-2007","29-Mar-2007","0","0","0","343.55","0","374.9","0","0","0","0","        367.85"
"BPCL","15-Jan-2007","25-Jan-2007","368.95","368.95","351","352.8","353","352.8","717","2814.31","2593800","46200","        351.80"
"BPCL","15-Jan-2007","22-Feb-2007","362","367.7","351.5","353.8","353.4","353.8","139","543.96","133100","70400","        351.80"
"BPCL","15-Jan-2007","29-Mar-2007","0","0","0","343.55","0","358.4","0","0","0","0","        351.80"
"BPCL","16-Jan-2007","25-Jan-2007","354","356.65","347.05","347.95","348","347.95","566","2180.81","2611400","17600","        347.60"
"BPCL","16-Jan-2007","22-Feb-2007","353.5","353.5","348","349.15","349.25","349.15","217","836.84","291500","158400","        347.60"
"BPCL","16-Jan-2007","29-Mar-2007","0","0","0","343.55","0","354.05","0","0","0","0","        347.60"
"BPCL","17-Jan-2007","25-Jan-2007","351.25","361","347","360.1","360.3","360.1","1177","4633.15","2492600","-118800","        359.95"
"BPCL","17-Jan-2007","22-Feb-2007","356.1","362.5","355.1","361.9","362.4","361.9","106","419.1","328900","37400","        359.95"
"BPCL","17-Jan-2007","29-Mar-2007","0","0","0","343.55","0","366.5","0","0","0","0","        359.95"
"BPCL","18-Jan-2007","25-Jan-2007","362","369.9","357.55","364.25","363.55","364.25","1261","5051.65","2297900","-194700","        365.95"
"BPCL","18-Jan-2007","22-Feb-2007","360","370.2","360","366.05","366.35","366.05","204","821.25","407000","78100","        365.95"
"BPCL","18-Jan-2007","29-Mar-2007","0","0","0","343.55","0","372.55","0","0","0","0","        365.95"
"BPCL","19-Jan-2007","25-Jan-2007","367.7","373.45","365.45","367","367.5","367","807","3278.02","2356200","58300","        365.80"
"BPCL","19-Jan-2007","22-Feb-2007","371.25","375.1","368","369.35","370","369.35","192","783.33","504900","97900","        365.80"
"BPCL","19-Jan-2007","29-Mar-2007","0","0","0","343.55","0","372.35","0","0","0","0","        365.80"
"BPCL","22-Jan-2007","25-Jan-2007","365","368.5","361.25","366.55","367.5","366.55","460","1845.4","2139500","-216700","        367.15"
"BPCL","22-Jan-2007","22-Feb-2007","366.1","375","363.5","368.95","368.6","368.95","202","817.88","609400","104500","        367.15"
"BPCL","22-Jan-2007","29-Mar-2007","0","0","0","343.55","0","373.45","0","0","0","0","        367.15"
"BPCL","23-Jan-2007","25-Jan-2007","365.25","367.4","357.5","359.25","357.5","359.25","577","2292.97","1831500","-308000","        357.30"
"BPCL","23-Jan-2007","22-Feb-2007","367.5","367.85","360.35","361.6","360.35","361.6","474","1899.12","983400","374000","        357.30"
"BPCL","23-Jan-2007","29-Mar-2007","0","0","0","343.55","0","363.3","0","0","0","0","        357.30"
