"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"BPCL","01-Jul-2015","30-Jul-2015","883.35","895","883","890.6","892","890.6","4855","21595.8","3445000","-87000","        887.95"
"BPCL","01-Jul-2015","27-Aug-2015","888.15","898.7","888.15","894.6","895.6","894.6","41","183.07","114000","8500","        887.95"
"BPCL","01-Jul-2015","24-Sep-2015","877.25","878","877.25","878","878","878","4","17.55","5000","2000","        887.95"
"BPCL","02-Jul-2015","30-Jul-2015","894.7","908.8","894.5","904.4","904.95","904.4","7000","31643.21","3637000","192000","        900.00"
"BPCL","02-Jul-2015","27-Aug-2015","893","912","893","908.35","908.9","908.35","179","811.51","116500","2500","        900.00"
"BPCL","02-Jul-2015","24-Sep-2015","890","892.35","890","890","890","890","4","17.82","6500","1500","        900.00"
"BPCL","03-Jul-2015","30-Jul-2015","905.8","916.2","899","905.15","905.55","905.15","5709","25917.56","3562000","-75000","        902.85"
"BPCL","03-Jul-2015","27-Aug-2015","914.3","919.45","903","909.25","910","909.25","60","273.47","118500","2000","        902.85"
"BPCL","03-Jul-2015","24-Sep-2015","896","896","896","896","896","919.55","1","4.48","6500","0","        902.85"
"BPCL","06-Jul-2015","30-Jul-2015","903.15","937.5","901.65","933.9","935.25","933.9","9085","42146.39","3746500","184500","        930.85"
"BPCL","06-Jul-2015","27-Aug-2015","916.1","940","914.85","938.45","936.15","938.45","131","610.17","125000","6500","        930.85"
"BPCL","06-Jul-2015","24-Sep-2015","900","921","900","921","921","921","6","27.37","8500","2000","        930.85"
"BPCL","07-Jul-2015","30-Jul-2015","931.75","944","928.6","936.25","937.05","936.25","6510","30489.1","3789000","42500","        932.35"
"BPCL","07-Jul-2015","27-Aug-2015","942.25","948.5","931.3","940.8","940.35","940.8","127","598.2","134000","9000","        932.35"
"BPCL","07-Jul-2015","24-Sep-2015","918.3","924.5","917.45","922.9","922.9","948.45","7","32.27","8000","-500","        932.35"
"BPCL","08-Jul-2015","30-Jul-2015","933","952.9","913.6","920.65","914.5","920.65","13412","62871.26","4027500","238500","        916.10"
