"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"BPCL","03-May-2007","31-May-2007","339","349.9","338.5","348.5","349.85","348.5","915","3473.22","1732500","23100","        346.55"
"BPCL","03-May-2007","28-Jun-2007","0","0","0","330","330","352.35","0","0","0","0","        346.55"
"BPCL","03-May-2007","26-Jul-2007","0","0","0","348.65","0","355.25","0","0","0","0","        346.55"
"BPCL","04-May-2007","31-May-2007","351.4","352","336","338.25","339","338.25","956","3621.12","1884300","151800","        334.95"
"BPCL","04-May-2007","28-Jun-2007","0","0","0","330","330","340.4","0","0","0","0","        334.95"
"BPCL","04-May-2007","26-Jul-2007","0","0","0","348.65","0","343.2","0","0","0","0","        334.95"
"BPCL","07-May-2007","31-May-2007","342","353.8","342","351.95","352.85","351.95","1292","4957.02","1938200","53900","        349.65"
"BPCL","07-May-2007","28-Jun-2007","0","0","0","330","330","355.05","0","0","0","0","        349.65"
"BPCL","07-May-2007","26-Jul-2007","0","0","0","348.65","0","358","0","0","0","0","        349.65"
"BPCL","08-May-2007","31-May-2007","352.25","356","343","344.2","343.55","344.2","913","3534.79","1871100","-67100","        342.95"
"BPCL","08-May-2007","28-Jun-2007","0","0","0","330","330","348.1","0","0","0","0","        342.95"
"BPCL","08-May-2007","26-Jul-2007","0","0","0","348.65","0","350.95","0","0","0","0","        342.95"
"BPCL","09-May-2007","31-May-2007","344.45","352.5","340.85","351.35","350.05","351.35","699","2669.7","1752300","-118800","        350.55"
"BPCL","09-May-2007","28-Jun-2007","348","350.15","342.6","350.15","350.15","355.7","5","19.07","4400","4400","        350.55"
"BPCL","09-May-2007","26-Jul-2007","0","0","0","348.65","0","358.6","0","0","0","0","        350.55"
"BPCL","10-May-2007","31-May-2007","352.85","361","350.1","353.75","354.45","353.75","906","3548.21","1841400","89100","        355.05"
"BPCL","10-May-2007","28-Jun-2007","0","0","0","350.15","350.15","360.1","0","0","4400","0","        355.05"
"BPCL","10-May-2007","26-Jul-2007","0","0","0","348.65","0","363.05","0","0","0","0","        355.05"
"BPCL","11-May-2007","31-May-2007","349","358","349","357.15","356.65","357.15","661","2571.55","1864500","23100","        357.70"
"BPCL","11-May-2007","28-Jun-2007","351.8","351.8","351.8","351.8","351.8","362.65","1","3.87","3300","-1100","        357.70"
"BPCL","11-May-2007","26-Jul-2007","0","0","0","348.65","0","365.55","0","0","0","0","        357.70"
"BPCL","14-May-2007","31-May-2007","364.85","373.5","360","368.9","367.8","368.9","998","4045.2","2094400","229900","        365.65"
"BPCL","14-May-2007","28-Jun-2007","371.95","379.8","368.5","368.5","368.5","368.5","8","32.85","7700","4400","        365.65"
"BPCL","14-May-2007","26-Jul-2007","0","0","0","348.65","0","373.45","0","0","0","0","        365.65"
"BPCL","15-May-2007","31-May-2007","368","379.9","368","378","379","378","1211","5001.31","2268200","173800","        374.70"
"BPCL","15-May-2007","28-Jun-2007","376.5","380.95","371","378.85","380.45","378.85","30","124.46","27500","19800","        374.70"
"BPCL","15-May-2007","26-Jul-2007","0","0","0","348.65","0","382.6","0","0","0","0","        374.70"
"BPCL","16-May-2007","31-May-2007","378","379.35","366.55","371.5","372.85","371.5","985","4023.97","2245100","-23100","        367.95"
"BPCL","16-May-2007","28-Jun-2007","373.2","374.5","368.5","373","373","373","19","77.43","38500","11000","        367.95"
"BPCL","16-May-2007","26-Jul-2007","0","0","0","348.65","0","375.65","0","0","0","0","        367.95"
"BPCL","17-May-2007","31-May-2007","373.1","384","373.1","381.15","381.7","381.15","804","3353.15","2228600","-16500","        379.45"
"BPCL","17-May-2007","28-Jun-2007","378.5","384","377","382","382","382","17","71.17","40700","2200","        379.45"
"BPCL","17-May-2007","26-Jul-2007","0","0","0","348.65","0","387.1","0","0","0","0","        379.45"
"BPCL","18-May-2007","31-May-2007","375","382.5","370","377.25","376.9","377.25","692","2857.29","2150500","-78100","        375.60"
"BPCL","18-May-2007","28-Jun-2007","375","380.4","373.4","378.25","378.25","378.25","18","74.65","42900","2200","        375.60"
"BPCL","18-May-2007","26-Jul-2007","0","0","0","348.65","0","383.1","0","0","0","0","        375.60"
"BPCL","21-May-2007","31-May-2007","378.45","395.5","377.35","393.5","393.4","393.5","1379","5898.88","2098800","-51700","        393.50"
"BPCL","21-May-2007","28-Jun-2007","381","395","378.55","393.75","394.9","393.75","80","341.42","59400","16500","        393.50"
"BPCL","21-May-2007","26-Jul-2007","0","0","0","348.65","0","401","0","0","0","0","        393.50"
"BPCL","22-May-2007","31-May-2007","390","392.3","385","390.8","390.95","390.8","620","2650.2","2115300","16500","        390.00"
"BPCL","22-May-2007","28-Jun-2007","389","392.85","386","392","392.5","392","20","85.61","59400","0","        390.00"
"BPCL","22-May-2007","26-Jul-2007","0","0","0","348.65","0","397.3","0","0","0","0","        390.00"
"BPCL","23-May-2007","31-May-2007","392","402","380.75","386.45","385.2","386.45","1144","4941.96","2251700","136400","        384.50"
"BPCL","23-May-2007","28-Jun-2007","397.35","401.9","382.1","386.75","387.4","386.75","68","294.93","92400","33000","        384.50"
"BPCL","23-May-2007","26-Jul-2007","0","0","0","348.65","0","391.55","0","0","0","0","        384.50"
"BPCL","24-May-2007","31-May-2007","382.1","386.5","372","373.15","373","373.15","690","2852.79","2403500","151800","        371.05"
"BPCL","24-May-2007","28-Jun-2007","388","388","373","373.85","374.65","373.85","97","400.94","148500","56100","        371.05"
"BPCL","24-May-2007","26-Jul-2007","0","0","0","348.65","0","377.75","0","0","0","0","        371.05"
"BPCL","25-May-2007","31-May-2007","351.55","371.25","351.55","366.55","367","366.55","829","3335.88","2230800","-172700","        364.80"
"BPCL","25-May-2007","28-Jun-2007","373","373","363","368.55","368.5","368.55","324","1308.6","341000","192500","        364.80"
"BPCL","25-May-2007","26-Jul-2007","0","0","0","348.65","0","371.3","0","0","0","0","        364.80"
"BPCL","28-May-2007","31-May-2007","370","370","362","363.7","363.55","363.7","577","2329.49","2039400","-191400","        362.90"
"BPCL","28-May-2007","28-Jun-2007","369.2","371.5","365","366.05","365.75","366.05","409","1663.06","625900","284900","        362.90"
"BPCL","28-May-2007","26-Jul-2007","0","0","0","348.65","0","369","0","0","0","0","        362.90"
"BPCL","29-May-2007","31-May-2007","361","365.65","356.05","358.85","358.1","358.85","778","3081.94","1641200","-398200","        357.55"
"BPCL","29-May-2007","28-Jun-2007","364.4","368.4","359","361.65","360.7","361.65","687","2738.93","1148400","522500","        357.55"
"BPCL","29-May-2007","26-Jul-2007","0","0","0","348.65","0","363.4","0","0","0","0","        357.55"
"BPCL","30-May-2007","31-May-2007","360","361.35","350.3","353.1","350.7","353.1","732","2874.96","1200100","-441100","        353.10"
"BPCL","30-May-2007","28-Jun-2007","355.9","365","352.15","355.4","354","355.4","722","2857.28","1543300","394900","        353.10"
"BPCL","30-May-2007","26-Jul-2007","0","0","0","348.65","0","358.7","0","0","0","0","        353.10"
"BPCL","31-May-2007","31-May-2007","356.5","361.9","352.8","358.75","360.65","361.2","1218","4777.49","537900","-662200","        361.20"
"BPCL","31-May-2007","28-Jun-2007","357.95","366.5","356","363.15","362.5","363.15","1034","4090.61","2134000","590700","        361.20"
"BPCL","31-May-2007","26-Jul-2007","0","0","0","348.65","0","366.65","0","0","0","0","        361.20"
"BPCL","01-Jun-2007","28-Jun-2007","365.7","365.7","360","361.8","360","361.8","314","1252.73","2154900","20900","        360.95"
"BPCL","01-Jun-2007","26-Jul-2007","0","0","0","348.65","0","366.1","0","0","0","0","        360.95"
"BPCL","01-Jun-2007","30-Aug-2007","0","0","0","370.1","0","369.4","0","0","0","0","        360.95"
"BPCL","04-Jun-2007","28-Jun-2007","360","369","354.15","356.65","355","356.65","493","1961.93","2153800","-1100","        355.60"
"BPCL","04-Jun-2007","26-Jul-2007","0","0","0","348.65","0","360.45","0","0","0","0","        355.60"
"BPCL","04-Jun-2007","30-Aug-2007","0","0","0","370.1","0","363.75","0","0","0","0","        355.60"
"BPCL","05-Jun-2007","28-Jun-2007","352","353.5","347.3","351.95","352","351.95","424","1638.45","2099900","-53900","        349.90"
"BPCL","05-Jun-2007","26-Jul-2007","351","352.5","350","352.25","352.25","352.25","9","34.77","8800","8800","        349.90"
"BPCL","05-Jun-2007","30-Aug-2007","0","0","0","370.1","0","357.85","0","0","0","0","        349.90"
"BPCL","06-Jun-2007","28-Jun-2007","354","354","339.55","342.3","341.5","342.3","709","2691.6","2240700","140800","        340.95"
"BPCL","06-Jun-2007","26-Jul-2007","351","351","340","343","343","345.45","17","64.72","17600","8800","        340.95"
"BPCL","06-Jun-2007","30-Aug-2007","0","0","0","370.1","0","348.6","0","0","0","0","        340.95"
"BPCL","07-Jun-2007","28-Jun-2007","343","345.85","340.5","343.95","343.7","343.95","553","2086.04","2164800","-75900","        344.05"
"BPCL","07-Jun-2007","26-Jul-2007","346","350.1","346","346","346","346","3","11.46","17600","0","        344.05"
"BPCL","07-Jun-2007","30-Aug-2007","0","0","0","370.1","0","351.5","0","0","0","0","        344.05"
"BPCL","08-Jun-2007","28-Jun-2007","340","340","330.5","331.9","333","331.9","487","1789.3","2257200","92400","        331.25"
"BPCL","08-Jun-2007","26-Jul-2007","338","338","332","335","335","335.4","9","33.07","26400","8800","        331.25"
"BPCL","08-Jun-2007","30-Aug-2007","0","0","0","370.1","0","338.5","0","0","0","0","        331.25"
"BPCL","11-Jun-2007","28-Jun-2007","349.95","349.95","335","338.9","339.95","338.9","713","2657.05","2222000","-35200","        338.30"
"BPCL","11-Jun-2007","26-Jul-2007","338","341.7","338","341.7","341.7","342.3","4","14.94","27500","1100","        338.30"
"BPCL","11-Jun-2007","30-Aug-2007","0","0","0","370.1","0","345.45","0","0","0","0","        338.30"
"BPCL","12-Jun-2007","28-Jun-2007","339","345.5","334.35","344.85","345.35","344.85","669","2503.81","2123000","-99000","        346.35"
"BPCL","12-Jun-2007","26-Jul-2007","336","346","336","346","346","346","17","63.25","36300","8800","        346.35"
"BPCL","12-Jun-2007","30-Aug-2007","0","0","0","370.1","0","353.7","0","0","0","0","        346.35"
"BPCL","13-Jun-2007","28-Jun-2007","346.7","346.7","334.6","335.35","335.5","335.35","406","1516.79","2226400","103400","        334.50"
"BPCL","13-Jun-2007","26-Jul-2007","344.6","344.6","337.5","337.5","337.5","338.3","15","56.23","50600","14300","        334.50"
"BPCL","13-Jun-2007","30-Aug-2007","0","0","0","370.1","0","341.4","0","0","0","0","        334.50"
"BPCL","14-Jun-2007","28-Jun-2007","325.85","338","325.85","335.75","336.4","335.75","285","1051.15","2241800","15400","        334.80"
"BPCL","14-Jun-2007","26-Jul-2007","337.25","337.25","334","336.5","336.5","338.55","6","22.15","56100","5500","        334.80"
"BPCL","14-Jun-2007","30-Aug-2007","0","0","0","370.1","0","341.7","0","0","0","0","        334.80"
"BPCL","15-Jun-2007","28-Jun-2007","335","335","330.4","332.3","331.2","332.3","374","1366.18","2260500","18700","        334.60"
"BPCL","15-Jun-2007","26-Jul-2007","335","335.4","332","334.5","333.55","334.5","19","69.73","71500","15400","        334.60"
"BPCL","15-Jun-2007","30-Aug-2007","0","0","0","370.1","0","341.4","0","0","0","0","        334.60"
"BPCL","18-Jun-2007","28-Jun-2007","332.4","333.9","330.95","332.4","332.5","332.4","238","870.32","2252800","-7700","        334.00"
"BPCL","18-Jun-2007","26-Jul-2007","331.55","336.25","331.55","333.05","333.05","337.4","6","22.03","71500","0","        334.00"
"BPCL","18-Jun-2007","30-Aug-2007","0","0","0","370.1","0","340.5","0","0","0","0","        334.00"
"BPCL","19-Jun-2007","28-Jun-2007","331.25","337.75","326.5","333.95","334.5","333.95","545","1993.83","2307800","55000","        332.15"
"BPCL","19-Jun-2007","26-Jul-2007","332.5","338.85","327.75","336.1","336.75","336.1","35","128.64","91300","19800","        332.15"
"BPCL","19-Jun-2007","30-Aug-2007","0","0","0","370.1","0","338.45","0","0","0","0","        332.15"
"BPCL","20-Jun-2007","28-Jun-2007","334.05","336","332.2","333.15","333.6","333.15","267","979.51","2294600","-13200","        333.00"
"BPCL","20-Jun-2007","26-Jul-2007","335","335.7","333.35","334.75","335.45","334.75","48","176.7","121000","29700","        333.00"
"BPCL","20-Jun-2007","30-Aug-2007","340","340","340","340","340","339.2","1","3.74","1100","1100","        333.00"
"BPCL","21-Jun-2007","28-Jun-2007","335.75","348.85","331.25","346.65","348.85","346.65","1388","5192.15","2335300","40700","        347.40"
"BPCL","21-Jun-2007","26-Jul-2007","336","350","332.9","348.85","350","348.85","317","1190.81","266200","145200","        347.40"
"BPCL","21-Jun-2007","30-Aug-2007","0","0","0","340","340","353.75","0","0","1100","0","        347.40"
"BPCL","22-Jun-2007","28-Jun-2007","349.4","353","345.65","347.65","348","347.65","918","3527.96","2017400","-317900","        352.10"
"BPCL","22-Jun-2007","26-Jul-2007","350.8","353.55","346","347.65","347.8","347.65","338","1300.43","302500","36300","        352.10"
"BPCL","22-Jun-2007","30-Aug-2007","0","0","0","340","340","358.5","0","0","1100","0","        352.10"
"BPCL","25-Jun-2007","28-Jun-2007","345.1","348.2","338","340.8","340.5","340.8","361","1352.43","1888700","-128700","        343.15"
"BPCL","25-Jun-2007","26-Jul-2007","346.25","348.4","339","341.9","341.5","341.9","290","1089.49","492800","190300","        343.15"
"BPCL","25-Jun-2007","30-Aug-2007","0","0","0","340","340","349.1","0","0","1100","0","        343.15"
"BPCL","26-Jun-2007","28-Jun-2007","337.1","343.75","334.95","336.05","335.8","336.05","1046","3900.2","1332100","-556600","        335.75"
"BPCL","26-Jun-2007","26-Jul-2007","340","344.9","337","337.6","337.5","337.6","935","3497.59","1249600","756800","        335.75"
"BPCL","26-Jun-2007","30-Aug-2007","0","0","0","340","340","341.35","0","0","1100","0","        335.75"
"BPCL","27-Jun-2007","28-Jun-2007","336","338","329.5","330.75","331","330.75","680","2493.86","942700","-389400","        329.50"
"BPCL","27-Jun-2007","26-Jul-2007","340.5","340.5","331.95","332.7","333.3","332.7","809","2984.35","1846900","597300","        329.50"
"BPCL","27-Jun-2007","30-Aug-2007","330.5","330.5","330.5","330.5","330.5","334.95","1","3.64","2200","1100","        329.50"
"BPCL","28-Jun-2007","28-Jun-2007","334","337.5","330.2","336.6","336.55","336.75","899","3300.7","491700","-451000","        336.75"
"BPCL","28-Jun-2007","26-Jul-2007","339.95","341","333.3","339.1","339.95","339.1","1011","3739.89","2358400","511500","        336.75"
"BPCL","28-Jun-2007","30-Aug-2007","338","338","338","338","338","342.35","1","3.72","2200","0","        336.75"
"BPCL","29-Jun-2007","26-Jul-2007","337.2","342.5","334.1","341.3","341.85","341.3","496","1846.84","2372700","14300","        340.45"
"BPCL","29-Jun-2007","30-Aug-2007","336.2","339.5","335.1","338.5","338","338.5","11","40.76","8800","6600","        340.45"
"BPCL","29-Jun-2007","27-Sep-2007","0","0","0","344.85","0","348.6","0","0","0","0","        340.45"
