"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"BPCL","03-Nov-2003","27-Nov-2003","352.75","360","347.6","351.85","351.4","351.85","1273","4945.18","1881000","89100","        348.35"
"BPCL","03-Nov-2003","24-Dec-2003","352","353.1","350","350","350","350.85","4","15.46","3300","1100","        348.35"
"BPCL","03-Nov-2003","29-Jan-2004","0","0","0","334.8","0","352.6","0","0","0","0","        348.35"
"BPCL","04-Nov-2003","27-Nov-2003","352.45","363.25","348","355.4","354.65","355.4","2397","9420.37","2285800","404800","        351.70"
"BPCL","04-Nov-2003","24-Dec-2003","351.05","351.05","351.05","351.05","351.05","351.05","1","3.86","2200","-1100","        351.70"
"BPCL","04-Nov-2003","29-Jan-2004","0","0","0","334.8","0","356","0","0","0","0","        351.70"
"BPCL","05-Nov-2003","27-Nov-2003","356.5","365.8","353","358.1","359","358.1","1652","6553.65","2317700","31900","        354.75"
"BPCL","05-Nov-2003","24-Dec-2003","360","365.5","360","360","360","357.25","8","31.88","7700","5500","        354.75"
"BPCL","05-Nov-2003","29-Jan-2004","0","0","0","334.8","0","359.05","0","0","0","0","        354.75"
"BPCL","06-Nov-2003","27-Nov-2003","360.6","363.5","352.8","354.05","353.8","354.05","853","3358.07","2352900","35200","        350.20"
"BPCL","06-Nov-2003","24-Dec-2003","0","0","0","360","360","352.55","0","0","7700","0","        350.20"
"BPCL","06-Nov-2003","29-Jan-2004","0","0","0","334.8","0","354.25","0","0","0","0","        350.20"
"BPCL","07-Nov-2003","27-Nov-2003","355.05","370.5","349","363.4","363.4","363.4","3375","13514.45","2398000","45100","        359.75"
"BPCL","07-Nov-2003","24-Dec-2003","360","373.8","360","365.1","365.1","365.1","19","76.53","5500","-2200","        359.75"
"BPCL","07-Nov-2003","29-Jan-2004","0","0","0","334.8","0","363.85","0","0","0","0","        359.75"
"BPCL","10-Nov-2003","27-Nov-2003","362","365.8","357","360.6","362","360.6","881","3500.52","2565200","167200","        355.90"
"BPCL","10-Nov-2003","24-Dec-2003","0","0","0","365.1","365.1","358.05","0","0","5500","0","        355.90"
"BPCL","10-Nov-2003","29-Jan-2004","0","0","0","334.8","0","359.85","0","0","0","0","        355.90"
"BPCL","11-Nov-2003","27-Nov-2003","364.65","378.8","363.25","369.85","370.25","369.85","2153","8797.47","2745600","180400","        366.15"
"BPCL","11-Nov-2003","24-Dec-2003","380","380","372.45","373","373","373","8","33.06","6600","1100","        366.15"
"BPCL","11-Nov-2003","29-Jan-2004","0","0","0","334.8","0","370.15","0","0","0","0","        366.15"
"BPCL","12-Nov-2003","27-Nov-2003","372","377.8","360","361.7","361.25","361.7","2263","9190.97","2834700","89100","        358.75"
"BPCL","12-Nov-2003","24-Dec-2003","375","378","364","364","364","364","10","41.08","8800","2200","        358.75"
"BPCL","12-Nov-2003","29-Jan-2004","0","0","0","334.8","0","362.6","0","0","0","0","        358.75"
"BPCL","13-Nov-2003","27-Nov-2003","364.7","365","352","355.7","357.25","355.7","1975","7782.57","2491500","-343200","        355.40"
"BPCL","13-Nov-2003","24-Dec-2003","362.5","364.75","357","357.4","357","357.4","22","87.35","12100","3300","        355.40"
"BPCL","13-Nov-2003","29-Jan-2004","0","0","0","334.8","0","359.15","0","0","0","0","        355.40"
"BPCL","14-Nov-2003","27-Nov-2003","358.4","358.5","350.1","353.35","353","353.35","781","3043.83","2409000","-82500","        353.40"
"BPCL","14-Nov-2003","24-Dec-2003","359.5","359.5","351","354.7","355.35","354.7","13","50.71","11000","-1100","        353.40"
"BPCL","14-Nov-2003","29-Jan-2004","0","0","0","334.8","0","357.1","0","0","0","0","        353.40"
"BPCL","15-Nov-2003","27-Nov-2003","355","358","351.75","356.85","356","356.85","153","598.41","2406800","-2200","        355.40"
"BPCL","15-Nov-2003","24-Dec-2003","354","359","354","356.75","359","356.75","5","19.57","13200","2200","        355.40"
"BPCL","15-Nov-2003","29-Jan-2004","0","0","0","334.8","0","359.1","0","0","0","0","        355.40"
"BPCL","17-Nov-2003","27-Nov-2003","354.4","364.5","352.1","360.4","361.45","360.4","1157","4580.11","2411200","4400","        358.75"
"BPCL","17-Nov-2003","24-Dec-2003","358.95","364.9","358.95","364.5","364.5","364.5","5","19.93","18700","5500","        358.75"
"BPCL","17-Nov-2003","29-Jan-2004","0","0","0","334.8","0","362.3","0","0","0","0","        358.75"
"BPCL","18-Nov-2003","27-Nov-2003","362.1","366","354.25","356.1","357.5","356.1","755","2995.46","2321000","-90200","        356.45"
"BPCL","18-Nov-2003","24-Dec-2003","363","363","362.05","362.05","362.05","358.2","3","11.96","20900","2200","        356.45"
"BPCL","18-Nov-2003","29-Jan-2004","0","0","0","334.8","0","359.95","0","0","0","0","        356.45"
"BPCL","19-Nov-2003","27-Nov-2003","356","357","346.5","347.75","348.05","347.75","477","1837.32","2230800","-90200","        347.75"
"BPCL","19-Nov-2003","24-Dec-2003","356","356","349.5","349.5","349.5","349.5","26","100.79","40700","19800","        347.75"
"BPCL","19-Nov-2003","29-Jan-2004","320","390","320","390","390","351.15","10","39.05","0","0","        347.75"
"BPCL","20-Nov-2003","27-Nov-2003","348","354","343.75","345.1","345.5","345.1","625","2398.55","2118600","-112200","        345.30"
"BPCL","20-Nov-2003","24-Dec-2003","352.5","357","345.5","347.65","349","347.65","57","221","80300","39600","        345.30"
"BPCL","20-Nov-2003","29-Jan-2004","0","0","0","390","390","348.6","0","0","0","0","        345.30"
"BPCL","21-Nov-2003","27-Nov-2003","343.1","345.95","336.3","344.3","345.05","344.3","773","2897.24","1895300","-223300","        344.25"
"BPCL","21-Nov-2003","24-Dec-2003","347.1","351","340.05","348.65","351","348.65","109","412.37","152900","72600","        344.25"
"BPCL","21-Nov-2003","29-Jan-2004","0","0","0","390","390","347.5","0","0","0","0","        344.25"
"BPCL","24-Nov-2003","27-Nov-2003","345.5","346.5","342.5","343.7","343.3","343.7","546","2067.74","1626900","-268400","        343.20"
"BPCL","24-Nov-2003","24-Dec-2003","349","349","345.05","346.4","345.05","346.4","309","1178.66","440000","287100","        343.20"
