"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"BPCL","01-Sep-2014","25-Sep-2014","681.1","694.8","674.8","690.35","690.5","690.35","8083","27728.79","4163500","101500","        704.85"
"BPCL","01-Sep-2014","30-Oct-2014","687","696.2","679.85","694.2","693.35","694.2","41","140.8","26500","5500","        704.85"
"BPCL","01-Sep-2014","27-Nov-2014","0","0","0","709.4","0","720","0","0","0","0","        704.85"
"BPCL","02-Sep-2014","25-Sep-2014","691","698.4","681.55","691.6","691","691.6","6868","23670.21","4484500","321000","        703.65"
"BPCL","02-Sep-2014","30-Oct-2014","694.1","701","685.85","695.2","695.9","695.2","86","297.46","47000","20500","        703.65"
"BPCL","02-Sep-2014","27-Nov-2014","0","0","0","709.4","0","718.65","0","0","0","0","        703.65"
"BPCL","03-Sep-2014","25-Sep-2014","704.1","708.4","688.4","691.4","691.9","691.4","7391","25798.82","4598000","113500","        704.55"
"BPCL","03-Sep-2014","30-Oct-2014","709.9","710.4","693.5","694.6","694.65","694.6","114","401","54000","7000","        704.55"
"BPCL","03-Sep-2014","27-Nov-2014","0","0","0","709.4","0","719.35","0","0","0","0","        704.55"
"BPCL","04-Sep-2014","25-Sep-2014","684.3","691.8","681.1","687.95","690","687.95","4283","14683.96","4688000","90000","        700.75"
"BPCL","04-Sep-2014","30-Oct-2014","693.5","694","685.7","691","694","691","68","234.48","64500","10500","        700.75"
"BPCL","04-Sep-2014","27-Nov-2014","0","0","0","709.4","0","715.25","0","0","0","0","        700.75"
"BPCL","05-Sep-2014","25-Sep-2014","688.05","704.6","687.45","691.75","691","691.75","6854","23837.01","4654500","-33500","        688.70"
"BPCL","05-Sep-2014","30-Oct-2014","695.05","708","693","694.95","694.5","694.95","54","188.26","69500","5000","        688.70"
"BPCL","05-Sep-2014","27-Nov-2014","0","0","0","709.4","0","702.8","0","0","0","0","        688.70"
"BPCL","08-Sep-2014","25-Sep-2014","694","707.5","690.55","704.2","706","704.2","10172","35641.15","5205500","551000","        700.05"
"BPCL","08-Sep-2014","30-Oct-2014","700.2","710","695","707.2","708.4","707.2","92","323.8","74500","5000","        700.05"
"BPCL","08-Sep-2014","27-Nov-2014","0","0","0","709.4","0","713.85","0","0","0","0","        700.05"
"BPCL","09-Sep-2014","25-Sep-2014","707","710.45","691.5","695","694","695","6366","22298.25","5044500","-161000","        692.65"
"BPCL","09-Sep-2014","30-Oct-2014","711.95","713.45","697","699.55","699.2","699.55","44","154.96","81000","6500","        692.65"
"BPCL","09-Sep-2014","27-Nov-2014","705.6","705.6","705.6","705.6","705.6","706.15","2","7.06","1000","1000","        692.65"
"BPCL","10-Sep-2014","25-Sep-2014","689.5","695.8","678","679.95","680.8","679.95","5411","18565.79","4842500","-202000","        676.90"
"BPCL","10-Sep-2014","30-Oct-2014","693.6","699.75","683","684.8","684.6","684.8","110","380.05","110500","29500","        676.90"
"BPCL","10-Sep-2014","27-Nov-2014","695","695","695","695","695","689.95","1","3.48","1500","500","        676.90"
"BPCL","11-Sep-2014","25-Sep-2014","670.05","694","670.05","685.55","682.2","685.55","6926","23797.68","4765000","-77500","        681.40"
"BPCL","11-Sep-2014","30-Oct-2014","690.55","698","687.5","689","688","689","62","214.52","113000","2500","        681.40"
"BPCL","11-Sep-2014","27-Nov-2014","695","695","695","695","695","694.35","1","3.48","2000","500","        681.40"
"BPCL","12-Sep-2014","25-Sep-2014","684.3","693.4","682.25","685.95","686","685.95","4708","16203.05","4542000","-223000","        683.15"
"BPCL","12-Sep-2014","30-Oct-2014","690.25","698.4","688","690.45","690","690.45","39","135.03","116000","3000","        683.15"
"BPCL","12-Sep-2014","27-Nov-2014","0","0","0","695","695","696","0","0","2000","0","        683.15"
"BPCL","15-Sep-2014","25-Sep-2014","680","693.75","680","685.3","684","685.3","5202","17904.52","4577500","35500","        683.35"
"BPCL","15-Sep-2014","30-Oct-2014","687.95","698.25","687.5","691.3","690","691.3","157","544.02","146000","30000","        683.35"
"BPCL","15-Sep-2014","27-Nov-2014","0","0","0","695","695","695.7","0","0","2000","0","        683.35"
"BPCL","16-Sep-2014","25-Sep-2014","689.6","689.95","648.2","651.65","651","651.65","8477","28241.16","4154500","-423000","        650.00"
"BPCL","16-Sep-2014","30-Oct-2014","690","691.15","654.4","656.75","655.9","656.75","394","1315.31","175500","29500","        650.00"
"BPCL","16-Sep-2014","27-Nov-2014","0","0","0","695","695","661.55","0","0","2000","0","        650.00"
"BPCL","17-Sep-2014","25-Sep-2014","653","657.2","630.3","641.7","639.5","641.7","6752","21693.51","4173500","19000","        638.95"
"BPCL","17-Sep-2014","30-Oct-2014","660","662.2","635.35","646.4","644.6","646.4","657","2117.89","325000","149500","        638.95"
"BPCL","17-Sep-2014","27-Nov-2014","0","0","0","695","695","650.25","0","0","2000","0","        638.95"
"BPCL","18-Sep-2014","25-Sep-2014","635.5","666.9","635.25","663.85","664","663.85","6278","20629.55","4058000","-115500","        662.30"
"BPCL","18-Sep-2014","30-Oct-2014","641","671","641","668.95","667.9","668.95","497","1643.17","374500","49500","        662.30"
"BPCL","18-Sep-2014","27-Nov-2014","659","659","659","659","659","673.75","1","3.3","2500","500","        662.30"
"BPCL","19-Sep-2014","25-Sep-2014","665.75","671.5","654.2","657.85","657.5","657.85","4161","13823.06","3830500","-227500","        657.25"
"BPCL","19-Sep-2014","30-Oct-2014","671.7","676.05","659.25","660.85","662","660.85","425","1418.92","410500","36000","        657.25"
"BPCL","19-Sep-2014","27-Nov-2014","0","0","0","659","659","668.4","0","0","2500","0","        657.25"
"BPCL","22-Sep-2014","25-Sep-2014","651.55","675.5","651.55","670.85","672","670.85","5171","17231.83","3558500","-272000","        670.35"
"BPCL","22-Sep-2014","30-Oct-2014","659.9","680.4","658.35","675.85","676.8","675.85","1167","3918.18","742500","332000","        670.35"
"BPCL","22-Sep-2014","27-Nov-2014","672.65","672.65","671","671","671","681.25","2","6.72","3500","1000","        670.35"
"BPCL","23-Sep-2014","25-Sep-2014","673","675.55","648.65","651.8","652","651.8","6031","20003.15","2969500","-589000","        650.95"
"BPCL","23-Sep-2014","30-Oct-2014","679.2","680.3","653.75","656.7","656.5","656.7","2612","8701.47","1437000","694500","        650.95"
"BPCL","23-Sep-2014","27-Nov-2014","0","0","0","671","671","661.35","0","0","3500","0","        650.95"
"BPCL","24-Sep-2014","25-Sep-2014","654.75","654.75","630.5","645","641.75","645","5677","18184.4","2246000","-723500","        642.25"
"BPCL","24-Sep-2014","30-Oct-2014","657.95","658","635.1","649.05","646.5","649.05","4058","13087.4","2373500","936500","        642.25"
"BPCL","24-Sep-2014","27-Nov-2014","648","653.2","645","653.2","653.2","652.35","9","29.12","6500","3000","        642.25"
"BPCL","25-Sep-2014","25-Sep-2014","641.3","651","610.7","617.35","620.25","620.3","8552","27238.43","903500","-1342500","        620.30"
"BPCL","25-Sep-2014","30-Oct-2014","644.25","655.25","616.1","624.65","635","624.65","8141","26039.02","3988000","1614500","        620.30"
"BPCL","25-Sep-2014","27-Nov-2014","650","650","624.65","631.5","640","631.5","30","95.57","11000","4500","        620.30"
"BPCL","26-Sep-2014","30-Oct-2014","627.05","647.2","602.4","643.9","647.2","643.9","8704","27232.15","3832500","-155500","        639.45"
"BPCL","26-Sep-2014","27-Nov-2014","625","645","611.1","645","645","649.2","27","84.15","17000","6000","        639.45"
"BPCL","26-Sep-2014","24-Dec-2014","0","0","0","634.15","0","653.5","0","0","0","0","        639.45"
"BPCL","29-Sep-2014","30-Oct-2014","639.85","659.4","635.55","640.55","641.8","640.55","5044","16333.47","3695500","-137000","        637.30"
"BPCL","29-Sep-2014","27-Nov-2014","648","662.85","643","644","644","646.55","27","87.89","19000","2000","        637.30"
"BPCL","29-Sep-2014","24-Dec-2014","0","0","0","634.15","0","650.8","0","0","0","0","        637.30"
"BPCL","30-Sep-2014","30-Oct-2014","635.55","662","635.2","658.2","656.3","658.2","7136","23250.37","3664000","-31500","        655.40"
"BPCL","30-Sep-2014","27-Nov-2014","643.8","665.05","643.8","662.5","661.85","662.5","40","130.65","23000","4000","        655.40"
"BPCL","30-Sep-2014","24-Dec-2014","0","0","0","634.15","0","669.15","0","0","0","0","        655.40"
"BPCL","01-Oct-2014","30-Oct-2014","665.15","667.35","652.4","655.35","654.55","655.35","4302","14175.17","3436500","-227500","        652.85"
"BPCL","01-Oct-2014","27-Nov-2014","670","671.65","659","659.2","659.2","659.2","32","106.33","34000","11000","        652.85"
"BPCL","01-Oct-2014","24-Dec-2014","0","0","0","634.15","0","666.3","0","0","0","0","        652.85"
"BPCL","07-Oct-2014","30-Oct-2014","661.45","664.3","649.1","655.4","655.4","655.4","5389","17697.86","3720500","284000","        650.55"
"BPCL","07-Oct-2014","27-Nov-2014","668.35","668.35","657.35","660.55","660.05","660.55","35","115.9","36000","2000","        650.55"
"BPCL","07-Oct-2014","24-Dec-2014","0","0","0","634.15","0","663.1","0","0","0","0","        650.55"
"BPCL","08-Oct-2014","30-Oct-2014","656.1","682.5","654.3","680","680","680","11824","39745.09","3851500","131000","        674.70"
"BPCL","08-Oct-2014","27-Nov-2014","666","685","659.5","684.1","683.8","684.1","46","155.08","32000","-4000","        674.70"
"BPCL","08-Oct-2014","24-Dec-2014","0","0","0","634.15","0","687.5","0","0","0","0","        674.70"
"BPCL","09-Oct-2014","30-Oct-2014","682.7","688.9","672.65","675.65","676.8","675.65","5854","19908.48","3882000","30500","        671.70"
"BPCL","09-Oct-2014","27-Nov-2014","686.95","691","679","680.3","679.75","680.3","22","75.22","32500","500","        671.70"
"BPCL","09-Oct-2014","24-Dec-2014","0","0","0","634.15","0","684.25","0","0","0","0","        671.70"
"BPCL","10-Oct-2014","30-Oct-2014","679","685.75","670.55","672.85","674","672.85","5884","19979.42","3741000","-141000","        670.25"
