"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"BRITANNIA","03-Sep-2018","27-Sep-2018","6811.75","6824.45","6561.3","6601.05","6591.5","6601.05","1636","21921.26","1259200","5800","       6565.85"
"BRITANNIA","03-Sep-2018","25-Oct-2018","6846","6846","6605.9","6625.35","6605.9","6625.35","18","241.67","8800","1400","       6565.85"
"BRITANNIA","03-Sep-2018","29-Nov-2018","6860","6860","6860","6860","6860","6682.85","1","13.72","200","200","       6565.85"
"BRITANNIA","04-Sep-2018","27-Sep-2018","6599.9","6628","6350.25","6383.4","6366.15","6383.4","2340","30247.9","1313800","54600","       6344.05"
"BRITANNIA","04-Sep-2018","25-Oct-2018","6634.25","6634.25","6399","6402.5","6399","6402.5","40","517.3","10800","2000","       6344.05"
"BRITANNIA","04-Sep-2018","29-Nov-2018","0","0","0","6860","6860","6455.65","0","0","200","0","       6344.05"
"BRITANNIA","05-Sep-2018","27-Sep-2018","6338","6360.4","6091.1","6230.8","6228","6230.8","4248","52756.2","1353200","39400","       6185.00"
"BRITANNIA","05-Sep-2018","25-Oct-2018","6329","6329","6136.05","6246.8","6281.75","6246.8","49","610.16","14400","3600","       6185.00"
"BRITANNIA","05-Sep-2018","29-Nov-2018","6350","6350","6350","6350","6350","6292.4","2","25.4","400","200","       6185.00"
"BRITANNIA","06-Sep-2018","27-Sep-2018","6258.85","6354.9","6160.2","6233.7","6231.1","6233.7","2110","26395.56","1353400","200","       6194.45"
"BRITANNIA","06-Sep-2018","25-Oct-2018","6282.75","6363","6187.35","6254.95","6254.95","6256.25","44","551.79","12400","-2000","       6194.45"
"BRITANNIA","06-Sep-2018","29-Nov-2018","6382.65","6382.65","6382.65","6382.65","6382.65","6300.7","1","12.77","600","200","       6194.45"
"BRITANNIA","07-Sep-2018","27-Sep-2018","6238.45","6313.95","6205","6266.1","6267","6266.1","1042","13055.26","1341800","-11600","       6229.10"
"BRITANNIA","07-Sep-2018","25-Oct-2018","6253","6323.5","6237.4","6294","6294","6294","15","188.91","12600","200","       6229.10"
"BRITANNIA","07-Sep-2018","29-Nov-2018","6306.5","6306.5","6306.5","6306.5","6306.5","6334.7","1","12.61","600","0","       6229.10"
"BRITANNIA","10-Sep-2018","27-Sep-2018","6223.7","6263.9","6112.45","6121.35","6120.05","6121.35","911","11242.41","1337200","-4600","       6094.00"
"BRITANNIA","10-Sep-2018","25-Oct-2018","6258","6258","6155","6162.95","6162.65","6162.95","20","246.89","13000","400","       6094.00"
"BRITANNIA","10-Sep-2018","29-Nov-2018","6230.55","6230.55","6230.55","6230.55","6230.55","6194.05","1","12.46","600","0","       6094.00"
"BRITANNIA","11-Sep-2018","27-Sep-2018","6126.7","6129.2","5954.05","5972.05","5970","5972.05","1777","21481.15","1351400","14200","       5940.05"
"BRITANNIA","11-Sep-2018","25-Oct-2018","6135","6147.75","5991.5","6002.4","5991.5","6002.4","54","654.76","16800","3800","       5940.05"
"BRITANNIA","11-Sep-2018","29-Nov-2018","0","0","0","6230.55","6230.55","6036.9","0","0","600","0","       5940.05"
"BRITANNIA","12-Sep-2018","27-Sep-2018","5990","6090","5941.25","6045.75","6040","6045.75","2145","25855.16","1365000","13600","       6015.50"
"BRITANNIA","12-Sep-2018","25-Oct-2018","6020.6","6082.55","6000","6082.55","6082.55","6068.7","22","265.87","16400","-400","       6015.50"
"BRITANNIA","12-Sep-2018","29-Nov-2018","6057.45","6108.25","6057.45","6108.25","6108.25","6112.3","4","48.65","1400","800","       6015.50"
"BRITANNIA","14-Sep-2018","27-Sep-2018","6089","6176.95","6015.5","6147.55","6161.65","6147.55","2683","32778.65","1464000","99000","       6112.30"
"BRITANNIA","14-Sep-2018","25-Oct-2018","6152.8","6202.15","6068","6182.85","6202.15","6182.85","102","1250.21","25200","8800","       6112.30"
"BRITANNIA","14-Sep-2018","29-Nov-2018","6173.7","6177.2","6173.7","6177.2","6177.2","6208.15","2","24.7","1800","400","       6112.30"
"BRITANNIA","17-Sep-2018","27-Sep-2018","6139.85","6139.85","6003.75","6048.25","6047.6","6048.25","1901","23023.68","1443400","-20600","       6021.75"
"BRITANNIA","17-Sep-2018","25-Oct-2018","6100","6115.8","6041.6","6075.6","6081.25","6075.6","63","766.37","28000","2800","       6021.75"
"BRITANNIA","17-Sep-2018","29-Nov-2018","0","0","0","6177.2","6177.2","6112.9","0","0","1800","0","       6021.75"
"BRITANNIA","18-Sep-2018","27-Sep-2018","6062.5","6184.4","6030.9","6079.5","6089.95","6079.5","2340","28652.91","1391400","-52000","       6066.40"
"BRITANNIA","18-Sep-2018","25-Oct-2018","6054.4","6208.05","6054.4","6110.65","6117.55","6110.65","99","1218.02","30600","2600","       6066.40"
"BRITANNIA","18-Sep-2018","29-Nov-2018","0","0","0","6177.2","6177.2","6157.2","2","24.82","2200","400","       6066.40"
"BRITANNIA","19-Sep-2018","27-Sep-2018","6094.8","6130","5942.1","5975.1","5986","5975.1","1575","18956.71","1378000","-13400","       5959.90"
"BRITANNIA","19-Sep-2018","25-Oct-2018","6141.35","6150","5978.8","6007.45","6010","6007.45","163","1970.56","48000","17400","       5959.90"
"BRITANNIA","19-Sep-2018","29-Nov-2018","6030.1","6030.1","6030.1","6030.1","6030.1","6048","1","12.06","2400","200","       5959.90"
"BRITANNIA","21-Sep-2018","27-Sep-2018","6000","6062.45","5378","5801","5805","5801","3452","39940.7","1269000","-109000","       5790.75"
"BRITANNIA","21-Sep-2018","25-Oct-2018","6099.7","6099.75","5444","5834.75","5849","5834.75","874","10190.87","135800","87800","       5790.75"
"BRITANNIA","21-Sep-2018","29-Nov-2018","5825","5825","5746.25","5746.25","5746.25","5874.35","2","23.14","2400","0","       5790.75"
"BRITANNIA","24-Sep-2018","27-Sep-2018","5829.95","5830","5580","5603.3","5595","5603.3","2513","28411.31","1061400","-207600","-"
"BRITANNIA","24-Sep-2018","25-Oct-2018","5820","5820","5606.1","5632.4","5626.9","5632.4","1438","16342.99","336000","200200","-"
"BRITANNIA","24-Sep-2018","29-Nov-2018","5781.8","5781.8","5781.8","5781.8","5781.8","5679.35","2","23.13","2600","200","-"
"BRITANNIA","25-Sep-2018","27-Sep-2018","5668.2","5806.65","5487.2","5775.15","5806","5775.15","2743","30984.98","853400","-208000","       5773.85"
