"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"CIPLA","01-Jan-2019","31-Jan-2019","524.75","526","521.2","524.85","524.5","524.85","1996","10456.76","8123000","-37000","        523.05"
"CIPLA","01-Jan-2019","28-Feb-2019","528","528","525.7","527.45","527.45","527.45","21","110.45","58000","19000","        523.05"
"CIPLA","01-Jan-2019","28-Mar-2019","0","0","0","525.65","525.65","532.35","0","0","1000","0","        523.05"
"CIPLA","02-Jan-2019","31-Jan-2019","524.5","524.5","514.45","517.6","517.45","517.6","2464","12773.6","8404000","281000","        514.55"
"CIPLA","02-Jan-2019","28-Feb-2019","523.25","524.15","517.25","520.2","520.2","520.2","23","119.56","71000","13000","        514.55"
"CIPLA","02-Jan-2019","28-Mar-2019","0","0","0","525.65","525.65","523.6","0","0","1000","0","        514.55"
"CIPLA","03-Jan-2019","31-Jan-2019","516.9","521.75","513.15","514.35","513.8","514.35","2705","13971.59","8610000","206000","        512.40"
"CIPLA","03-Jan-2019","28-Feb-2019","523.9","523.9","516","516.4","516.4","516.4","19","98.55","78000","7000","        512.40"
"CIPLA","03-Jan-2019","28-Mar-2019","0","0","0","525.65","525.65","521.35","0","0","1000","0","        512.40"
"CIPLA","04-Jan-2019","31-Jan-2019","510.8","518.15","510.2","516.05","516.35","516.05","2421","12459.17","8518000","-92000","        512.80"
"CIPLA","04-Jan-2019","28-Feb-2019","515","519.45","513.5","518.8","518.8","518.8","23","119.03","72000","-6000","        512.80"
"CIPLA","04-Jan-2019","28-Mar-2019","521.85","521.85","521.85","521.85","521.85","521.65","1","5.22","2000","1000","        512.80"
"CIPLA","07-Jan-2019","31-Jan-2019","518.65","520.75","513.55","516.55","516.65","516.55","1829","9466.74","8563000","45000","        514.05"
"CIPLA","07-Jan-2019","28-Feb-2019","521.2","521.2","519","519","519","519.65","9","46.81","70000","-2000","        514.05"
"CIPLA","07-Jan-2019","28-Mar-2019","0","0","0","521.85","521.85","522.65","0","0","2000","0","        514.05"
"CIPLA","08-Jan-2019","31-Jan-2019","516.65","518.4","514","516.8","516.7","516.8","2644","13648.7","8525000","-38000","        513.65"
