"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"CIPLA","02-Jul-2018","26-Jul-2018","619","619","608.8","615.05","614.05","615.05","2530","15506.23","8149000","126000","        617.00"
"CIPLA","02-Jul-2018","30-Aug-2018","617.6","617.6","613","615","615","624.4","11","67.62","30000","6000","        617.00"
"CIPLA","02-Jul-2018","27-Sep-2018","0","0","0","612.1","0","627.9","0","0","0","0","        617.00"
"CIPLA","03-Jul-2018","26-Jul-2018","615.7","644.6","607.5","642.35","644.3","642.35","9763","61680.15","8787000","638000","        640.40"
"CIPLA","03-Jul-2018","30-Aug-2018","609.85","645.1","609.8","643.6","640.65","643.6","41","259.76","46000","16000","        640.40"
"CIPLA","03-Jul-2018","27-Sep-2018","0","0","0","612.1","0","651.55","0","0","0","0","        640.40"
"CIPLA","04-Jul-2018","26-Jul-2018","645.5","646.55","626.15","629.5","629.55","629.5","7743","49198.77","8427000","-360000","        628.90"
"CIPLA","04-Jul-2018","30-Aug-2018","644.3","644.3","627.6","629.95","631.15","629.95","50","318.3","51000","5000","        628.90"
"CIPLA","04-Jul-2018","27-Sep-2018","0","0","0","612.1","0","639.7","0","0","0","0","        628.90"
"CIPLA","05-Jul-2018","26-Jul-2018","631.6","636.45","623.7","625.3","625.8","625.3","3373","21259.86","8168000","-259000","        626.55"
"CIPLA","05-Jul-2018","30-Aug-2018","628.35","636.15","625","626.3","625","626.3","11","69.3","53000","2000","        626.55"
"CIPLA","05-Jul-2018","27-Sep-2018","0","0","0","612.1","0","637.15","0","0","0","0","        626.55"
"CIPLA","06-Jul-2018","26-Jul-2018","621.5","630.9","613","614.8","614.8","614.8","4812","29926.35","8353000","185000","        612.50"
"CIPLA","06-Jul-2018","30-Aug-2018","627.5","630.4","614.5","616.2","618.05","616.2","32","199.97","56000","3000","        612.50"
"CIPLA","06-Jul-2018","27-Sep-2018","0","0","0","612.1","0","622.75","0","0","0","0","        612.50"
"CIPLA","09-Jul-2018","26-Jul-2018","612.85","627.8","612.85","625.75","626.85","625.75","2804","17450.19","8279000","-74000","        622.90"
"CIPLA","09-Jul-2018","30-Aug-2018","621.55","627.35","620.3","627.35","627.35","627.35","13","81.02","61000","5000","        622.90"
"CIPLA","09-Jul-2018","27-Sep-2018","0","0","0","612.1","0","632.95","0","0","0","0","        622.90"
"CIPLA","10-Jul-2018","26-Jul-2018","625.65","633.4","620.85","631.7","630.5","631.7","3619","22727.99","8261000","-18000","        632.05"
"CIPLA","10-Jul-2018","30-Aug-2018","626.5","632.9","624.3","632.05","631.6","632.05","35","220.45","65000","4000","        632.05"
"CIPLA","10-Jul-2018","27-Sep-2018","0","0","0","612.1","0","642.1","0","0","0","0","        632.05"
"CIPLA","11-Jul-2018","26-Jul-2018","628.35","629.3","620.4","623.6","621.95","623.6","3156","19698.27","8568000","307000","        625.30"
"CIPLA","11-Jul-2018","30-Aug-2018","625.6","628.5","620.7","624.55","624.55","631.55","17","106.27","69000","4000","        625.30"
"CIPLA","11-Jul-2018","27-Sep-2018","0","0","0","612.1","0","635.1","0","0","0","0","        625.30"
"CIPLA","12-Jul-2018","26-Jul-2018","630.65","635","623.35","631.75","632.5","631.75","3624","22839","8636000","68000","        633.35"
"CIPLA","12-Jul-2018","30-Aug-2018","624.4","635","624.3","632.3","632","632.3","33","208.04","70000","1000","        633.35"
"CIPLA","12-Jul-2018","27-Sep-2018","0","0","0","612.1","0","643.15","0","0","0","0","        633.35"
"CIPLA","13-Jul-2018","26-Jul-2018","631.9","632.65","624.4","627.65","628.7","627.65","2283","14328.41","8644000","8000","        626.70"
"CIPLA","13-Jul-2018","30-Aug-2018","628","630.35","626.15","628.3","628.85","628.3","46","288.86","67000","-3000","        626.70"
"CIPLA","13-Jul-2018","27-Sep-2018","0","0","0","612.1","0","636.25","0","0","0","0","        626.70"
"CIPLA","16-Jul-2018","26-Jul-2018","628.4","634.8","612.25","619.75","618.55","619.75","3960","24728.8","8571000","-73000","        620.95"
"CIPLA","16-Jul-2018","30-Aug-2018","627.9","635","616.2","620.9","620.05","620.9","105","657.73","104000","37000","        620.95"
"CIPLA","16-Jul-2018","27-Sep-2018","0","0","0","612.1","0","630.05","0","0","0","0","        620.95"
"CIPLA","17-Jul-2018","26-Jul-2018","621.95","641.7","620.05","639.75","638.9","639.75","4060","25774.96","8831000","260000","        637.45"
"CIPLA","17-Jul-2018","30-Aug-2018","624.4","642.3","623.95","641.5","639.15","641.5","186","1184.58","208000","104000","        637.45"
"CIPLA","17-Jul-2018","27-Sep-2018","0","0","0","612.1","0","646.65","0","0","0","0","        637.45"
"CIPLA","18-Jul-2018","26-Jul-2018","634.7","644.55","625.3","628.15","629","628.15","3812","24160.99","8761000","-70000","        627.40"
"CIPLA","18-Jul-2018","30-Aug-2018","645.5","645.5","626","628.85","629.8","628.85","130","821.46","210000","2000","        627.40"
"CIPLA","18-Jul-2018","27-Sep-2018","0","0","0","612.1","0","636.25","0","0","0","0","        627.40"
"CIPLA","19-Jul-2018","26-Jul-2018","630.95","633.25","606.85","609.95","613.6","609.95","3512","21760.15","8918000","157000","        610.10"
"CIPLA","19-Jul-2018","30-Aug-2018","631.05","631.05","607.05","610.65","613.65","610.65","315","1952.49","326000","116000","        610.10"
