"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"CIPLA","03-Sep-2007","27-Sep-2007","168.25","173.9","167.3","172.55","172.5","172.55","5704","12267.46","18095000","148750","        172.00"
"CIPLA","03-Sep-2007","25-Oct-2007","169","175.25","169","174","173.8","174","103","223.18","136250","26250","        172.00"
"CIPLA","03-Sep-2007","29-Nov-2007","192.7","192.7","192.7","192.7","192.7","175.45","1","2.41","1250","1250","        172.00"
"CIPLA","04-Sep-2007","27-Sep-2007","174.45","181.7","173.5","180.35","180.1","180.35","11891","26611.74","16421250","-1673750","        179.95"
"CIPLA","04-Sep-2007","25-Oct-2007","175.8","182.85","175.8","181.75","181.5","181.75","123","277.85","141250","5000","        179.95"
"CIPLA","04-Sep-2007","29-Nov-2007","0","0","0","192.7","192.7","183.55","0","0","1250","0","        179.95"
"CIPLA","05-Sep-2007","27-Sep-2007","181.5","185.4","181.05","183.9","183.85","183.9","6768","15561.09","14447500","-1973750","        182.90"
"CIPLA","05-Sep-2007","25-Oct-2007","183.55","186.8","183.15","185.1","185.2","185.1","102","236.32","131250","-10000","        182.90"
"CIPLA","05-Sep-2007","29-Nov-2007","0","0","0","192.7","192.7","186.5","0","0","1250","0","        182.90"
"CIPLA","06-Sep-2007","27-Sep-2007","182.9","186.75","182.3","186.25","186.25","186.25","3690","8528.53","13573750","-873750","        185.05"
"CIPLA","06-Sep-2007","25-Oct-2007","186","188.35","183.65","187.75","187.5","187.75","95","220.66","143750","12500","        185.05"
"CIPLA","06-Sep-2007","29-Nov-2007","0","0","0","192.7","192.7","188.6","0","0","1250","0","        185.05"
"CIPLA","07-Sep-2007","27-Sep-2007","187.45","187.45","180.5","181.35","181.75","181.35","2865","6562.21","13838750","265000","        180.60"
"CIPLA","07-Sep-2007","25-Oct-2007","187.75","188","182.15","182.9","183.5","182.9","100","230.68","198750","55000","        180.60"
"CIPLA","07-Sep-2007","29-Nov-2007","0","0","0","192.7","192.7","184.05","0","0","1250","0","        180.60"
"CIPLA","10-Sep-2007","27-Sep-2007","178.25","182.5","178","180.1","180","180.1","2957","6672.05","14133750","295000","        179.05"
"CIPLA","10-Sep-2007","25-Oct-2007","179.6","183.9","179.6","181.65","181.55","181.65","109","247.96","228750","30000","        179.05"
"CIPLA","10-Sep-2007","29-Nov-2007","0","0","0","192.7","192.7","182.4","0","0","1250","0","        179.05"
"CIPLA","11-Sep-2007","27-Sep-2007","180","181.8","178","178.5","178.35","178.5","1986","4455.02","14356250","222500","        177.40"
"CIPLA","11-Sep-2007","25-Oct-2007","182.3","183","179.75","180.1","180","180.1","90","203.39","275000","46250","        177.40"
"CIPLA","11-Sep-2007","29-Nov-2007","187.45","187.45","187.45","187.45","187.45","180.6","1","2.34","2500","1250","        177.40"
"CIPLA","12-Sep-2007","27-Sep-2007","179.45","179.75","175.45","176.05","176.1","176.05","2023","4477.62","14493750","137500","        174.95"
"CIPLA","12-Sep-2007","25-Oct-2007","181.9","181.9","177.1","177.65","177.85","177.65","162","361.37","372500","97500","        174.95"
"CIPLA","12-Sep-2007","29-Nov-2007","184.45","184.45","184.45","184.45","184.45","178.1","1","2.31","3750","1250","        174.95"
"CIPLA","13-Sep-2007","27-Sep-2007","176.8","179","175.55","176.3","176.5","176.3","2705","5990.66","14883750","390000","        175.10"
"CIPLA","13-Sep-2007","25-Oct-2007","178","180.25","177.15","177.5","177.35","177.5","248","554.38","477500","105000","        175.10"
"CIPLA","13-Sep-2007","29-Nov-2007","0","0","0","184.45","184.45","178.15","0","0","3750","0","        175.10"
"CIPLA","14-Sep-2007","27-Sep-2007","177.7","177.7","172.25","172.95","172.95","172.95","2165","4745.41","14927500","43750","        172.10"
"CIPLA","14-Sep-2007","25-Oct-2007","178.5","178.9","173.65","174.55","174.5","174.55","179","394.83","593750","116250","        172.10"
"CIPLA","14-Sep-2007","29-Nov-2007","0","0","0","184.45","184.45","175.1","0","0","3750","0","        172.10"
