"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"COALINDIA","02-Jul-2012","26-Jul-2012","350.8","354.4","347.75","352.8","352.95","352.8","812","2851.82","3995000","72000","        350.40"
"COALINDIA","02-Jul-2012","30-Aug-2012","332.45","356.5","332.45","356.5","356.5","355.8","17","59.88","17000","4000","        350.40"
"COALINDIA","02-Jul-2012","27-Sep-2012","0","0","0","356.15","0","358.35","0","0","0","0","        350.40"
"COALINDIA","03-Jul-2012","26-Jul-2012","350.8","359.75","350","359","359.1","359","1397","4971.96","4126000","131000","        356.90"
"COALINDIA","03-Jul-2012","30-Aug-2012","353","361.35","353","360.8","361.35","360.8","25","89.48","20000","3000","        356.90"
"COALINDIA","03-Jul-2012","27-Sep-2012","0","0","0","356.15","0","364.95","0","0","0","0","        356.90"
"COALINDIA","04-Jul-2012","26-Jul-2012","359.3","360.5","354.5","356.15","356.4","356.15","1144","4088.37","4000000","-126000","        353.75"
"COALINDIA","04-Jul-2012","30-Aug-2012","362.55","362.55","357.75","358.3","358.55","358.3","27","96.98","29000","9000","        353.75"
"COALINDIA","04-Jul-2012","27-Sep-2012","0","0","0","356.15","0","361.6","0","0","0","0","        353.75"
"COALINDIA","05-Jul-2012","26-Jul-2012","356","357.8","350.4","351.05","351.2","351.05","1067","3772.26","4230000","230000","        348.50"
"COALINDIA","05-Jul-2012","30-Aug-2012","357","357.5","353","353.8","353","353.8","13","46.22","34000","5000","        348.50"
"COALINDIA","05-Jul-2012","27-Sep-2012","0","0","0","356.15","0","356.15","0","0","0","0","        348.50"
"COALINDIA","06-Jul-2012","26-Jul-2012","351.7","355.7","349.6","353.55","353.35","353.55","1149","4056.2","4187000","-43000","        351.40"
"COALINDIA","06-Jul-2012","30-Aug-2012","356","357.95","352.45","356","356","356","18","63.87","40000","6000","        351.40"
"COALINDIA","06-Jul-2012","27-Sep-2012","0","0","0","356.15","0","359","0","0","0","0","        351.40"
"COALINDIA","09-Jul-2012","26-Jul-2012","351.45","354.95","348.3","353.25","352.7","353.25","1477","5195.11","4009000","-178000","        350.55"
"COALINDIA","09-Jul-2012","30-Aug-2012","352","357.1","351.1","355.85","355.5","355.85","36","127.59","51000","11000","        350.55"
"COALINDIA","09-Jul-2012","27-Sep-2012","0","0","0","356.15","0","357.85","0","0","0","0","        350.55"
"COALINDIA","10-Jul-2012","26-Jul-2012","352.4","361.4","352.4","355.95","355.65","355.95","993","3532.84","3983000","-26000","        353.90"
"COALINDIA","10-Jul-2012","30-Aug-2012","358.9","359.6","355.55","359.15","359.15","359.15","30","107.51","68000","17000","        353.90"
"COALINDIA","10-Jul-2012","27-Sep-2012","0","0","0","356.15","0","361.15","0","0","0","0","        353.90"
"COALINDIA","11-Jul-2012","26-Jul-2012","353.65","356.8","352.55","355.6","355.1","355.6","621","2203.7","4068000","85000","        353.50"
"COALINDIA","11-Jul-2012","30-Aug-2012","356.1","359.55","355.75","358.35","357.7","358.35","57","203.9","100000","32000","        353.50"
"COALINDIA","11-Jul-2012","27-Sep-2012","0","0","0","356.15","0","360.65","0","0","0","0","        353.50"
"COALINDIA","12-Jul-2012","26-Jul-2012","353.9","357.8","353.5","356.2","356.25","356.2","663","2358.02","4111000","43000","        354.35"
"COALINDIA","12-Jul-2012","30-Aug-2012","357","359.95","357","358.75","358.9","358.75","42","150.47","121000","21000","        354.35"
"COALINDIA","12-Jul-2012","27-Sep-2012","0","0","0","356.15","0","361.45","0","0","0","0","        354.35"
"COALINDIA","13-Jul-2012","26-Jul-2012","355.8","358.7","354.7","355.65","356","355.65","675","2405.85","4157000","46000","        354.10"
"COALINDIA","13-Jul-2012","30-Aug-2012","360","361.15","357.65","358.25","358.45","358.25","45","161.6","141000","20000","        354.10"
"COALINDIA","13-Jul-2012","27-Sep-2012","0","0","0","356.15","0","361.05","0","0","0","0","        354.10"
"COALINDIA","16-Jul-2012","26-Jul-2012","356","358.15","351.2","351.9","352.65","351.9","688","2437.24","4123000","-34000","        350.55"
"COALINDIA","16-Jul-2012","30-Aug-2012","358.45","360.45","354.35","354.75","355","354.75","57","203.73","168000","27000","        350.55"
"COALINDIA","16-Jul-2012","27-Sep-2012","362","362","357","357","357","357.2","2","7.19","1000","1000","        350.55"
"COALINDIA","17-Jul-2012","26-Jul-2012","353.65","356.45","352.4","354.85","355.2","354.85","1022","3618.52","4183000","60000","        354.30"
"COALINDIA","17-Jul-2012","30-Aug-2012","359.1","359.1","355.9","357.9","358.25","357.9","91","324.98","224000","56000","        354.30"
"COALINDIA","17-Jul-2012","27-Sep-2012","0","0","0","357","357","360.95","0","0","1000","0","        354.30"
"COALINDIA","18-Jul-2012","26-Jul-2012","357.55","363","357.55","360.55","360.9","360.55","2341","8449.04","4172000","-11000","        360.30"
"COALINDIA","18-Jul-2012","30-Aug-2012","361.65","365.3","360","363.2","363.5","363.2","184","669.14","302000","78000","        360.30"
"COALINDIA","18-Jul-2012","27-Sep-2012","0","0","0","357","357","366.95","0","0","1000","0","        360.30"
"COALINDIA","19-Jul-2012","26-Jul-2012","362.5","363.95","359.05","361","360.75","361","1330","4808.79","4206000","34000","        359.80"
