"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"COALINDIA","01-Nov-2018","29-Nov-2018","264.05","265.1","260.65","261.6","261.75","261.6","10499","60843.35","27374600","3414400","        261.10"
"COALINDIA","01-Nov-2018","27-Dec-2018","265.5","266","261.65","262.65","263.2","262.65","96","558.3","426800","59400","        261.10"
"COALINDIA","01-Nov-2018","31-Jan-2019","266.9","266.9","264","264","264","266.1","12","70.07","46200","11000","        261.10"
"COALINDIA","02-Nov-2018","29-Nov-2018","261","266.2","260.25","263","263.2","263","19083","110461.69","27255800","-118800","        261.55"
"COALINDIA","02-Nov-2018","27-Dec-2018","261.5","266.95","261.5","264.1","263.8","264.1","100","580.54","490600","63800","        261.55"
"COALINDIA","02-Nov-2018","31-Jan-2019","263.95","267.3","263","263.9","263.9","266.45","20","116.75","68200","22000","        261.55"
"COALINDIA","05-Nov-2018","29-Nov-2018","262.75","266.55","262.5","265.05","265.35","265.05","2971","17311.42","27137000","-118800","        264.35"
"COALINDIA","05-Nov-2018","27-Dec-2018","264.7","267.5","264.65","266.75","266.75","266.75","39","228.43","528000","37400","        264.35"
"COALINDIA","05-Nov-2018","31-Jan-2019","266","267","265.35","266.4","266.7","266.4","13","76.18","70400","2200","        264.35"
"COALINDIA","06-Nov-2018","29-Nov-2018","265.75","267.7","265.05","266.6","266.45","266.6","3204","18767.73","26866400","-270600","        265.90"
"COALINDIA","06-Nov-2018","27-Dec-2018","266.15","268.4","266.1","267.45","267.4","267.45","169","992.58","712800","184800","        265.90"
"COALINDIA","06-Nov-2018","31-Jan-2019","268.75","268.75","268.75","268.75","268.75","270.7","1","5.91","68200","-2200","        265.90"
"COALINDIA","07-Nov-2018","29-Nov-2018","266.65","268.8","266.65","268.3","268.45","268.3","728","4291.91","27027000","160600","        266.95"
"COALINDIA","07-Nov-2018","27-Dec-2018","268.45","269.4","267.65","269.05","268.7","269.05","15","88.69","710600","-2200","        266.95"
"COALINDIA","07-Nov-2018","31-Jan-2019","0","0","0","268.75","268.75","271.7","0","0","68200","0","        266.95"
"COALINDIA","09-Nov-2018","29-Nov-2018","268.05","273.3","267.6","268.8","269","268.8","5610","33288.56","27702400","675400","        268.45"
"COALINDIA","09-Nov-2018","27-Dec-2018","270","273.9","268.75","269.7","268.95","269.7","86","511.97","750200","39600","        268.45"
"COALINDIA","09-Nov-2018","31-Jan-2019","270","273.5","269.25","269.75","269.5","269.75","6","35.69","66000","-2200","        268.45"
"COALINDIA","12-Nov-2018","29-Nov-2018","270.95","271.5","263.2","264.3","264.4","264.3","5575","32787.65","26776200","-926200","        263.90"
"COALINDIA","12-Nov-2018","27-Dec-2018","270.1","271.95","264.5","264.9","264.85","264.9","192","1130.39","855800","105600","        263.90"
"COALINDIA","12-Nov-2018","31-Jan-2019","272.3","272.3","265","265.9","265.9","268.35","12","70.74","66000","0","        263.90"
"COALINDIA","13-Nov-2018","29-Nov-2018","268.1","268.1","264.75","265.8","265.9","265.8","5351","31379.26","25005200","-1771000","        265.55"
"COALINDIA","13-Nov-2018","27-Dec-2018","268","268.45","265.15","266.3","266.2","266.3","299","1756.81","1071400","215600","        265.55"
"COALINDIA","13-Nov-2018","31-Jan-2019","268.45","268.45","266.75","268.25","268.25","270","14","82.47","83600","17600","        265.55"
"COALINDIA","14-Nov-2018","29-Nov-2018","266.1","267.65","263.75","265.85","265.35","265.85","2299","13450.81","24288000","-717200","        265.75"
"COALINDIA","14-Nov-2018","27-Dec-2018","267","268","264.25","266.5","266","266.5","147","860.82","1130800","59400","        265.75"
"COALINDIA","14-Nov-2018","31-Jan-2019","265","267","265","267","267","270.1","3","17.55","83600","0","        265.75"
"COALINDIA","15-Nov-2018","29-Nov-2018","266.3","266.95","262.05","263.3","263.4","263.3","2243","13045.02","24184600","-103400","        263.15"
"COALINDIA","15-Nov-2018","27-Dec-2018","267.1","267.1","262.65","263.85","264","263.85","176","1024.03","1262800","132000","        263.15"
"COALINDIA","15-Nov-2018","31-Jan-2019","266.45","266.5","263.75","264","264","264","10","58.27","96800","13200","        263.15"
"COALINDIA","16-Nov-2018","29-Nov-2018","264.1","265.8","261.3","263.45","263.25","263.45","2967","17225.23","22858000","-1326600","        263.65"
"COALINDIA","16-Nov-2018","27-Dec-2018","263.55","266","262.05","263.75","263.8","263.75","169","981.6","1410200","147400","        263.65"
"COALINDIA","16-Nov-2018","31-Jan-2019","264.95","265.25","264.55","264.85","264.85","267.85","10","58.28","101200","4400","        263.65"
"COALINDIA","19-Nov-2018","29-Nov-2018","263.45","264.4","262.35","263.95","264.15","263.95","2376","13774.97","22341000","-517000","        264.15"
"COALINDIA","19-Nov-2018","27-Dec-2018","264.55","264.75","262.7","263.9","264","263.9","366","2122.04","1733600","323400","        264.15"
"COALINDIA","19-Nov-2018","31-Jan-2019","264.3","264.3","263.25","264.2","264.3","264.2","19","110.34","114400","13200","        264.15"
"COALINDIA","20-Nov-2018","29-Nov-2018","264.15","265.45","260.55","261","261.2","261","3223","18648.45","21128800","-1212200","        261.45"
"COALINDIA","20-Nov-2018","27-Dec-2018","264","265.25","259.15","259.65","259.85","259.65","806","4657.85","2809400","1075800","        261.45"
"COALINDIA","20-Nov-2018","31-Jan-2019","264.25","264.85","259.35","259.35","259.35","259.35","23","132.99","138600","24200","        261.45"
"COALINDIA","21-Nov-2018","29-Nov-2018","261.6","262.8","260","260.7","260.3","260.7","3258","18718.6","20948400","-180400","        260.95"
"COALINDIA","21-Nov-2018","27-Dec-2018","260.3","261.45","257.25","257.85","257.25","257.85","1387","7903.27","4316400","1507000","        260.95"
"COALINDIA","21-Nov-2018","31-Jan-2019","260.85","260.95","257.6","257.75","257.7","257.75","37","211.19","202400","63800","        260.95"
"COALINDIA","22-Nov-2018","29-Nov-2018","260.75","261","256.1","256.5","256.15","256.5","2381","13513.24","20785600","-162800","        256.65"
"COALINDIA","22-Nov-2018","27-Dec-2018","258","258.2","253.55","254.05","253.55","254.05","882","4958.24","5251400","935000","        256.65"
"COALINDIA","22-Nov-2018","31-Jan-2019","256.7","258.35","254","254.2","254.4","254.2","22","123.72","242000","39600","        256.65"
"COALINDIA","26-Nov-2018","29-Nov-2018","256.15","257.65","247.85","251.5","252.8","251.5","7785","43016.23","19252200","-1533400","        250.75"
"COALINDIA","26-Nov-2018","27-Dec-2018","253.25","254.7","243.3","247.05","248","247.05","4309","23343.73","10656800","5405400","        250.75"
"COALINDIA","26-Nov-2018","31-Jan-2019","250","251.1","243.05","244.25","244.25","254.2","66","357.59","321200","79200","        250.75"
"COALINDIA","27-Nov-2018","29-Nov-2018","252.6","254.9","250.3","252.65","253.2","252.65","5137","28536.89","18541600","-710600","        251.90"
"COALINDIA","27-Nov-2018","27-Dec-2018","248","251.8","247","250.85","250.8","250.85","3976","21874.28","13978800","3322000","        251.90"
"COALINDIA","27-Nov-2018","31-Jan-2019","249.05","251","248.75","250.35","250.55","250.35","59","324.42","334400","13200","        251.90"
"COALINDIA","28-Nov-2018","29-Nov-2018","253.1","254.5","247.4","248","247.6","248","6687","36720.61","15032600","-3509000","        247.85"
"COALINDIA","28-Nov-2018","27-Dec-2018","251.95","252.15","247.35","248.05","247.9","248.05","6034","33076.21","17518600","3539800","        247.85"
"COALINDIA","28-Nov-2018","31-Jan-2019","248","250.15","247.4","247.8","247.95","247.8","34","185.93","365200","30800","        247.85"
"COALINDIA","29-Nov-2018","29-Nov-2018","248.1","250.3","240.85","246.9","246.9","246.9","9374","50485.98","9187200","-5845400","        246.90"
"COALINDIA","29-Nov-2018","27-Dec-2018","249.9","249.9","239.85","246.1","246.5","246.1","13129","70715.12","30173000","12654400","        246.90"
"COALINDIA","29-Nov-2018","31-Jan-2019","242.25","247.9","241.15","246","246.05","246","120","643.73","468600","103400","        246.90"
"COALINDIA","30-Nov-2018","27-Dec-2018","246.95","248.45","238.05","243.75","244","243.75","13617","72882.24","42180600","12007600","        244.90"
"COALINDIA","30-Nov-2018","31-Jan-2019","246.2","248.35","237.25","243.6","243.05","243.6","361","1927.17","809600","341000","        244.90"
"COALINDIA","30-Nov-2018","28-Feb-2019","243.7","243.7","236.2","241.45","241.25","241.45","66","349.65","74800","74800","        244.90"
"COALINDIA","03-Dec-2018","27-Dec-2018","244.45","249.4","243","247.1","246.6","247.1","7643","41544.34","45223200","3042600","        249.00"
"COALINDIA","03-Dec-2018","31-Jan-2019","246","248.65","244.7","246.5","246","246.5","243","1319.32","935000","125400","        249.00"
"COALINDIA","03-Dec-2018","28-Feb-2019","246","246","243.45","244.1","244","244.1","18","96.74","90200","15400","        249.00"
"COALINDIA","04-Dec-2018","27-Dec-2018","247.15","250.65","246.5","249","248.45","249","4770","26108.36","45984400","761200","        252.25"
"COALINDIA","04-Dec-2018","31-Jan-2019","247.9","249.05","246","248.2","247.1","248.2","768","4191.25","2277000","1342000","        252.25"
"COALINDIA","04-Dec-2018","28-Feb-2019","244","245.35","244","244.7","244","244.7","13","69.97","103400","13200","        252.25"
"COALINDIA","05-Dec-2018","27-Dec-2018","248.45","249.7","240.5","242.65","242.9","242.65","4432","23759.95","47865400","1881000","        245.30"
"COALINDIA","05-Dec-2018","31-Jan-2019","247.8","247.95","239.75","241.6","241.75","241.6","200","1068.4","2395800","118800","        245.30"
"COALINDIA","05-Dec-2018","28-Feb-2019","243.25","243.25","237.05","237.6","237.6","249.65","26","137.22","147400","44000","        245.30"
"COALINDIA","06-Dec-2018","27-Dec-2018","240.55","242.95","236.55","237.3","237.55","237.3","5231","27465.79","51200600","3335200","        240.60"
"COALINDIA","06-Dec-2018","31-Jan-2019","240.95","241.3","235.65","236.5","236.85","236.5","142","742.14","2512400","116600","        240.60"
"COALINDIA","06-Dec-2018","28-Feb-2019","235.8","235.8","233","233.6","233.55","233.6","17","87.49","162800","15400","        240.60"
"COALINDIA","07-Dec-2018","27-Dec-2018","237.15","240.8","235.55","237.5","237.75","237.5","5378","28148.23","52016800","816200","        236.75"
"COALINDIA","07-Dec-2018","31-Jan-2019","237.8","239.5","234.95","236.8","237","236.8","225","1174.27","2393600","-118800","        236.75"
"COALINDIA","07-Dec-2018","28-Feb-2019","233.5","236.95","232","234.05","234","234.05","26","133.99","202400","39600","        236.75"
"COALINDIA","10-Dec-2018","27-Dec-2018","235.15","239.95","229.1","239.1","238.25","239.1","9646","49947.75","47410000","-4606800","        238.15"
"COALINDIA","10-Dec-2018","31-Jan-2019","235.15","238.9","228.9","238.3","238.1","238.3","344","1767.97","2437600","44000","        238.15"
"COALINDIA","10-Dec-2018","28-Feb-2019","230.25","236.5","227.1","236.4","236.4","236.4","29","147.61","224400","22000","        238.15"
"COALINDIA","11-Dec-2018","27-Dec-2018","236.15","244.7","235.1","242.9","241.95","242.9","4830","25650.29","44602800","-2807200","        242.10"
"COALINDIA","11-Dec-2018","31-Jan-2019","236","243.4","235.65","241.95","241.3","241.95","149","788.61","2455200","17600","        242.10"
"COALINDIA","11-Dec-2018","28-Feb-2019","233","242","233","240.05","240","240.05","21","110.22","237600","13200","        242.10"
"COALINDIA","12-Dec-2018","27-Dec-2018","241.5","248.5","240.6","247.7","247.4","247.7","4177","22552.51","43089200","-1513600","        247.00"
"COALINDIA","12-Dec-2018","31-Jan-2019","242.1","247.85","239.95","247.05","247","247.05","252","1355.05","2490400","35200","        247.00"
"COALINDIA","12-Dec-2018","28-Feb-2019","241.5","245","241.5","245","245","251","6","32.22","226600","-11000","        247.00"
"COALINDIA","13-Dec-2018","27-Dec-2018","248","248.55","243.85","245.7","245.35","245.7","4083","22060.12","42119000","-970200","        244.55"
"COALINDIA","13-Dec-2018","31-Jan-2019","247.35","247.6","243.85","245.35","245","245.35","178","960.18","2593800","103400","        244.55"
"COALINDIA","13-Dec-2018","28-Feb-2019","245.5","245.5","242.05","243.55","243.05","243.55","16","85.66","246400","19800","        244.55"
"COALINDIA","14-Dec-2018","27-Dec-2018","244.7","249","242.9","247.25","249","247.25","4537","24465.94","40172000","-1947000","        247.15"
"COALINDIA","14-Dec-2018","31-Jan-2019","243.65","247.4","242.3","246.25","247.4","246.25","282","1514.61","2692800","99000","        247.15"
"COALINDIA","14-Dec-2018","28-Feb-2019","243.55","245.65","241.1","244.4","245.65","244.4","16","85.34","264000","17600","        247.15"
"COALINDIA","17-Dec-2018","27-Dec-2018","248.15","252.5","246.6","250.4","252.5","250.4","7817","42976.99","36955600","-3216400","        251.45"
"COALINDIA","17-Dec-2018","31-Jan-2019","248.95","250.8","245.2","247.1","248.2","247.1","1420","7726.46","2637800","-55000","        251.45"
"COALINDIA","17-Dec-2018","28-Feb-2019","248","248.75","244","245.8","246.15","245.8","60","324.52","292600","28600","        251.45"
"COALINDIA","18-Dec-2018","27-Dec-2018","252.4","253.95","249.35","252.2","252","252.2","5227","28931.76","34350800","-2604800","        251.85"
"COALINDIA","18-Dec-2018","31-Jan-2019","248","249.8","244","246.95","246.35","246.95","1500","8124.93","2717000","79200","        251.85"
