"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"DRREDDY","01-Jul-2013","25-Jul-2013","2223","2272","2223","2260.05","2272","2260.05","2558","7187.66","503125","14875","       2263.80"
"DRREDDY","01-Jul-2013","29-Aug-2013","2250","2280.45","2242.65","2269.6","2280.45","2269.6","73","206","11625","6625","       2263.80"
"DRREDDY","01-Jul-2013","26-Sep-2013","0","0","0","2205.75","0","2310.25","0","0","0","0","       2263.80"
"DRREDDY","02-Jul-2013","25-Jul-2013","2262.05","2279","2236.95","2260","2262","2260","2090","5906.31","525750","22625","       2263.40"
"DRREDDY","02-Jul-2013","29-Aug-2013","2260","2283","2250","2269.9","2269.9","2269.9","27","76.71","12750","1125","       2263.40"
"DRREDDY","02-Jul-2013","26-Sep-2013","2290","2290","2290","2290","2290","2308.85","1","2.86","0","0","       2263.40"
"DRREDDY","03-Jul-2013","25-Jul-2013","2243.2","2252.8","2153.4","2209.6","2218.6","2209.6","3775","10422.7","535375","9625","       2210.85"
"DRREDDY","03-Jul-2013","29-Aug-2013","2254","2260","2167.35","2216.55","2216.55","2216.55","51","141.47","10125","-2625","       2210.85"
"DRREDDY","03-Jul-2013","26-Sep-2013","0","0","0","2290","2290","2254.2","0","0","0","0","       2210.85"
"DRREDDY","04-Jul-2013","25-Jul-2013","2213","2237.85","2198","2222.9","2225","2222.9","1891","5244.11","560375","25000","       2222.80"
"DRREDDY","04-Jul-2013","29-Aug-2013","2240","2245.05","2212","2242","2245.05","2242","36","100.38","8250","-1875","       2222.80"
"DRREDDY","04-Jul-2013","26-Sep-2013","0","0","0","2290","2290","2265.55","0","0","0","0","       2222.80"
"DRREDDY","05-Jul-2013","25-Jul-2013","2222.35","2240","2213.6","2235.3","2228","2235.3","947","2641.74","556750","-3625","       2238.85"
