"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"DRREDDY","03-Sep-2019","26-Sep-2019","2563.45","2577.4","2533.2","2542.85","2545.05","2542.85","2180","13949.51","3165000","-11000","       2532.80"
"DRREDDY","03-Sep-2019","31-Oct-2019","2578.85","2582.35","2549.9","2554.85","2552.25","2554.85","18","115.51","7750","1500","       2532.80"
"DRREDDY","03-Sep-2019","28-Nov-2019","0","0","0","2567.05","0","2569.8","0","0","0","0","       2532.80"
"DRREDDY","04-Sep-2019","26-Sep-2019","2553.6","2611","2550","2605.35","2608","2605.35","5418","35063.35","3178750","13750","       2602.70"
"DRREDDY","04-Sep-2019","31-Oct-2019","2569.55","2622.4","2560.3","2615.3","2615.3","2627.8","29","188.41","9250","1500","       2602.70"
"DRREDDY","04-Sep-2019","28-Nov-2019","0","0","0","2567.05","0","2640.2","0","0","0","0","       2602.70"
"DRREDDY","05-Sep-2019","26-Sep-2019","2650.6","2694.35","2642.45","2685.8","2688.95","2685.8","7138","47628.73","3194500","15750","       2682.45"
"DRREDDY","05-Sep-2019","31-Oct-2019","2670","2703.5","2664","2698.3","2699.7","2698.3","83","556.67","17000","7750","       2682.45"
"DRREDDY","05-Sep-2019","28-Nov-2019","0","0","0","2567.05","0","2720.65","0","0","0","0","       2682.45"
"DRREDDY","06-Sep-2019","26-Sep-2019","2683.9","2747.55","2679.35","2741.9","2736.9","2741.9","4834","32889.82","3155500","-39000","       2739.95"
"DRREDDY","06-Sep-2019","31-Oct-2019","2700","2757","2700","2754.25","2747.7","2754.25","103","704.57","29500","12500","       2739.95"
"DRREDDY","06-Sep-2019","28-Nov-2019","0","0","0","2567.05","0","2778.5","0","0","0","0","       2739.95"
"DRREDDY","09-Sep-2019","26-Sep-2019","2731.5","2766.85","2730.65","2749.55","2750","2749.55","3771","25913.86","3059500","-96000","       2749.20"
"DRREDDY","09-Sep-2019","31-Oct-2019","2756.75","2775.85","2750","2762.8","2761.5","2762.8","75","518.01","32500","3000","       2749.20"
"DRREDDY","09-Sep-2019","28-Nov-2019","0","0","0","2567.05","0","2786.4","0","0","0","0","       2749.20"
"DRREDDY","11-Sep-2019","26-Sep-2019","2761.7","2780.55","2744.1","2762.9","2763","2762.9","3728","25727.25","2985500","-74000","       2761.00"
"DRREDDY","11-Sep-2019","31-Oct-2019","2795.85","2795.85","2759.45","2775.1","2773.95","2775.1","47","325.95","34500","2000","       2761.00"
