"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"EICHERMOT","01-Sep-2016","29-Sep-2016","22875","23090","22780.05","22862.25","22890","22862.25","1458","16711.17","161900","-2950","      22774.25"
"EICHERMOT","01-Sep-2016","27-Oct-2016","23149.95","23150","22920","22958.1","22971.15","22958.1","19","218.99","950","200","      22774.25"
"EICHERMOT","01-Sep-2016","24-Nov-2016","0","0","0","23000","23000","23140.4","0","0","50","0","      22774.25"
"EICHERMOT","02-Sep-2016","29-Sep-2016","23000.05","23080","22870","22938.35","22920","22938.35","797","9156.71","161850","-50","      22817.00"
"EICHERMOT","02-Sep-2016","27-Oct-2016","23125","23150","23125","23150","23150","23057.25","3","34.67","950","0","      22817.00"
"EICHERMOT","02-Sep-2016","24-Nov-2016","0","0","0","23000","23000","23180.5","0","0","50","0","      22817.00"
"EICHERMOT","06-Sep-2016","29-Sep-2016","23189.95","23189.95","22906.4","23046.75","22951.05","23046.75","704","8119.13","157600","-4250","      22948.30"
"EICHERMOT","06-Sep-2016","27-Oct-2016","23150.05","23150.05","23150","23150.05","23150","23150.05","5","57.88","1050","100","      22948.30"
"EICHERMOT","06-Sep-2016","24-Nov-2016","0","0","0","23000","23000","23297.65","0","0","50","0","      22948.30"
"EICHERMOT","07-Sep-2016","29-Sep-2016","23159.95","23159.95","22901.05","23025.65","22990","23025.65","1018","11729.47","153550","-4050","      22972.75"
"EICHERMOT","07-Sep-2016","27-Oct-2016","23052.3","23200","23052.3","23135.4","23135.4","23193.5","10","115.72","1200","150","      22972.75"
"EICHERMOT","07-Sep-2016","24-Nov-2016","0","0","0","23000","23000","23318","0","0","50","0","      22972.75"
"EICHERMOT","08-Sep-2016","29-Sep-2016","23126.95","23588","22959.95","23489.65","23491.1","23489.65","2029","23638.71","155650","2100","      23419.15"
"EICHERMOT","08-Sep-2016","27-Oct-2016","23278.15","23670.65","23278.15","23605.7","23670.65","23605.7","15","176.36","1000","-200","      23419.15"
"EICHERMOT","08-Sep-2016","24-Nov-2016","0","0","0","23000","23000","23766.05","0","0","50","0","      23419.15"
"EICHERMOT","09-Sep-2016","29-Sep-2016","23480","23629","22990","23036.8","23007.5","23036.8","1412","16454.54","151350","-4300","      22925.05"
"EICHERMOT","09-Sep-2016","27-Oct-2016","23526.95","23728.1","23174","23174.05","23174","23174.05","26","304.96","1150","150","      22925.05"
"EICHERMOT","09-Sep-2016","24-Nov-2016","0","0","0","23000","23000","23258.75","0","0","50","0","      22925.05"
