"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"GAIL","03-Jul-2006","27-Jul-2006","259","259","248","250.6","249.65","250.6","544","2051.02","2364000","60000","        254.50"
"GAIL","03-Jul-2006","31-Aug-2006","0","0","0","246.35","246.35","257.45","0","0","1500","0","        254.50"
"GAIL","03-Jul-2006","28-Sep-2006","0","0","0","249.25","0","258.9","0","0","0","0","        254.50"
"GAIL","04-Jul-2006","27-Jul-2006","251.9","255.9","245.5","253.9","252.5","253.9","559","2105.07","2535000","171000","        257.60"
"GAIL","04-Jul-2006","31-Aug-2006","0","0","0","246.35","246.35","260.55","0","0","1500","0","        257.60"
"GAIL","04-Jul-2006","28-Sep-2006","0","0","0","249.25","0","262","0","0","0","0","        257.60"
"GAIL","05-Jul-2006","27-Jul-2006","254","254","247.15","250.65","250.1","250.65","690","2579.83","2749500","214500","        255.55"
"GAIL","05-Jul-2006","31-Aug-2006","249","249","248","248","248","258.45","3","11.19","4500","3000","        255.55"
"GAIL","05-Jul-2006","28-Sep-2006","0","0","0","249.25","0","259.85","0","0","0","0","        255.55"
"GAIL","06-Jul-2006","27-Jul-2006","248.9","249.5","242.1","243.25","243.5","243.25","726","2668","3066000","316500","        248.55"
"GAIL","06-Jul-2006","31-Aug-2006","243.05","244.7","241.3","244.7","244.7","244.7","5","18.19","9000","4500","        248.55"
"GAIL","06-Jul-2006","28-Sep-2006","0","0","0","249.25","0","252.7","0","0","0","0","        248.55"
"GAIL","07-Jul-2006","27-Jul-2006","247.7","247.7","234.3","236.45","234.9","236.45","834","3025.93","3307500","241500","        246.60"
"GAIL","07-Jul-2006","31-Aug-2006","240.5","244.8","237","237.65","237","237.65","8","29.04","13500","4500","        246.60"
"GAIL","07-Jul-2006","28-Sep-2006","0","0","0","249.25","0","250.6","0","0","0","0","        246.60"
"GAIL","10-Jul-2006","27-Jul-2006","236.5","246.85","233.05","244.05","245.3","244.05","1105","4009.48","3318000","10500","        255.60"
"GAIL","10-Jul-2006","31-Aug-2006","238","242.4","238","242.4","242.4","242.4","3","10.81","15000","1500","        255.60"
"GAIL","10-Jul-2006","28-Sep-2006","0","0","0","249.25","0","259.65","0","0","0","0","        255.60"
"GAIL","11-Jul-2006","27-Jul-2006","243.1","246.75","239.5","244.1","243","244.1","504","1840","3558000","240000","        251.35"
"GAIL","11-Jul-2006","31-Aug-2006","243.25","245","241","245","245","253.9","6","21.83","19500","4500","        251.35"
"GAIL","11-Jul-2006","28-Sep-2006","0","0","0","249.25","0","255.3","0","0","0","0","        251.35"
"GAIL","12-Jul-2006","27-Jul-2006","247.95","248","241.2","246.15","246","246.15","454","1663.81","3408000","-150000","        251.40"
"GAIL","12-Jul-2006","31-Aug-2006","241","243.6","238.5","240.45","240.45","253.9","9","32.62","21000","1500","        251.40"
"GAIL","12-Jul-2006","28-Sep-2006","0","0","0","249.25","0","255.3","0","0","0","0","        251.40"
"GAIL","13-Jul-2006","27-Jul-2006","246.6","249.7","241.45","245.7","246.7","245.7","854","3144.45","3691500","283500","        255.10"
"GAIL","13-Jul-2006","31-Aug-2006","243","246","240","243.05","243.5","243.05","53","193.22","82500","61500","        255.10"
"GAIL","13-Jul-2006","28-Sep-2006","0","0","0","249.25","0","259","0","0","0","0","        255.10"
"GAIL","14-Jul-2006","27-Jul-2006","244","245","237","238.45","237.1","238.45","723","2611.56","4062000","370500","        248.75"
"GAIL","14-Jul-2006","31-Aug-2006","239.15","239.15","234.05","234.7","235","234.7","56","198.98","127500","45000","        248.75"
"GAIL","14-Jul-2006","28-Sep-2006","0","0","0","249.25","0","252.5","0","0","0","0","        248.75"
"GAIL","17-Jul-2006","27-Jul-2006","238.5","238.5","233.6","234.3","234.15","234.3","668","2360.75","3994500","-67500","        239.15"
"GAIL","17-Jul-2006","31-Aug-2006","232.25","233.4","229.85","230.5","230.5","230.5","43","149.66","172500","45000","        239.15"
"GAIL","17-Jul-2006","28-Sep-2006","0","0","0","249.25","0","242.6","0","0","0","0","        239.15"
"GAIL","18-Jul-2006","27-Jul-2006","238","239.7","226","227.4","228","227.4","697","2409.4","3981000","-13500","        230.75"
"GAIL","18-Jul-2006","31-Aug-2006","232","232","223.5","225","225","225","58","197.95","223500","51000","        230.75"
"GAIL","18-Jul-2006","28-Sep-2006","0","0","0","249.25","0","234.05","0","0","0","0","        230.75"
"GAIL","19-Jul-2006","27-Jul-2006","229.05","232.5","224.7","230.25","231","230.25","1240","4242","4114500","133500","        238.75"
"GAIL","19-Jul-2006","31-Aug-2006","224","228.8","221","227.25","227.7","227.25","120","403.52","288000","64500","        238.75"
"GAIL","19-Jul-2006","28-Sep-2006","0","0","0","249.25","0","242.15","0","0","0","0","        238.75"
"GAIL","20-Jul-2006","27-Jul-2006","240","240","233.5","234.85","236","234.85","913","3239.72","4044000","-70500","        236.65"
"GAIL","20-Jul-2006","31-Aug-2006","234","235.85","230.65","232.05","233","232.05","125","437.28","373500","85500","        236.65"
"GAIL","20-Jul-2006","28-Sep-2006","0","0","0","249.25","0","239.95","0","0","0","0","        236.65"
"GAIL","21-Jul-2006","27-Jul-2006","233.3","233.4","229.2","232.4","232.6","232.4","364","1263.53","3999000","-45000","        234.50"
"GAIL","21-Jul-2006","31-Aug-2006","232","232","225.3","228.05","229","228.05","170","580.22","511500","138000","        234.50"
"GAIL","21-Jul-2006","28-Sep-2006","0","0","0","249.25","0","237.75","0","0","0","0","        234.50"
"GAIL","24-Jul-2006","27-Jul-2006","230","233.75","225.05","231.85","233","231.85","876","3004.32","3657000","-342000","        231.95"
"GAIL","24-Jul-2006","31-Aug-2006","223","229.8","220.6","228.1","229.05","228.1","376","1267.13","790500","279000","        231.95"
"GAIL","24-Jul-2006","28-Sep-2006","0","0","0","249.25","0","235","0","0","0","0","        231.95"
"GAIL","25-Jul-2006","27-Jul-2006","234.6","247.25","234.6","246.4","245.6","246.4","1163","4210.01","3340500","-316500","        248.15"
"GAIL","25-Jul-2006","31-Aug-2006","231.9","242.8","231.9","242","241","242","553","1962.14","1095000","304500","        248.15"
"GAIL","25-Jul-2006","28-Sep-2006","0","0","0","249.25","0","251.35","0","0","0","0","        248.15"
"GAIL","26-Jul-2006","27-Jul-2006","247.05","266.7","244.6","264.7","262.6","264.7","1899","7343.26","2458500","-882000","        267.05"
"GAIL","26-Jul-2006","31-Aug-2006","243","259.6","239.25","256.65","255","256.65","1289","4874.06","1932000","837000","        267.05"
"GAIL","26-Jul-2006","28-Sep-2006","0","0","0","249.25","0","270.5","0","0","0","0","        267.05"
"GAIL","27-Jul-2006","27-Jul-2006","264.9","267.2","257.8","261.15","260.65","260.4","2625","10300.95","1971000","-487500","        260.40"
"GAIL","27-Jul-2006","31-Aug-2006","258","258.95","246.4","248.1","247.7","248.1","1651","6237.68","2629500","697500","        260.40"
"GAIL","27-Jul-2006","28-Sep-2006","0","0","0","249.25","0","263.7","0","0","0","0","        260.40"
"GAIL","28-Jul-2006","31-Aug-2006","248.8","248.8","238.1","240.65","240.6","240.65","969","3522.33","2860500","231000","        246.30"
"GAIL","28-Jul-2006","28-Sep-2006","239.1","239.1","238.95","239","239","249.35","4","14.34","6000","6000","        246.30"
"GAIL","28-Jul-2006","26-Oct-2006","0","0","0","265.2","0","250.75","0","0","0","0","        246.30"
"GAIL","31-Jul-2006","31-Aug-2006","243.5","246.75","237.55","238.8","238.25","238.8","773","2821.69","2964000","103500","        241.80"
"GAIL","31-Jul-2006","28-Sep-2006","244.75","245","242.35","243.5","243.5","244.65","7","25.62","9000","3000","        241.80"
"GAIL","31-Jul-2006","26-Oct-2006","0","0","0","265.2","0","246","0","0","0","0","        241.80"
"GAIL","01-Aug-2006","31-Aug-2006","237.5","243","237.5","242.7","242.5","242.7","719","2602.17","2809500","-154500","        246.25"
"GAIL","01-Aug-2006","28-Sep-2006","0","0","0","243.5","243.5","249.1","0","0","9000","0","        246.25"
"GAIL","01-Aug-2006","26-Oct-2006","0","0","0","265.2","0","250.5","0","0","0","0","        246.25"
"GAIL","02-Aug-2006","31-Aug-2006","241","242.65","238.35","241.9","241.8","241.9","614","2214.55","2838000","28500","        243.45"
"GAIL","02-Aug-2006","28-Sep-2006","238.95","241.2","238","241","241","241","4","14.39","15000","6000","        243.45"
"GAIL","02-Aug-2006","26-Oct-2006","0","0","0","265.2","0","247.6","0","0","0","0","        243.45"
"GAIL","03-Aug-2006","31-Aug-2006","242.5","243","234.6","236.3","234.9","236.3","1232","4420.46","3390000","552000","        237.75"
"GAIL","03-Aug-2006","28-Sep-2006","239.5","239.5","235.1","235.3","235.1","235.3","3","10.65","19500","4500","        237.75"
"GAIL","03-Aug-2006","26-Oct-2006","0","0","0","265.2","0","241.75","0","0","0","0","        237.75"
"GAIL","04-Aug-2006","31-Aug-2006","237.95","239.5","232.8","233.9","232.8","233.9","987","3498.96","3555000","165000","        233.90"
"GAIL","04-Aug-2006","28-Sep-2006","238","238","235","235","235","236.5","5","17.76","27000","7500","        233.90"
"GAIL","04-Aug-2006","26-Oct-2006","0","0","0","265.2","0","237.8","0","0","0","0","        233.90"
"GAIL","07-Aug-2006","31-Aug-2006","232.7","236","231.95","234.35","233.75","234.35","800","2809.3","3462000","-93000","        237.15"
"GAIL","07-Aug-2006","28-Sep-2006","233","233.9","233","233.25","233.6","233.25","7","24.5","37500","10500","        237.15"
"GAIL","07-Aug-2006","26-Oct-2006","0","0","0","265.2","0","240.9","0","0","0","0","        237.15"
"GAIL","08-Aug-2006","31-Aug-2006","235","240.2","234.1","239.7","239","239.7","742","2650.19","3328500","-133500","        243.60"
"GAIL","08-Aug-2006","28-Sep-2006","235.25","239.5","235.25","238.75","238.35","238.75","9","32.08","46500","9000","        243.60"
"GAIL","08-Aug-2006","26-Oct-2006","0","0","0","265.2","0","247.45","0","0","0","0","        243.60"
"GAIL","09-Aug-2006","31-Aug-2006","238.9","243.9","237","241.95","242","241.95","1003","3622.88","3286500","-42000","        245.05"
"GAIL","09-Aug-2006","28-Sep-2006","239","241","238.95","239.95","239.95","247.5","6","21.57","45000","-1500","        245.05"
"GAIL","09-Aug-2006","26-Oct-2006","0","0","0","265.2","0","248.85","0","0","0","0","        245.05"
"GAIL","10-Aug-2006","31-Aug-2006","242.8","242.8","237.4","240.9","240.45","240.9","489","1763.45","3315000","28500","        245.05"
"GAIL","10-Aug-2006","28-Sep-2006","228.7","230.3","228.7","230.3","230.3","247.45","2","6.89","46500","1500","        245.05"
"GAIL","10-Aug-2006","26-Oct-2006","0","0","0","265.2","0","248.85","0","0","0","0","        245.05"
"GAIL","11-Aug-2006","31-Aug-2006","242.1","247","240.6","244.7","244.7","244.7","1177","4314.01","3256500","-58500","        249.70"
"GAIL","11-Aug-2006","28-Sep-2006","240.5","243.5","240.5","242.55","243.5","242.55","4","14.52","45000","-1500","        249.70"
"GAIL","11-Aug-2006","26-Oct-2006","0","0","0","265.2","0","253.5","0","0","0","0","        249.70"
"GAIL","14-Aug-2006","31-Aug-2006","247","251","246.55","249","249","249","789","2942.52","3271500","15000","        251.20"
"GAIL","14-Aug-2006","28-Sep-2006","248.45","248.5","245","247.55","248.5","247.55","11","40.67","57000","12000","        251.20"
"GAIL","14-Aug-2006","26-Oct-2006","0","0","0","265.2","0","254.85","0","0","0","0","        251.20"
"GAIL","16-Aug-2006","31-Aug-2006","251.95","259.5","251.5","256.35","255","256.35","1340","5151.28","3265500","-6000","        259.60"
"GAIL","16-Aug-2006","28-Sep-2006","247.2","257.9","247.2","254.1","254.1","254.1","17","65","61500","4500","        259.60"
"GAIL","16-Aug-2006","26-Oct-2006","0","0","0","265.2","0","263.3","0","0","0","0","        259.60"
"GAIL","17-Aug-2006","31-Aug-2006","256.6","259.1","251.25","252.2","251.9","252.2","978","3757.95","3288000","22500","        254.10"
"GAIL","17-Aug-2006","28-Sep-2006","257.95","257.95","250.35","250.45","250.5","250.45","10","38.02","69000","7500","        254.10"
"GAIL","17-Aug-2006","26-Oct-2006","0","0","0","265.2","0","257.65","0","0","0","0","        254.10"
"GAIL","18-Aug-2006","31-Aug-2006","251","254.9","249.2","252.75","252.55","252.75","591","2238.26","3370500","82500","        254.10"
"GAIL","18-Aug-2006","28-Sep-2006","250.9","252.45","249.45","251.45","251","251.45","33","124.31","96000","27000","        254.10"
"GAIL","18-Aug-2006","26-Oct-2006","245","259","245","259","259","257.6","2","7.56","0","0","        254.10"
"GAIL","21-Aug-2006","31-Aug-2006","253","253","249.1","251.35","252.4","251.35","462","1740.96","3462000","91500","        252.90"
"GAIL","21-Aug-2006","28-Sep-2006","249.9","251.4","248.5","250.15","250.95","250.15","55","206.07","151500","55500","        252.90"
"GAIL","21-Aug-2006","26-Oct-2006","250","250","250","250","250","250","2","7.5","3000","3000","        252.90"
"GAIL","22-Aug-2006","31-Aug-2006","252.6","255.8","251.5","252.6","252.4","252.6","585","2226.36","3477000","15000","        254.15"
"GAIL","22-Aug-2006","28-Sep-2006","251","254.5","251","251.9","251.6","251.9","61","231.44","196500","45000","        254.15"
"GAIL","22-Aug-2006","26-Oct-2006","0","0","0","250","250","257.5","0","0","3000","0","        254.15"
"GAIL","23-Aug-2006","31-Aug-2006","252.1","257.85","250.1","254","254","254","1423","5447.48","3466500","-10500","        256.10"
"GAIL","23-Aug-2006","28-Sep-2006","252","257.1","250.2","252.6","252.65","252.6","191","727.9","342000","145500","        256.10"
"GAIL","23-Aug-2006","26-Oct-2006","265","265","265","265","265","259.4","1","3.98","4500","1500","        256.10"
"GAIL","24-Aug-2006","31-Aug-2006","252.8","266.2","252.8","264.9","265.1","264.9","2562","10028.24","3612000","145500","        266.55"
"GAIL","24-Aug-2006","28-Sep-2006","252.5","263.45","251.8","262.45","263","262.45","362","1405.85","516000","174000","        266.55"
"GAIL","24-Aug-2006","26-Oct-2006","0","0","0","265","265","269.9","0","0","4500","0","        266.55"
"GAIL","25-Aug-2006","31-Aug-2006","266.85","275.8","264.55","272.4","272.6","272.4","3524","14327.99","3432000","-180000","        274.55"
"GAIL","25-Aug-2006","28-Sep-2006","264","274.95","262.65","270.6","270","270.6","1027","4164.52","963000","447000","        274.55"
"GAIL","25-Aug-2006","26-Oct-2006","0","0","0","265","265","277.95","0","0","4500","0","        274.55"
"GAIL","28-Aug-2006","31-Aug-2006","273.4","273.4","267.2","270.1","270.3","270.1","867","3509.06","3256500","-175500","        270.00"
"GAIL","28-Aug-2006","28-Sep-2006","271","271.1","265.4","267.95","268","267.95","333","1337.84","1161000","198000","        270.00"
