"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"GAIL","01-Mar-2018","28-Mar-2018","458.95","459","451.95","453.6","453","453.6","1835","16705.15","11786000","272000","        454.25"
"GAIL","01-Mar-2018","26-Apr-2018","454","456.5","453.5","454","453.75","454","11","100.02","212000","10000","        454.25"
"GAIL","01-Mar-2018","31-May-2018","0","0","0","475.3","0","462.55","0","0","0","0","        454.25"
"GAIL","05-Mar-2018","28-Mar-2018","453.35","453.55","442.2","444.5","443.6","444.5","1390","12381.75","12050000","264000","        443.60"
"GAIL","05-Mar-2018","26-Apr-2018","446.6","446.6","442.75","444.9","444.9","448.25","19","169.15","212000","0","        443.60"
"GAIL","05-Mar-2018","31-May-2018","0","0","0","475.3","0","451.35","0","0","0","0","        443.60"
"GAIL","06-Mar-2018","28-Mar-2018","447.45","447.9","438.3","440.4","440.6","440.4","1632","14496.26","12210000","160000","        439.95"
"GAIL","06-Mar-2018","26-Apr-2018","445.35","446.7","438.8","439.05","438.8","439.05","23","204.13","238000","26000","        439.95"
"GAIL","06-Mar-2018","31-May-2018","0","0","0","475.3","0","447.55","0","0","0","0","        439.95"
"GAIL","07-Mar-2018","28-Mar-2018","438.5","443.25","434.25","441.55","441.4","441.55","2230","19607.33","12054000","-156000","        440.75"
"GAIL","07-Mar-2018","26-Apr-2018","435.35","442.3","434","441","441","441","43","377.82","262000","24000","        440.75"
"GAIL","07-Mar-2018","31-May-2018","0","0","0","475.3","0","448.25","0","0","0","0","        440.75"
"GAIL","08-Mar-2018","28-Mar-2018","443.95","445.5","432.45","436.75","436.5","436.75","1944","17038.56","12332000","278000","        436.45"
"GAIL","08-Mar-2018","26-Apr-2018","442","442","433.5","436.85","436.8","436.85","36","314.03","272000","10000","        436.45"
"GAIL","08-Mar-2018","31-May-2018","0","0","0","475.3","0","443.85","0","0","0","0","        436.45"
"GAIL","09-Mar-2018","28-Mar-2018","437.5","442.5","435.1","437","437.2","437","1353","11884.61","12190000","-142000","        436.90"
"GAIL","09-Mar-2018","26-Apr-2018","438","442.15","437.85","437.85","437.85","437.85","29","255.04","264000","-8000","        436.90"
"GAIL","09-Mar-2018","31-May-2018","0","0","0","475.3","0","444.2","0","0","0","0","        436.90"
"GAIL","12-Mar-2018","28-Mar-2018","437.7","447.9","437.7","446.65","447.35","446.65","1593","14106.17","12092000","-98000","        446.45"
"GAIL","12-Mar-2018","26-Apr-2018","442.25","447.55","437.9","447.3","447.1","447.3","191","1683.67","540000","276000","        446.45"
"GAIL","12-Mar-2018","31-May-2018","0","0","0","475.3","0","453.65","0","0","0","0","        446.45"
"GAIL","13-Mar-2018","28-Mar-2018","449.2","457.15","443.5","456.05","456.6","456.05","2195","19857.41","12134000","42000","        455.95"
"GAIL","13-Mar-2018","26-Apr-2018","450.45","457","447.1","456.35","456.5","456.35","103","930.06","650000","110000","        455.95"
"GAIL","13-Mar-2018","31-May-2018","0","0","0","475.3","0","463.2","0","0","0","0","        455.95"
"GAIL","14-Mar-2018","28-Mar-2018","456","462.75","455","456.45","457","456.45","1923","17626.26","12260000","126000","        458.00"
"GAIL","14-Mar-2018","26-Apr-2018","459.15","462.9","455.65","456.65","456.25","456.65","171","1571.23","896000","246000","        458.00"
"GAIL","14-Mar-2018","31-May-2018","0","0","0","475.3","0","465.2","0","0","0","0","        458.00"
"GAIL","15-Mar-2018","28-Mar-2018","454","457.65","450.2","451.2","451","451.2","1397","12687.06","12490000","230000","        450.35"
"GAIL","15-Mar-2018","26-Apr-2018","456.25","456.5","451.5","451.9","451.8","451.9","52","472.74","942000","46000","        450.35"
"GAIL","15-Mar-2018","31-May-2018","0","0","0","475.3","0","457.35","0","0","0","0","        450.35"
"GAIL","16-Mar-2018","28-Mar-2018","448","450.7","439.2","441.8","441.5","441.8","1852","16437.58","12372000","-118000","        441.00"
"GAIL","16-Mar-2018","26-Apr-2018","448.6","448.6","440.35","443.05","443.55","443.05","66","586.59","958000","16000","        441.00"
"GAIL","16-Mar-2018","31-May-2018","443.1","443.1","443.1","443.1","443.1","447.75","1","8.86","2000","2000","        441.00"
"GAIL","19-Mar-2018","28-Mar-2018","444.95","446.3","438","442.85","443.5","442.85","2013","17791.76","12128000","-244000","        442.05"
"GAIL","19-Mar-2018","26-Apr-2018","447.25","447.25","441.1","443.2","443.3","443.2","112","992.2","992000","34000","        442.05"
"GAIL","19-Mar-2018","31-May-2018","0","0","0","443.1","443.1","448.5","0","0","2000","0","        442.05"
"GAIL","20-Mar-2018","28-Mar-2018","443.15","446.3","437.25","439","439.65","439","1392","12305.84","12226000","98000","        438.50"
"GAIL","20-Mar-2018","26-Apr-2018","443.3","446.6","438.3","439.9","440.9","439.9","97","859.03","1084000","92000","        438.50"
"GAIL","20-Mar-2018","31-May-2018","445.65","445.7","438.05","438.05","438.05","444.8","4","35.5","8000","6000","        438.50"
"GAIL","21-Mar-2018","28-Mar-2018","441.05","444","435.45","436.2","436.5","436.2","2410","21130.74","12030000","-196000","        435.05"
"GAIL","21-Mar-2018","26-Apr-2018","443","444.05","436","436.85","437.7","436.85","324","2838.5","1290000","206000","        435.05"
"GAIL","21-Mar-2018","31-May-2018","441","441","440.95","441","441","441.2","4","35.28","14000","6000","        435.05"
"GAIL","22-Mar-2018","28-Mar-2018","439.85","442.2","436.2","437.6","437.95","437.6","2236","19635.42","11668000","-362000","        438.40"
