"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"GAIL","04-May-2009","28-May-2009","265","269.5","258.2","259.15","258.25","259.15","1515","4469.1","4581000","81000","        258.35"
"GAIL","04-May-2009","25-Jun-2009","264.7","264.7","264.7","264.7","264.7","260.45","1","2.98","0","-1125","        258.35"
"GAIL","04-May-2009","30-Jul-2009","0","0","0","260","0","261.85","0","0","0","0","        258.35"
"GAIL","05-May-2009","28-May-2009","257.15","266.85","256.2","259.4","258.3","259.4","1417","4167.2","4478625","-102375","        259.10"
"GAIL","05-May-2009","25-Jun-2009","0","0","0","264.7","264.7","261.2","0","0","0","0","        259.10"
"GAIL","05-May-2009","30-Jul-2009","0","0","0","260","0","262.65","0","0","0","0","        259.10"
"GAIL","06-May-2009","28-May-2009","258.15","263.8","257.3","259.9","261.7","259.9","1658","4870.27","4484250","5625","        258.70"
"GAIL","06-May-2009","25-Jun-2009","260.9","260.9","260.9","260.9","260.9","260.55","1","2.94","1125","1125","        258.70"
"GAIL","06-May-2009","30-Jul-2009","0","0","0","260","0","261.8","0","0","0","0","        258.70"
"GAIL","07-May-2009","28-May-2009","262.5","265.7","258.3","260.35","259.5","260.35","1542","4538.7","4339125","-145125","        260.50"
"GAIL","07-May-2009","25-Jun-2009","264.45","265.4","260","260.15","260.15","262.35","6","17.72","4500","3375","        260.50"
"GAIL","07-May-2009","30-Jul-2009","0","0","0","260","0","263.65","0","0","0","0","        260.50"
"GAIL","08-May-2009","28-May-2009","263","264.8","257","261.7","261.5","261.7","1350","3970.36","4290750","-48375","        261.65"
"GAIL","08-May-2009","25-Jun-2009","265.05","265.05","265.05","265.05","265.05","263.4","1","2.98","5625","1125","        261.65"
"GAIL","08-May-2009","30-Jul-2009","0","0","0","260","0","264.7","0","0","0","0","        261.65"
"GAIL","11-May-2009","28-May-2009","263.9","264","257.05","260.75","261.3","260.75","916","2682.62","4095000","-195750","        260.85"
