"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"GAIL","01-Sep-2010","30-Sep-2010","461.5","468.9","460.75","465.9","465","465.9","3488","8116.76","3596000","-33000","        470.05"
"GAIL","01-Sep-2010","28-Oct-2010","464","469.95","461.95","467.45","466.85","467.45","192","447.19","293500","71500","        470.05"
"GAIL","01-Sep-2010","25-Nov-2010","0","0","0","454.35","0","477.75","0","0","0","0","        470.05"
"GAIL","02-Sep-2010","30-Sep-2010","468.85","469.9","460","461.55","461.9","461.55","1817","4228.27","3653500","57500","        459.70"
"GAIL","02-Sep-2010","28-Oct-2010","468.95","469.45","462.1","462.85","462.1","462.85","149","347.83","356500","63000","        459.70"
"GAIL","02-Sep-2010","25-Nov-2010","0","0","0","454.35","0","467.1","0","0","0","0","        459.70"
"GAIL","03-Sep-2010","30-Sep-2010","460","465.15","456.2","463.85","464.55","463.85","2307","5315.23","3777500","124000","        461.60"
"GAIL","03-Sep-2010","28-Oct-2010","461.6","465.65","457.4","465.2","465.5","465.2","229","528.08","440000","83500","        461.60"
"GAIL","03-Sep-2010","25-Nov-2010","0","0","0","454.35","0","468.95","0","0","0","0","        461.60"
"GAIL","06-Sep-2010","30-Sep-2010","464","471.85","462.2","469.9","470.5","469.9","3333","7788.68","4037000","259500","        468.10"
"GAIL","06-Sep-2010","28-Oct-2010","467.35","472.55","466","471.35","472.05","471.35","121","282.99","477500","37500","        468.10"
"GAIL","06-Sep-2010","25-Nov-2010","0","0","0","454.35","0","475.25","0","0","0","0","        468.10"
"GAIL","07-Sep-2010","30-Sep-2010","466.3","474","465","466.4","465.45","466.4","2963","6957.99","4129500","92500","        465.60"
"GAIL","07-Sep-2010","28-Oct-2010","472.7","474.9","467.3","467.6","467.95","467.6","146","343.85","519000","41500","        465.60"
"GAIL","07-Sep-2010","25-Nov-2010","0","0","0","454.35","0","472.7","0","0","0","0","        465.60"
"GAIL","08-Sep-2010","30-Sep-2010","465","473.4","463.15","467.15","466.9","467.15","2496","5849.22","4182000","52500","        466.90"
"GAIL","08-Sep-2010","28-Oct-2010","470","473","466","468.2","468.2","468.2","55","129.18","534000","15000","        466.90"
"GAIL","08-Sep-2010","25-Nov-2010","0","0","0","454.35","0","473.95","0","0","0","0","        466.90"
"GAIL","09-Sep-2010","30-Sep-2010","467.5","469.75","460.5","462.05","462.15","462.05","2677","6211.74","4066500","-115500","        461.60"
"GAIL","09-Sep-2010","28-Oct-2010","468.85","469.95","462","463.2","464","463.2","57","132.77","540500","6500","        461.60"
"GAIL","09-Sep-2010","25-Nov-2010","468","468","468","468","468","468.45","1","2.34","500","500","        461.60"
"GAIL","13-Sep-2010","30-Sep-2010","463","470.75","463","470.05","468.1","470.05","2417","5655.01","3832500","-234000","        470.80"
"GAIL","13-Sep-2010","28-Oct-2010","466.95","472.3","465.25","471.5","470","471.5","64","150.17","541500","1000","        470.80"
"GAIL","13-Sep-2010","25-Nov-2010","0","0","0","468","468","477.45","0","0","500","0","        470.80"
"GAIL","14-Sep-2010","30-Sep-2010","470","475.85","465.1","467.5","468.25","467.5","3780","8882.99","3675000","-157500","        464.90"
"GAIL","14-Sep-2010","28-Oct-2010","468.2","476.8","467.4","468.85","469.8","468.85","62","146.13","548500","7000","        464.90"
"GAIL","14-Sep-2010","25-Nov-2010","475.5","475.5","475.5","475.5","475.5","471.45","1","2.38","1000","500","        464.90"
"GAIL","15-Sep-2010","30-Sep-2010","468.5","489.7","464.2","485.4","486","485.4","9965","23989.91","3827500","152500","        483.45"
"GAIL","15-Sep-2010","28-Oct-2010","470.05","490","466.25","486.45","488.2","486.45","258","621.13","558000","9500","        483.45"
"GAIL","15-Sep-2010","25-Nov-2010","0","0","0","475.5","475.5","490.2","0","0","1000","0","        483.45"
