"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"GRASIM","04-Jan-2010","28-Jan-2010","2493.15","2564.4","2481","2556.9","2558.2","2556.9","1487","6622.04","1064096","50512","       2544.10"
"GRASIM","04-Jan-2010","25-Feb-2010","0","0","0","2386.8","0","2560.5","0","0","0","0","       2544.10"
"GRASIM","04-Jan-2010","25-Mar-2010","0","0","0","2500.45","0","2569.4","0","0","0","0","       2544.10"
"GRASIM","05-Jan-2010","28-Jan-2010","2578","2644.6","2560","2628.3","2632","2628.3","2025","9326.7","976448","-87648","       2628.15"
"GRASIM","05-Jan-2010","25-Feb-2010","2635.05","2635.05","2635","2635","2635","2635","3","13.91","352","352","       2628.15"
"GRASIM","05-Jan-2010","25-Mar-2010","0","0","0","2500.45","0","2654.05","0","0","0","0","       2628.15"
"GRASIM","06-Jan-2010","28-Jan-2010","2649","2755","2622","2736.75","2749","2736.75","3710","17513.21","932800","-43648","       2736.95"
"GRASIM","06-Jan-2010","25-Feb-2010","2650.1","2700","2650.1","2700","2700","2754.1","3","14.09","880","528","       2736.95"
"GRASIM","06-Jan-2010","25-Mar-2010","0","0","0","2500.45","0","2763.7","0","0","0","0","       2736.95"
"GRASIM","07-Jan-2010","28-Jan-2010","2736","2750","2667","2674.7","2671","2674.7","1896","8994.99","897424","-35376","       2674.50"
"GRASIM","07-Jan-2010","25-Feb-2010","2720.1","2720.1","2679.85","2680","2680","2690.85","8","38","1408","528","       2674.50"
"GRASIM","07-Jan-2010","25-Mar-2010","0","0","0","2500.45","0","2700.25","0","0","0","0","       2674.50"
"GRASIM","08-Jan-2010","28-Jan-2010","2680","2772","2677","2748.05","2750","2748.05","2587","12440.16","878240","-19184","       2757.30"
"GRASIM","08-Jan-2010","25-Feb-2010","2742.95","2762.95","2742.95","2757","2757","2757","6","29.06","1936","528","       2757.30"
"GRASIM","08-Jan-2010","25-Mar-2010","0","0","0","2500.45","0","2783.45","0","0","0","0","       2757.30"
"GRASIM","11-Jan-2010","28-Jan-2010","2750","2826","2728","2809.1","2811.25","2809.1","2584","12650.71","844448","-33792","       2812.60"
"GRASIM","11-Jan-2010","25-Feb-2010","2730","2821","2730","2804.95","2821","2804.95","13","63.68","2640","704","       2812.60"
"GRASIM","11-Jan-2010","25-Mar-2010","0","0","0","2500.45","0","2838.55","0","0","0","0","       2812.60"
"GRASIM","12-Jan-2010","28-Jan-2010","2800","2824","2763.05","2789.8","2781.5","2789.8","2478","12189.94","813648","-30800","       2796.50"
"GRASIM","12-Jan-2010","25-Feb-2010","2805.6","2805.6","2771.05","2787.35","2780","2787.35","16","78.57","3344","704","       2796.50"
"GRASIM","12-Jan-2010","25-Mar-2010","0","0","0","2500.45","0","2821.7","0","0","0","0","       2796.50"
"GRASIM","13-Jan-2010","28-Jan-2010","2760","2847","2756.5","2830.9","2840.35","2830.9","2560","12624.53","789008","-24640","       2831.55"
"GRASIM","13-Jan-2010","25-Feb-2010","2778.5","2840","2778.5","2837.5","2840","2837.5","8","39.5","3872","528","       2831.55"
