"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"GRASIM","03-Jul-2017","27-Jul-2017","1248.6","1293","1233.5","1289.2","1287.6","1289.2","4897","46662.68","4700250","-285750","       1283.40"
"GRASIM","03-Jul-2017","31-Aug-2017","1250","1289.75","1241","1289.75","1289.75","1289.75","21","199.53","31500","2250","       1283.40"
"GRASIM","03-Jul-2017","28-Sep-2017","0","0","0","1249","1249","1303.6","0","0","0","0","       1283.40"
"GRASIM","04-Jul-2017","27-Jul-2017","1291","1296.75","1257.3","1266.6","1262.2","1266.6","7650","73095.32","4875000","174750","       1266.95"
"GRASIM","04-Jul-2017","31-Aug-2017","1291.35","1294.85","1259","1261.35","1265.95","1261.35","30","286.07","30000","-1500","       1266.95"
"GRASIM","04-Jul-2017","28-Sep-2017","0","0","0","1249","1249","1286.65","0","0","0","0","       1266.95"
"GRASIM","05-Jul-2017","27-Jul-2017","1264.95","1291.3","1255.05","1288","1290","1288","3358","32128.29","4873500","-1500","       1287.20"
"GRASIM","05-Jul-2017","31-Aug-2017","1268","1290","1268","1287.55","1290","1287.55","15","143.96","31500","1500","       1287.20"
"GRASIM","05-Jul-2017","28-Sep-2017","0","0","0","1249","1249","1306.95","0","0","0","0","       1287.20"
"GRASIM","06-Jul-2017","27-Jul-2017","1291.85","1291.85","1270.1","1276.05","1274","1276.05","1504","14422.2","4823250","-50250","       1272.40"
"GRASIM","06-Jul-2017","31-Aug-2017","1281","1283","1274.05","1274.4","1274.4","1285.25","20","191.5","39000","7500","       1272.40"
"GRASIM","06-Jul-2017","28-Sep-2017","0","0","0","1249","1249","1291.7","0","0","0","0","       1272.40"
"GRASIM","07-Jul-2017","27-Jul-2017","1265.05","1282.2","1254","1256.75","1258.8","1256.75","1881","17875.37","4999500","176250","       1250.85"
"GRASIM","07-Jul-2017","31-Aug-2017","1276.25","1276.25","1254.35","1255.4","1254.35","1255.4","22","208.77","42000","3000","       1250.85"
"GRASIM","07-Jul-2017","28-Sep-2017","0","0","0","1249","1249","1253.3","0","0","0","0","       1250.85"
"GRASIM","10-Jul-2017","27-Jul-2017","1260.2","1267","1241","1260.55","1259.35","1260.55","1330","12536.87","4899750","-99750","       1255.45"
"GRASIM","10-Jul-2017","31-Aug-2017","1254.55","1262","1242","1262","1262","1257.25","12","112.81","45000","3000","       1255.45"
"GRASIM","10-Jul-2017","28-Sep-2017","0","0","0","1249","1249","1257.25","0","0","0","0","       1255.45"
"GRASIM","11-Jul-2017","27-Jul-2017","1266","1272.5","1255.3","1261","1262.4","1261","1736","16478.48","4798500","-101250","       1257.60"
"GRASIM","11-Jul-2017","31-Aug-2017","1264.9","1269.8","1256.85","1256.85","1256.85","1256.85","16","151.64","48000","3000","       1257.60"
"GRASIM","11-Jul-2017","28-Sep-2017","0","0","0","1249","1249","1259.2","0","0","0","0","       1257.60"
"GRASIM","12-Jul-2017","27-Jul-2017","1268.35","1275.9","1261","1269","1268.9","1269","1530","14557.86","4781250","-17250","       1265.55"
"GRASIM","12-Jul-2017","31-Aug-2017","1270.55","1271.7","1263","1268.05","1268.05","1268.05","19","180.74","53250","5250","       1265.55"
"GRASIM","12-Jul-2017","28-Sep-2017","0","0","0","1249","1249","1266.9","0","0","0","0","       1265.55"
"GRASIM","13-Jul-2017","27-Jul-2017","1279.9","1306.15","1277.05","1289.75","1291.5","1289.75","3040","29396.42","4812750","31500","       1287.35"
"GRASIM","13-Jul-2017","31-Aug-2017","1285.35","1301.95","1283.45","1290.35","1290","1290.35","41","396.64","55500","2250","       1287.35"
"GRASIM","13-Jul-2017","28-Sep-2017","0","0","0","1249","1249","1288.5","0","0","0","0","       1287.35"
"GRASIM","14-Jul-2017","27-Jul-2017","1295.65","1295.65","1263.2","1276.25","1277","1276.25","1857","17764.43","4815000","2250","       1271.40"
"GRASIM","14-Jul-2017","31-Aug-2017","1278","1278","1274.8","1276.45","1275.95","1276.45","12","114.86","62250","6750","       1271.40"
"GRASIM","14-Jul-2017","28-Sep-2017","0","0","0","1249","1249","1272.3","0","0","0","0","       1271.40"
"GRASIM","17-Jul-2017","27-Jul-2017","1289.45","1333.35","1285.6","1307.05","1309.45","1307.05","9288","91437.32","2930250","-1884750","       1306.60"
"GRASIM","17-Jul-2017","31-Aug-2017","1291.35","1331","1291.35","1306.5","1307","1306.5","121","1191.97","66000","3750","       1306.60"
"GRASIM","17-Jul-2017","28-Sep-2017","1294.15","1320.25","1294.15","1318","1318","1318","7","69.1","4500","4500","       1306.60"
"GRASIM","18-Jul-2017","27-Jul-2017","1300","1322.5","1279.3","1305.35","1307.75","1307.8","10356","101156.52","2546250","-384000","       1307.80"
"GRASIM","18-Jul-2017","31-Aug-2017","1317.9","1327.15","1280","1305","1307.45","1307.8","362","3537.64","83250","17250","       1307.80"
"GRASIM","18-Jul-2017","28-Sep-2017","1289.1","1310.35","1282.4","1307.8","1307.8","1307.8","5","48.75","4500","0","       1307.80"
"GRASIM","19-Jul-2017","27-Jul-2017","1059.95","1077.8","1016","1054.75","1053.55","1054.75","9995","78810.38","1867500","-678750","       1050.00"
"GRASIM","19-Jul-2017","31-Aug-2017","1078","1078.1","1022.6","1059.25","1057.05","1059.25","874","6931.31","276750","193500","       1050.00"
"GRASIM","19-Jul-2017","28-Sep-2017","1056","1064.65","1055.5","1055.55","1055.5","1055.55","7","55.6","750","-3750","       1050.00"
