"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"GRASIM","02-May-2014","29-May-2014","2642.15","2670","2597","2644.15","2639.7","2644.15","1341","4421.03","959000","5250","       2629.60"
"GRASIM","02-May-2014","26-Jun-2014","2646.05","2679.05","2628.15","2662.7","2662.7","2666.35","18","59.92","17500","0","       2629.60"
"GRASIM","02-May-2014","31-Jul-2014","0","0","0","2829.55","0","2690","0","0","0","0","       2629.60"
"GRASIM","05-May-2014","29-May-2014","2618","2690","2613.05","2661.9","2673","2661.9","1623","5385.63","1021000","62000","       2638.60"
"GRASIM","05-May-2014","26-Jun-2014","2655.3","2686.75","2655.3","2686.75","2686.75","2686.75","3","10.02","17625","125","       2638.60"
"GRASIM","05-May-2014","31-Jul-2014","0","0","0","2829.55","0","2697.25","0","0","0","0","       2638.60"
"GRASIM","06-May-2014","29-May-2014","2680.35","2680.35","2637.35","2651.1","2647","2651.1","678","2249.47","1028500","7500","       2630.20"
"GRASIM","06-May-2014","26-Jun-2014","2674.7","2674.7","2674.7","2674.7","2674.7","2664.3","1","3.34","17625","0","       2630.20"
"GRASIM","06-May-2014","31-Jul-2014","0","0","0","2829.55","0","2688","0","0","0","0","       2630.20"
"GRASIM","07-May-2014","29-May-2014","2649.8","2658.95","2615","2623.8","2630","2623.8","808","2663.65","1024625","-3875","       2611.55"
"GRASIM","07-May-2014","26-Jun-2014","2669.3","2669.3","2669.3","2669.3","2669.3","2644.75","1","3.34","17625","0","       2611.55"
"GRASIM","07-May-2014","31-Jul-2014","0","0","0","2829.55","0","2668.2","0","0","0","0","       2611.55"
"GRASIM","08-May-2014","29-May-2014","2622.1","2659","2605","2643.6","2640","2643.6","891","2947.35","1011625","-13000","       2625.10"
"GRASIM","08-May-2014","26-Jun-2014","2675.05","2675.05","2659.35","2659.35","2659.35","2659.35","9","29.99","17625","0","       2625.10"
"GRASIM","08-May-2014","31-Jul-2014","0","0","0","2829.55","0","2681.25","0","0","0","0","       2625.10"
"GRASIM","09-May-2014","29-May-2014","2626.3","2763.8","2611.1","2746.1","2744.2","2746.1","1039","3518.23","1017500","5875","       2722.40"
"GRASIM","09-May-2014","26-Jun-2014","2697.15","2762.55","2697.15","2769.2","2762.55","2769.2","16","54.6","17625","0","       2722.40"
