"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"GRASIM","03-Nov-2008","27-Nov-2008","1135","1135","1056.4","1107.7","1093.8","1107.7","1492","1424.15","641256","25784","       1101.45"
"GRASIM","03-Nov-2008","25-Dec-2008","0","0","0","1021.8","1021.8","1119.95","0","0","88","0","       1101.45"
"GRASIM","03-Nov-2008","29-Jan-2009","0","0","0","1040.5","0","1133.15","0","0","0","0","       1101.45"
"GRASIM","04-Nov-2008","27-Nov-2008","1099","1153.15","1065.6","1137.25","1135.15","1137.25","1788","1748.94","659560","18304","       1131.25"
"GRASIM","04-Nov-2008","25-Dec-2008","1100.05","1123","1100.05","1123","1123","1149.8","3","2.94","88","0","       1131.25"
"GRASIM","04-Nov-2008","29-Jan-2009","0","0","0","1040.5","0","1163.35","0","0","0","0","       1131.25"
"GRASIM","05-Nov-2008","27-Nov-2008","1160","1184","1035","1051.6","1055","1051.6","1814","1748.79","652784","-6776","       1050.55"
"GRASIM","05-Nov-2008","25-Dec-2008","1075","1075","1070","1070","1070","1067.55","2","1.89","264","176","       1050.55"
"GRASIM","05-Nov-2008","29-Jan-2009","0","0","0","1040.5","0","1080.2","0","0","0","0","       1050.55"
"GRASIM","06-Nov-2008","27-Nov-2008","1010","1074","986.4","1026.15","1026","1026.15","1876","1687.17","652784","0","       1026.65"
"GRASIM","06-Nov-2008","25-Dec-2008","1029","1029","1007.45","1013.3","1013.3","1042.55","9","8.02","880","616","       1026.65"
"GRASIM","06-Nov-2008","29-Jan-2009","0","0","0","1040.5","0","1054.65","0","0","0","0","       1026.65"
"GRASIM","07-Nov-2008","27-Nov-2008","1020","1098","996","1046.9","1058","1046.9","1750","1591.02","679800","27016","       1045.90"
"GRASIM","07-Nov-2008","25-Dec-2008","1045.3","1047.4","1018.15","1018.15","1018.15","1061.4","3","2.74","880","0","       1045.90"
"GRASIM","07-Nov-2008","29-Jan-2009","0","0","0","1040.5","0","1073.45","0","0","0","0","       1045.90"
"GRASIM","10-Nov-2008","27-Nov-2008","1063","1119.45","1053.25","1107","1106","1107","1100","1048.62","698544","18744","       1100.45"
"GRASIM","10-Nov-2008","25-Dec-2008","1058.8","1122","1058.8","1111.6","1110.75","1111.6","8","7.7","1408","528","       1100.45"
"GRASIM","10-Nov-2008","29-Jan-2009","0","0","0","1040.5","0","1128.5","0","0","0","0","       1100.45"
