"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"HCLTECH","01-Jan-2019","31-Jan-2019","962.1","968.1","957.4","964.25","964.25","964.25","828","5574.47","9240700","33600","        959.85"
"HCLTECH","01-Jan-2019","28-Feb-2019","968.1","968.1","963.75","964.95","964.95","971.3","5","33.77","44800","2100","        959.85"
"HCLTECH","01-Jan-2019","28-Mar-2019","0","0","0","966.65","0","976.9","0","0","0","0","        959.85"
"HCLTECH","02-Jan-2019","31-Jan-2019","963.95","965.85","943.75","951.15","951.6","951.15","3885","25990.38","9512300","271600","        946.35"
"HCLTECH","02-Jan-2019","28-Feb-2019","968","968.4","948.1","955.5","956","955.5","22","147.52","47600","2800","        946.35"
"HCLTECH","02-Jan-2019","28-Mar-2019","0","0","0","966.65","0","963","0","0","0","0","        946.35"
"HCLTECH","03-Jan-2019","31-Jan-2019","950.55","962.8","946.65","950.95","950.5","950.95","2927","19553.84","9518600","6300","        948.35"
"HCLTECH","03-Jan-2019","28-Feb-2019","956","964.25","951","954.2","955.4","954.2","25","167.18","49000","1400","        948.35"
"HCLTECH","03-Jan-2019","28-Mar-2019","0","0","0","966.65","0","964.9","0","0","0","0","        948.35"
"HCLTECH","04-Jan-2019","31-Jan-2019","948.9","953.7","926.75","936.1","936","936.1","4400","28840.56","9818900","300300","        932.35"
"HCLTECH","04-Jan-2019","28-Feb-2019","948.5","948.5","932.1","940","939.5","940","43","283.12","56700","7700","        932.35"
"HCLTECH","04-Jan-2019","28-Mar-2019","942.85","942.85","940.85","940.85","940.85","948.45","2","13.19","1400","1400","        932.35"
"HCLTECH","07-Jan-2019","31-Jan-2019","941.4","953","938","944.35","945.55","944.35","2336","15481.41","9641800","-177100","        941.55"
"HCLTECH","07-Jan-2019","28-Feb-2019","951.65","954.4","945.4","949.95","949.85","949.95","27","179.54","57400","700","        941.55"
"HCLTECH","07-Jan-2019","28-Mar-2019","0","0","0","940.85","940.85","957.3","0","0","1400","0","        941.55"
"HCLTECH","08-Jan-2019","31-Jan-2019","947.6","950.2","937","947.85","947.45","947.85","2628","17332.85","9578100","-63700","        945.15"
"HCLTECH","08-Jan-2019","28-Feb-2019","948.85","953.1","941.5","953.1","953.1","953.1","61","403.66","62300","4900","        945.15"
"HCLTECH","08-Jan-2019","28-Mar-2019","0","0","0","940.85","940.85","960.75","0","0","1400","0","        945.15"
"HCLTECH","09-Jan-2019","31-Jan-2019","950","950.85","935.1","941.15","939.9","941.15","3071","20266.9","9662100","84000","        938.40"
"HCLTECH","09-Jan-2019","28-Feb-2019","950","952.65","939.7","944.2","943.6","944.2","61","404.02","80500","18200","        938.40"
"HCLTECH","09-Jan-2019","28-Mar-2019","0","0","0","940.85","940.85","953.75","0","0","1400","0","        938.40"
"HCLTECH","10-Jan-2019","31-Jan-2019","942.55","943.85","935.4","939","937","939","1558","10234.15","9587200","-74900","        935.85"
"HCLTECH","10-Jan-2019","28-Feb-2019","940.2","944.1","939.55","942.1","942","942.1","99","652.47","116900","36400","        935.85"
"HCLTECH","10-Jan-2019","28-Mar-2019","0","0","0","940.85","940.85","950.95","0","0","1400","0","        935.85"
"HCLTECH","11-Jan-2019","31-Jan-2019","937.1","943.7","922.85","942.6","942.7","942.6","4792","31306.75","9569000","-18200","        940.05"
"HCLTECH","11-Jan-2019","28-Feb-2019","930.5","947.35","927.05","946.8","946.75","946.8","70","459.13","122500","5600","        940.05"
"HCLTECH","11-Jan-2019","28-Mar-2019","0","0","0","940.85","940.85","955.05","0","0","1400","0","        940.05"
"HCLTECH","14-Jan-2019","31-Jan-2019","946.05","946.95","931.7","941.25","941.95","941.25","2891","19021.34","9595600","26600","        937.20"
"HCLTECH","14-Jan-2019","28-Feb-2019","948.45","948.75","935.6","943.85","946.3","943.85","212","1397.58","218400","95900","        937.20"
"HCLTECH","14-Jan-2019","28-Mar-2019","0","0","0","940.85","940.85","951.6","0","0","1400","0","        937.20"
"HCLTECH","15-Jan-2019","31-Jan-2019","937.85","959.65","934","950.9","950.3","950.9","4999","33158.42","9706900","111300","        947.70"
"HCLTECH","15-Jan-2019","28-Feb-2019","939.4","961.95","938","954.25","952.4","954.25","156","1036.87","251300","32900","        947.70"
"HCLTECH","15-Jan-2019","28-Mar-2019","0","0","0","940.85","940.85","962.05","0","0","1400","0","        947.70"
"HCLTECH","16-Jan-2019","31-Jan-2019","948.35","956.25","942","943.15","943.85","943.15","2221","14716.75","9889600","182700","        938.25"
"HCLTECH","16-Jan-2019","28-Feb-2019","957","958","944.7","945.9","946.05","945.9","116","770.45","272300","21000","        938.25"
"HCLTECH","16-Jan-2019","28-Mar-2019","0","0","0","940.85","940.85","952.3","0","0","1400","0","        938.25"
"HCLTECH","17-Jan-2019","31-Jan-2019","943.15","958.5","937.95","955.6","954.45","955.6","3645","24250.46","9466100","-423500","-"
"HCLTECH","17-Jan-2019","28-Feb-2019","944.55","960.45","942.25","958.45","957.1","958.45","164","1095.41","305200","32900","-"
"HCLTECH","17-Jan-2019","28-Mar-2019","0","0","0","940.85","940.85","968.75","0","0","1400","0","-"
