"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"HCLTECH","01-Jul-2019","25-Jul-2019","1074","1074.9","1054.5","1056.15","1056","1056.15","2429","18061.28","10343900","349300","       1049.10"
"HCLTECH","01-Jul-2019","29-Aug-2019","1074.9","1075.45","1060.25","1060.8","1060.7","1060.8","38","284.11","48300","6300","       1049.10"
"HCLTECH","01-Jul-2019","26-Sep-2019","1080","1080","1080","1080","1080","1066.15","1","7.56","2100","0","       1049.10"
"HCLTECH","02-Jul-2019","25-Jul-2019","1057.2","1069","1050.05","1066.3","1066.95","1066.3","2226","16502.02","10359300","15400","       1060.00"
"HCLTECH","02-Jul-2019","29-Aug-2019","1056","1073.15","1056","1071.5","1073.15","1071.5","21","156.62","47600","-700","       1060.00"
"HCLTECH","02-Jul-2019","26-Sep-2019","0","0","0","1080","1080","1077","0","0","2100","0","       1060.00"
"HCLTECH","03-Jul-2019","25-Jul-2019","1062.9","1066.85","1054.45","1056.8","1056.5","1056.8","1605","11909.19","10403400","44100","       1051.20"
"HCLTECH","03-Jul-2019","29-Aug-2019","1066.1","1068","1061","1062.4","1063.5","1062.4","37","275.94","65100","17500","       1051.20"
"HCLTECH","03-Jul-2019","26-Sep-2019","0","0","0","1080","1080","1067.85","0","0","2100","0","       1051.20"
"HCLTECH","04-Jul-2019","25-Jul-2019","1056.05","1056.9","1040.1","1047.05","1046.45","1047.05","2944","21553.46","10780000","376600","       1040.75"
"HCLTECH","04-Jul-2019","29-Aug-2019","1059.05","1059.55","1046.1","1051.65","1051.65","1051.65","40","294.47","77700","12600","       1040.75"
"HCLTECH","04-Jul-2019","26-Sep-2019","0","0","0","1080","1080","1057","0","0","2100","0","       1040.75"
"HCLTECH","05-Jul-2019","25-Jul-2019","1047.1","1051.95","1018.05","1021.6","1024","1021.6","3702","26812.24","10868900","88900","       1016.40"
"HCLTECH","05-Jul-2019","29-Aug-2019","1051.95","1056.7","1025","1027","1026","1027","45","326.86","81900","4200","       1016.40"
"HCLTECH","05-Jul-2019","26-Sep-2019","0","0","0","1080","1080","1032","0","0","2100","0","       1016.40"
"HCLTECH","08-Jul-2019","25-Jul-2019","1017.25","1046.5","1014","1039.7","1037","1039.7","4369","31710.67","10488100","-380800","       1039.05"
