"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"HCLTECH","02-May-2006","25-May-2006","589","589.9","568.1","576.15","575","576.15","794","2967.15","1430000","43550","        570.20"
"HCLTECH","02-May-2006","29-Jun-2006","577","577","577","577","577","576.45","1","3.75","2600","650","        570.20"
"HCLTECH","02-May-2006","27-Jul-2006","0","0","0","585.85","0","579.5","0","0","0","0","        570.20"
"HCLTECH","03-May-2006","25-May-2006","577","586","570.05","583.35","583","583.35","1155","4341.75","1437150","7150","        579.90"
"HCLTECH","03-May-2006","29-Jun-2006","579","589","579","589","589","589","2","7.59","3900","1300","        579.90"
"HCLTECH","03-May-2006","27-Jul-2006","0","0","0","585.85","0","589.3","0","0","0","0","        579.90"
"HCLTECH","04-May-2006","25-May-2006","585.25","591.95","581.1","590.5","590.1","590.5","1086","4141.93","1329900","-107250","        590.00"
"HCLTECH","04-May-2006","29-Jun-2006","584","584","584","584","584","596.3","1","3.8","3250","-650","        590.00"
"HCLTECH","04-May-2006","27-Jul-2006","0","0","0","585.85","0","599.5","0","0","0","0","        590.00"
"HCLTECH","05-May-2006","25-May-2006","599","599","582.35","586.9","587","586.9","701","2689.07","1353300","23400","        585.30"
"HCLTECH","05-May-2006","29-Jun-2006","589.9","589.9","589.9","589.9","589.9","591.5","1","3.83","3250","0","        585.30"
"HCLTECH","05-May-2006","27-Jul-2006","0","0","0","585.85","0","594.65","0","0","0","0","        585.30"
"HCLTECH","08-May-2006","25-May-2006","589.85","595","583.25","591.5","590.65","591.5","698","2678.92","1310400","-42900","        592.00"
"HCLTECH","08-May-2006","29-Jun-2006","0","0","0","589.9","589.9","597.95","0","0","3250","0","        592.00"
"HCLTECH","08-May-2006","27-Jul-2006","0","0","0","585.85","0","601.15","0","0","0","0","        592.00"
"HCLTECH","09-May-2006","25-May-2006","586.05","594.5","584.5","591.4","591.5","591.4","667","2555.09","1285050","-25350","        591.55"
"HCLTECH","09-May-2006","29-Jun-2006","0","0","0","589.9","589.9","597.4","0","0","3250","0","        591.55"
"HCLTECH","09-May-2006","27-Jul-2006","0","0","0","585.85","0","600.65","0","0","0","0","        591.55"
"HCLTECH","10-May-2006","25-May-2006","594","600","590.1","598.45","598.25","598.45","1061","4110.65","1277900","-7150","        601.75"
"HCLTECH","10-May-2006","29-Jun-2006","602","602","599.85","599.85","599.85","599.85","2","7.81","3250","0","        601.75"
"HCLTECH","10-May-2006","27-Jul-2006","0","0","0","585.85","0","610.85","0","0","0","0","        601.75"
"HCLTECH","11-May-2006","25-May-2006","601","603.4","570","575.7","578.55","575.7","1456","5577.36","1550900","273000","        574.50"
