"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"HCLTECH","01-Nov-2011","24-Nov-2011","439.5","450.85","428.2","432.1","431.5","432.1","1440","3126.36","2568500","59500","        429.90"
"HCLTECH","01-Nov-2011","29-Dec-2011","445","445","430","433.2","433.05","433.2","35","76.48","174500","-500","        429.90"
"HCLTECH","01-Nov-2011","25-Jan-2012","0","0","0","439.85","0","439.6","0","0","0","0","        429.90"
"HCLTECH","02-Nov-2011","24-Nov-2011","428","441.9","424.05","439.3","438","439.3","1375","3007.38","2588000","19500","        438.30"
"HCLTECH","02-Nov-2011","29-Dec-2011","418.15","442","418.15","439.1","438.75","439.1","20","43.7","179000","4500","        438.30"
"HCLTECH","02-Nov-2011","25-Jan-2012","0","0","0","439.85","0","448.1","0","0","0","0","        438.30"
"HCLTECH","03-Nov-2011","24-Nov-2011","440","444.85","433.6","438.95","439","438.95","1712","3750.28","2579500","-8500","        438.10"
"HCLTECH","03-Nov-2011","29-Dec-2011","444.3","454.6","436.7","440","440","440","15","33.16","176000","-3000","        438.10"
"HCLTECH","03-Nov-2011","25-Jan-2012","0","0","0","439.85","0","447.75","0","0","0","0","        438.10"
"HCLTECH","04-Nov-2011","24-Nov-2011","441.7","446.6","436.05","439.3","438","439.3","910","2000.91","2594000","14500","        438.75"
"HCLTECH","04-Nov-2011","29-Dec-2011","441.2","441.2","439.05","439.5","439.5","445.15","11","24.2","179000","3000","        438.75"
"HCLTECH","04-Nov-2011","25-Jan-2012","0","0","0","439.85","0","448.3","0","0","0","0","        438.75"
"HCLTECH","08-Nov-2011","24-Nov-2011","435.95","438.55","428.6","431.4","430.8","431.4","1146","2477.91","2670000","76000","        428.45"
"HCLTECH","08-Nov-2011","29-Dec-2011","435","439.6","431.45","433.1","432.4","433.1","40","86.86","179500","500","        428.45"
"HCLTECH","08-Nov-2011","25-Jan-2012","0","0","0","439.85","0","437.35","0","0","0","0","        428.45"
"HCLTECH","09-Nov-2011","24-Nov-2011","433.25","436.35","425","427.35","428.7","427.35","1469","3168.9","2691000","21000","        426.60"
"HCLTECH","09-Nov-2011","29-Dec-2011","437.25","437.25","426.85","428.5","429.95","428.5","32","69.15","183500","4000","        426.60"
"HCLTECH","09-Nov-2011","25-Jan-2012","0","0","0","439.85","0","435.35","0","0","0","0","        426.60"
"HCLTECH","11-Nov-2011","24-Nov-2011","424.85","434.5","420.65","427.15","430","427.15","1448","3108.71","2710000","19000","        426.15"
"HCLTECH","11-Nov-2011","29-Dec-2011","425","436.3","424.65","430.1","430.1","431.55","60","129.5","189000","5500","        426.15"
"HCLTECH","11-Nov-2011","25-Jan-2012","0","0","0","439.85","0","434.6","0","0","0","0","        426.15"
"HCLTECH","14-Nov-2011","24-Nov-2011","434.5","435","424.65","428.95","429","428.95","1211","2600.75","2742500","32500","        429.30"
"HCLTECH","14-Nov-2011","29-Dec-2011","432.65","434.2","428.5","430.9","430.2","430.9","57","123.02","189500","500","        429.30"
"HCLTECH","14-Nov-2011","25-Jan-2012","0","0","0","439.85","0","437.5","0","0","0","0","        429.30"
"HCLTECH","15-Nov-2011","24-Nov-2011","429.7","431","421.55","424.5","425","424.5","890","1899.64","2800500","58000","        425.35"
"HCLTECH","15-Nov-2011","29-Dec-2011","432","432","426.9","427","427","427","74","159.09","205500","16000","        425.35"
"HCLTECH","15-Nov-2011","25-Jan-2012","0","0","0","439.85","0","433.35","0","0","0","0","        425.35"
"HCLTECH","16-Nov-2011","24-Nov-2011","424.25","424.25","404.5","411.55","412","411.55","2989","6157.97","2757000","-43500","        410.90"
"HCLTECH","16-Nov-2011","29-Dec-2011","418.6","419.55","406.95","414.4","414.9","414.4","239","493.78","239000","33500","        410.90"
"HCLTECH","16-Nov-2011","25-Jan-2012","0","0","0","439.85","0","418.5","0","0","0","0","        410.90"
"HCLTECH","17-Nov-2011","24-Nov-2011","408.05","413.4","404.1","408.5","411.95","408.5","2013","4101.76","2682500","-74500","        408.60"
"HCLTECH","17-Nov-2011","29-Dec-2011","408.1","415","406.8","411.35","415","411.35","116","237.37","259000","20000","        408.60"
"HCLTECH","17-Nov-2011","25-Jan-2012","0","0","0","439.85","0","416.05","0","0","0","0","        408.60"
"HCLTECH","18-Nov-2011","24-Nov-2011","406.8","408.5","399","402.35","403","402.35","1768","3575.17","2837500","155000","        404.25"
"HCLTECH","18-Nov-2011","29-Dec-2011","409.25","410.1","401.7","404.6","406","404.6","227","461.14","279500","20500","        404.25"
"HCLTECH","18-Nov-2011","25-Jan-2012","0","0","0","439.85","0","411.5","0","0","0","0","        404.25"
"HCLTECH","21-Nov-2011","24-Nov-2011","397.2","399.2","389.05","393.5","391","393.5","2220","4379.26","2524000","-313500","        394.55"
"HCLTECH","21-Nov-2011","29-Dec-2011","400.2","401.55","392","395.65","392","395.65","984","1953.81","581500","302000","        394.55"
"HCLTECH","21-Nov-2011","25-Jan-2012","395","395","395","395","395","395","1","3.95","1000","1000","        394.55"
"HCLTECH","22-Nov-2011","24-Nov-2011","391.65","399.5","386.5","391.5","394","391.5","4395","8668.07","2084500","-439500","        391.75"
"HCLTECH","22-Nov-2011","29-Dec-2011","393.8","400.6","386.5","392.9","396.25","392.9","3089","6124.6","1351500","770000","        391.75"
"HCLTECH","22-Nov-2011","25-Jan-2012","0","0","0","395","395","398.4","0","0","1000","0","        391.75"
"HCLTECH","23-Nov-2011","24-Nov-2011","390.1","390.1","376.75","384.85","383","384.85","2587","4969.92","1640500","-444000","        384.95"
"HCLTECH","23-Nov-2011","29-Dec-2011","387.9","391","379.25","387.9","389.2","387.9","2782","5380.18","1866500","515000","        384.95"
"HCLTECH","23-Nov-2011","25-Jan-2012","385.85","387","375.7","385.65","385","385.65","9","34.58","8000","7000","        384.95"
"HCLTECH","24-Nov-2011","24-Nov-2011","383.1","395.3","372.55","391.85","393.6","393.45","4181","7923.47","644500","-996000","        393.45"
"HCLTECH","24-Nov-2011","29-Dec-2011","385.65","399.8","376","395.1","398.55","395.1","4847","9318.36","2824500","958000","        393.45"
"HCLTECH","24-Nov-2011","25-Jan-2012","383.5","396.45","380.65","396.45","396.45","396.45","9","34.63","11000","3000","        393.45"
"HCLTECH","25-Nov-2011","29-Dec-2011","390","393.85","383.4","387.3","388","387.3","2200","4252.36","2831000","6500","        386.70"
"HCLTECH","25-Nov-2011","25-Jan-2012","393.4","393.4","385","386.9","388.7","386.9","29","112.32","34000","23000","        386.70"
"HCLTECH","25-Nov-2011","23-Feb-2012","0","0","0","402.95","0","396","0","0","0","0","        386.70"
"HCLTECH","28-Nov-2011","29-Dec-2011","388","399","385.05","393.4","393.5","393.4","1808","3555.75","2885500","54500","        390.25"
"HCLTECH","28-Nov-2011","25-Jan-2012","388.65","396.9","388.65","391.7","391.7","396.3","18","70.64","45000","11000","        390.25"
"HCLTECH","28-Nov-2011","23-Feb-2012","0","0","0","402.95","0","399.35","0","0","0","0","        390.25"
"HCLTECH","29-Nov-2011","29-Dec-2011","394","397","387.1","392.35","392.95","392.35","1578","3093.5","2868500","-17000","        390.65"
"HCLTECH","29-Nov-2011","25-Jan-2012","388.65","390.95","388.65","390.95","390.95","396.6","2","7.8","45000","0","        390.65"
"HCLTECH","29-Nov-2011","23-Feb-2012","0","0","0","402.95","0","399.6","0","0","0","0","        390.65"
"HCLTECH","30-Nov-2011","29-Dec-2011","387.15","395.55","383.55","387.5","393","387.5","6350","12329.91","2924500","56000","        383.80"
"HCLTECH","30-Nov-2011","25-Jan-2012","384.55","391.9","384.55","385.25","385.5","385.25","18","69.88","53000","8000","        383.80"
"HCLTECH","30-Nov-2011","23-Feb-2012","388.55","388.55","388.55","388.55","388.55","392.5","1","3.89","1000","1000","        383.80"
"HCLTECH","01-Dec-2011","29-Dec-2011","399.8","408.05","396.95","404.8","406","404.8","3660","7384.62","2891500","-33000","        400.55"
"HCLTECH","01-Dec-2011","25-Jan-2012","404.7","407","402.85","404.95","406","404.95","9","36.42","50000","-3000","        400.55"
"HCLTECH","01-Dec-2011","23-Feb-2012","0","0","0","388.55","388.55","409.55","0","0","1000","0","        400.55"
"HCLTECH","02-Dec-2011","29-Dec-2011","403.2","423.6","403.05","420.55","421.4","420.55","1753","3619.65","2966500","75000","        416.80"
"HCLTECH","02-Dec-2011","25-Jan-2012","412","419.9","412","419.9","419.9","419.9","5","20.8","55000","5000","        416.80"
