"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"HCLTECH","01-Sep-2010","30-Sep-2010","387","391","380","389.7","390.35","389.7","2274","8788.66","2705000","411000","        386.10"
"HCLTECH","01-Sep-2010","28-Oct-2010","389.5","391.1","381.6","390.05","391.1","390.05","48","185.55","56000","22000","        386.10"
"HCLTECH","01-Sep-2010","25-Nov-2010","0","0","0","421.1","0","392.4","0","0","0","0","        386.10"
"HCLTECH","02-Sep-2010","30-Sep-2010","395","406.9","388.55","405.3","404","405.3","3121","12442","2668000","-37000","        403.90"
"HCLTECH","02-Sep-2010","28-Oct-2010","358.6","407","358.6","405.9","404.2","405.9","98","390.32","81000","25000","        403.90"
"HCLTECH","02-Sep-2010","25-Nov-2010","0","0","0","421.1","0","410.4","0","0","0","0","        403.90"
"HCLTECH","03-Sep-2010","30-Sep-2010","405.25","409.8","401.3","403.2","404.35","403.2","1787","7251.21","2546000","-122000","        402.10"
"HCLTECH","03-Sep-2010","28-Oct-2010","402.75","409.6","402.75","404.6","404.6","404.6","40","162.52","97000","16000","        402.10"
"HCLTECH","03-Sep-2010","25-Nov-2010","0","0","0","421.1","0","408.5","0","0","0","0","        402.10"
"HCLTECH","06-Sep-2010","30-Sep-2010","406.95","409","404.65","407","406.3","407","1016","4135.48","2478000","-68000","        405.85"
"HCLTECH","06-Sep-2010","28-Oct-2010","405.3","408.1","405.3","407.65","407.65","409.9","11","44.8","102000","5000","        405.85"
"HCLTECH","06-Sep-2010","25-Nov-2010","0","0","0","421.1","0","412.05","0","0","0","0","        405.85"
"HCLTECH","07-Sep-2010","30-Sep-2010","407.95","409","400.8","404.65","403.3","404.65","1537","6215.96","2768000","290000","        401.85"
"HCLTECH","07-Sep-2010","28-Oct-2010","408.45","409.05","402","405.95","404.25","405.95","55","222.63","126000","24000","        401.85"
"HCLTECH","07-Sep-2010","25-Nov-2010","0","0","0","421.1","0","407.95","0","0","0","0","        401.85"
"HCLTECH","08-Sep-2010","30-Sep-2010","404","408.5","401","406.9","406.45","406.9","2149","8722","2776000","8000","        405.75"
"HCLTECH","08-Sep-2010","28-Oct-2010","404","409","402.05","407.5","408.15","407.5","32","130.17","131000","5000","        405.75"
"HCLTECH","08-Sep-2010","25-Nov-2010","0","0","0","421.1","0","411.9","0","0","0","0","        405.75"
"HCLTECH","09-Sep-2010","30-Sep-2010","405.1","413.3","405","412","412.4","412","2588","10629.07","2919000","143000","        410.10"
"HCLTECH","09-Sep-2010","28-Oct-2010","407.7","413.2","407.7","412.95","412.95","412.95","39","160.48","150000","19000","        410.10"
"HCLTECH","09-Sep-2010","25-Nov-2010","0","0","0","421.1","0","416.2","0","0","0","0","        410.10"
"HCLTECH","13-Sep-2010","30-Sep-2010","414.8","415.4","409.2","411.85","412","411.85","1258","5191.35","2803000","-116000","        410.55"
"HCLTECH","13-Sep-2010","28-Oct-2010","410.25","414","410.25","412.5","412.5","412.5","18","74.36","157000","7000","        410.55"
"HCLTECH","13-Sep-2010","25-Nov-2010","0","0","0","421.1","0","416.35","0","0","0","0","        410.55"
"HCLTECH","14-Sep-2010","30-Sep-2010","415.25","415.8","410.05","411.65","411.35","411.65","1579","6517.34","2643000","-160000","        409.30"
"HCLTECH","14-Sep-2010","28-Oct-2010","414.75","416.05","411.6","412.85","411.7","412.85","43","177.81","158000","1000","        409.30"
"HCLTECH","14-Sep-2010","25-Nov-2010","0","0","0","421.1","0","415.05","0","0","0","0","        409.30"
"HCLTECH","15-Sep-2010","30-Sep-2010","412.15","427.2","411","424.8","426.35","424.8","4032","16964.43","2909000","266000","        422.80"
"HCLTECH","15-Sep-2010","28-Oct-2010","413.8","427.4","413.7","425.45","426.55","425.45","102","430.11","197000","39000","        422.80"
"HCLTECH","15-Sep-2010","25-Nov-2010","0","0","0","421.1","0","428.7","0","0","0","0","        422.80"
"HCLTECH","16-Sep-2010","30-Sep-2010","426.8","426.85","417.1","418.6","417.3","418.6","1936","8162.34","2653000","-256000","        417.50"
"HCLTECH","16-Sep-2010","28-Oct-2010","425","425.25","418.6","419.35","419.15","419.35","76","321.12","184000","-13000","        417.50"
"HCLTECH","16-Sep-2010","25-Nov-2010","0","0","0","421.1","0","423.3","0","0","0","0","        417.50"
"HCLTECH","17-Sep-2010","30-Sep-2010","419.95","424.5","419.95","421.8","421.5","421.8","1351","5711.83","2634000","-19000","        419.25"
"HCLTECH","17-Sep-2010","28-Oct-2010","420.4","425","420.4","423.25","423.4","423.25","45","190.73","191000","7000","        419.25"
"HCLTECH","17-Sep-2010","25-Nov-2010","0","0","0","421.1","0","425.05","0","0","0","0","        419.25"
"HCLTECH","20-Sep-2010","30-Sep-2010","423.9","425","418.65","423.2","422.05","423.2","1236","5216.05","2394000","-240000","        422.10"
"HCLTECH","20-Sep-2010","28-Oct-2010","424.25","425.15","420.1","424.35","423.45","424.35","93","393.73","172000","-19000","        422.10"
"HCLTECH","20-Sep-2010","25-Nov-2010","0","0","0","421.1","0","427.7","0","0","0","0","        422.10"
"HCLTECH","21-Sep-2010","30-Sep-2010","424.35","432.25","418.5","429.4","429.65","429.4","4085","17475.35","2307000","-87000","        428.30"
"HCLTECH","21-Sep-2010","28-Oct-2010","424.05","433.2","420.1","430.8","431","430.8","183","786.04","186000","14000","        428.30"
"HCLTECH","21-Sep-2010","25-Nov-2010","430","434.75","430","434.75","434.75","433.95","2","8.65","0","0","        428.30"
"HCLTECH","22-Sep-2010","30-Sep-2010","430","433.35","421","423.45","422.05","423.45","2551","10904.85","2233000","-74000","        421.10"
"HCLTECH","22-Sep-2010","28-Oct-2010","428.1","434.25","422.35","425","423.75","425","192","822.62","215000","29000","        421.10"
