"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"HDFC","01-Jan-2014","30-Jan-2014","802.8","804.75","795.65","799.1","800.95","799.1","2058","8227.28","7089500","-59500","        793.50"
"HDFC","01-Jan-2014","26-Feb-2014","809.05","809.05","803.5","805.4","805.4","805.4","7","28.2","91500","500","        793.50"
"HDFC","01-Jan-2014","27-Mar-2014","0","0","0","797.2","0","810.4","0","0","0","0","        793.50"
"HDFC","02-Jan-2014","30-Jan-2014","798.8","814.3","790","795.45","792.9","795.45","5953","23954.71","6683000","-406500","        791.10"
"HDFC","02-Jan-2014","26-Feb-2014","814","819","799.5","801.55","799.5","801.55","93","376.85","100500","9000","        791.10"
"HDFC","02-Jan-2014","27-Mar-2014","0","0","0","797.2","0","807.75","0","0","0","0","        791.10"
"HDFC","03-Jan-2014","30-Jan-2014","788.95","798.85","783","795.4","797.5","795.4","3844","15270.04","6599000","-84000","        791.00"
"HDFC","03-Jan-2014","26-Feb-2014","802.25","803.9","800.95","803.05","803.05","803.05","17","68.14","99500","-1000","        791.00"
"HDFC","03-Jan-2014","27-Mar-2014","0","0","0","797.2","0","807.45","0","0","0","0","        791.00"
"HDFC","06-Jan-2014","30-Jan-2014","793.5","801.9","788.65","799.55","798.75","799.55","3740","14856.74","6388000","-211000","        795.85"
"HDFC","06-Jan-2014","26-Feb-2014","801.25","805.1","796.15","805","804.85","805","31","123.84","106500","7000","        795.85"
"HDFC","06-Jan-2014","27-Mar-2014","0","0","0","797.2","0","811.85","0","0","0","0","        795.85"
"HDFC","07-Jan-2014","30-Jan-2014","800.45","803.85","791.65","801.05","801.85","801.05","4573","18236.8","6049000","-339000","        797.90"
"HDFC","07-Jan-2014","26-Feb-2014","808.65","808.65","798.75","807","807","807","38","152.65","115000","8500","        797.90"
"HDFC","07-Jan-2014","27-Mar-2014","0","0","0","797.2","0","813.7","0","0","0","0","        797.90"
"HDFC","08-Jan-2014","30-Jan-2014","796.1","807.8","796.1","806.8","806.1","806.8","3974","15984.28","5776000","-273000","        804.30"
"HDFC","08-Jan-2014","26-Feb-2014","808.6","813","808.3","811.25","811.9","811.25","78","316.05","118500","3500","        804.30"
"HDFC","08-Jan-2014","27-Mar-2014","0","0","0","797.2","0","820.15","0","0","0","0","        804.30"
"HDFC","09-Jan-2014","30-Jan-2014","805.6","808.9","802.15","804.45","806","804.45","3524","14191.9","5829500","53500","        802.15"
"HDFC","09-Jan-2014","26-Feb-2014","809.7","815","809.7","810.75","812.1","810.75","84","341.23","141000","22500","        802.15"
"HDFC","09-Jan-2014","27-Mar-2014","0","0","0","797.2","0","817.8","0","0","0","0","        802.15"
"HDFC","10-Jan-2014","30-Jan-2014","801.15","811","800.05","802.9","803","802.9","4128","16615.83","6051000","221500","        801.45"
"HDFC","10-Jan-2014","26-Feb-2014","809.4","816.05","808.55","808.9","808.55","808.9","90","365.68","161500","20500","        801.45"
"HDFC","10-Jan-2014","27-Mar-2014","0","0","0","797.2","0","817","0","0","0","0","        801.45"
"HDFC","13-Jan-2014","30-Jan-2014","803.4","826.1","801.4","821.7","824.25","821.7","4125","16818.32","5992500","-58500","        818.65"
"HDFC","13-Jan-2014","26-Feb-2014","808.6","830.95","808.6","827.9","829","827.9","51","209.63","172000","10500","        818.65"
"HDFC","13-Jan-2014","27-Mar-2014","0","0","0","797.2","0","834","0","0","0","0","        818.65"
"HDFC","14-Jan-2014","30-Jan-2014","816","827.4","816","825.05","823","825.05","3484","14375.5","6074500","82000","        824.35"
"HDFC","14-Jan-2014","26-Feb-2014","828.8","832.6","825.5","830.65","829.55","830.65","40","166.03","178500","6500","        824.35"
"HDFC","14-Jan-2014","27-Mar-2014","0","0","0","797.2","0","839.6","0","0","0","0","        824.35"
"HDFC","15-Jan-2014","30-Jan-2014","828.9","849.3","821.95","846.65","843.5","846.65","7299","30632.07","6701500","627000","        846.50"
"HDFC","15-Jan-2014","26-Feb-2014","831.9","854","831.9","851.9","850.85","851.9","133","563.17","194500","16000","        846.50"
"HDFC","15-Jan-2014","27-Mar-2014","0","0","0","797.2","0","861.9","0","0","0","0","        846.50"
"HDFC","16-Jan-2014","30-Jan-2014","846.9","866.4","846.15","859.35","854.5","859.35","7492","32085.73","7145000","443500","-"
"HDFC","16-Jan-2014","26-Feb-2014","856.05","871","856.05","866","861.2","866","116","499.8","205500","11000","-"
"HDFC","16-Jan-2014","27-Mar-2014","0","0","0","797.2","0","873.05","0","0","0","0","-"
"HDFC","17-Jan-2014","30-Jan-2014","853.3","862.55","837.05","840.5","842.8","840.5","7501","31683.01","6753000","-392000","        840.05"
"HDFC","17-Jan-2014","26-Feb-2014","865.2","865.2","843.25","846.2","847.4","846.2","131","556","210500","5000","        840.05"
"HDFC","17-Jan-2014","27-Mar-2014","0","0","0","797.2","0","854.9","0","0","0","0","        840.05"
"HDFC","20-Jan-2014","30-Jan-2014","844.9","848","832.6","838.05","837.8","838.05","5078","21320.28","6700500","-52500","        834.80"
"HDFC","20-Jan-2014","26-Feb-2014","841","854.65","839.9","843.55","843.9","843.55","235","995.15","246000","35500","        834.80"
"HDFC","20-Jan-2014","27-Mar-2014","846","846","846","846","846","848.95","1","4.23","500","500","        834.80"
"HDFC","21-Jan-2014","30-Jan-2014","838.85","845","834.55","840.45","840.3","840.45","3165","13294.8","6571500","-129000","        838.15"
"HDFC","21-Jan-2014","26-Feb-2014","843.5","851","841.8","846.45","846.15","846.45","216","914.15","304000","58000","        838.15"
