"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"HDFC","01-Jul-2019","25-Jul-2019","2194.3","2241.75","2187","2237.25","2241.45","2237.25","8853","98260.05","26608500","183500","       2245.90"
"HDFC","01-Jul-2019","29-Aug-2019","2204.15","2256.1","2201.1","2253.35","2255.85","2253.35","166","1856.01","169000","36500","       2245.90"
"HDFC","01-Jul-2019","26-Sep-2019","0","0","0","2232.8","0","2282.4","0","0","0","0","       2245.90"
"HDFC","02-Jul-2019","25-Jul-2019","2249.35","2273.5","2230.4","2270.55","2272","2270.55","10284","115811.08","26721000","112500","       2281.25"
"HDFC","02-Jul-2019","29-Aug-2019","2255.8","2286.35","2245.2","2284","2286.35","2284","176","1992.55","212500","43500","       2281.25"
"HDFC","02-Jul-2019","26-Sep-2019","0","0","0","2232.8","0","2317.85","0","0","0","0","       2281.25"
"HDFC","03-Jul-2019","25-Jul-2019","2265.2","2276.75","2253.6","2267.5","2267","2267.5","7099","80465.31","26583500","-137500","       2277.20"
"HDFC","03-Jul-2019","29-Aug-2019","2280.35","2290","2269","2282.2","2282.6","2282.2","97","1105.87","235000","22500","       2277.20"
"HDFC","03-Jul-2019","26-Sep-2019","2295.9","2295.9","2292.05","2292.05","2292.05","2292.05","2","22.94","1000","1000","       2277.20"
"HDFC","04-Jul-2019","25-Jul-2019","2268.55","2275.85","2260","2272.65","2272.8","2272.65","4939","56014.24","26539500","-44000","       2280.25"
"HDFC","04-Jul-2019","29-Aug-2019","2277.55","2289","2274.55","2287.3","2288.9","2287.3","101","1152.52","256000","21000","       2280.25"
"HDFC","04-Jul-2019","26-Sep-2019","2292.85","2297.55","2286","2288.95","2288.95","2315.85","30","343.62","14000","13000","       2280.25"
"HDFC","05-Jul-2019","25-Jul-2019","2275.75","2293","2262","2271.85","2264.5","2271.85","9775","111387.85","26846500","307000","       2278.90"
"HDFC","05-Jul-2019","29-Aug-2019","2285.8","2306.6","2278","2285.9","2278","2285.9","185","2121.09","291000","35000","       2278.90"
"HDFC","05-Jul-2019","26-Sep-2019","2311.75","2312","2296.4","2296.75","2296.75","2296.75","10","115.25","19000","5000","       2278.90"
"HDFC","08-Jul-2019","25-Jul-2019","2264.6","2264.6","2230","2245.55","2247.5","2245.55","9100","102170.99","26806000","-40500","       2259.95"
"HDFC","08-Jul-2019","29-Aug-2019","2267.1","2269.95","2245","2259.25","2262.85","2259.25","237","2676.91","350000","59000","       2259.95"
"HDFC","08-Jul-2019","26-Sep-2019","2274.5","2275.85","2263","2263","2263","2263","7","79.48","22500","3500","       2259.95"
"HDFC","09-Jul-2019","25-Jul-2019","2240.5","2240.5","2191.2","2219.45","2223","2219.45","10051","111151.3","26533000","-273000","       2232.80"
"HDFC","09-Jul-2019","29-Aug-2019","2243","2243","2205.15","2233.8","2236.55","2233.8","633","7033.81","514000","164000","       2232.80"
"HDFC","09-Jul-2019","26-Sep-2019","2230.35","2242.35","2228","2236.2","2236.2","2265.7","5","55.89","23500","1000","       2232.80"
"HDFC","10-Jul-2019","25-Jul-2019","2223.35","2239","2209.05","2216.4","2216.95","2216.4","5284","58695.97","26508500","-24500","       2227.75"
"HDFC","10-Jul-2019","29-Aug-2019","2239.1","2252.95","2223.5","2230.35","2231.15","2230.35","314","3505.77","587500","73500","       2227.75"
"HDFC","10-Jul-2019","26-Sep-2019","2247.8","2254.5","2240.9","2240.9","2240.9","2260.25","10","112.34","25500","2000","       2227.75"
"HDFC","11-Jul-2019","25-Jul-2019","2220","2252.7","2220","2245.35","2244.3","2245.35","5382","60278.43","26535500","27000","       2261.90"
"HDFC","11-Jul-2019","29-Aug-2019","2241.75","2266","2238.2","2258.55","2260","2258.55","329","3699.97","680500","93000","       2261.90"
"HDFC","11-Jul-2019","26-Sep-2019","2251.05","2270.85","2251.05","2270.85","2270.85","2294.5","6","67.83","26500","1000","       2261.90"
"HDFC","12-Jul-2019","25-Jul-2019","2251.5","2264.9","2236.55","2241.05","2238.65","2241.05","7911","89165.8","26344500","-191000","       2257.80"
"HDFC","12-Jul-2019","29-Aug-2019","2274","2279.05","2251.65","2254.95","2253.55","2254.95","375","4255.14","768500","88000","       2257.80"
"HDFC","12-Jul-2019","26-Sep-2019","2281.35","2287.9","2281.35","2252.6","2287.9","2252.6","6","68.38","29000","2500","       2257.80"
"HDFC","15-Jul-2019","25-Jul-2019","2241","2254.95","2225.1","2248.4","2254","2248.4","5704","63911.72","26073500","-271000","       2265.35"
"HDFC","15-Jul-2019","29-Aug-2019","2247.25","2267.85","2240.15","2261.75","2266.05","2261.75","419","4722.39","874000","105500","       2265.35"
