"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"HDFC","03-Nov-2014","27-Nov-2014","1111.45","1128","1102.55","1124.45","1123","1124.45","7748","21611.11","8175750","-46000","       1120.50"
"HDFC","03-Nov-2014","24-Dec-2014","1124.95","1133.95","1110.15","1131.1","1128.1","1131.1","102","286.03","87000","16750","       1120.50"
"HDFC","03-Nov-2014","29-Jan-2015","0","0","0","1088.2","0","1144.15","0","0","0","0","       1120.50"
"HDFC","05-Nov-2014","27-Nov-2014","1126.7","1128.85","1100.1","1106.5","1101.8","1106.5","8429","23516.08","8382000","206250","       1100.55"
"HDFC","05-Nov-2014","24-Dec-2014","1123","1133.8","1108.55","1116.85","1108.55","1116.85","114","320.36","105500","18500","       1100.55"
"HDFC","05-Nov-2014","29-Jan-2015","1132","1132","1132","1132","1132","1123.35","1","2.83","250","250","       1100.55"
"HDFC","07-Nov-2014","27-Nov-2014","1105.65","1111.7","1092.6","1107.8","1111.7","1107.8","5504","15177.82","8294250","-87750","       1099.75"
"HDFC","07-Nov-2014","24-Dec-2014","1105.9","1117.25","1102","1114.95","1117.25","1114.95","131","363.24","121000","15500","       1099.75"
"HDFC","07-Nov-2014","29-Jan-2015","1116.35","1116.35","1116.35","1116.35","1116.35","1121.9","1","2.79","500","250","       1099.75"
"HDFC","10-Nov-2014","27-Nov-2014","1107.8","1119.9","1100.25","1117.35","1117","1117.35","6853","19049.93","8221500","-72750","       1113.70"
"HDFC","10-Nov-2014","24-Dec-2014","1123","1125.9","1107.5","1123.8","1125","1123.8","68","190.11","130750","9750","       1113.70"
"HDFC","10-Nov-2014","29-Jan-2015","0","0","0","1116.35","1116.35","1135.25","0","0","500","0","       1113.70"
"HDFC","11-Nov-2014","27-Nov-2014","1118.7","1134.8","1115.7","1130.15","1130.35","1130.15","7298","20533.01","8006500","-215000","       1127.55"
"HDFC","11-Nov-2014","24-Dec-2014","1132","1139.75","1125.05","1136.75","1137.8","1136.75","76","214.86","142750","12000","       1127.55"
"HDFC","11-Nov-2014","29-Jan-2015","0","0","0","1116.35","1116.35","1149.1","0","0","500","0","       1127.55"
"HDFC","12-Nov-2014","27-Nov-2014","1136.5","1151.75","1132.05","1144.7","1140.25","1144.7","8343","23833.03","7774500","-232000","       1142.70"
"HDFC","12-Nov-2014","24-Dec-2014","1145","1159","1141.65","1151.1","1150.5","1151.1","165","473.93","176250","33500","       1142.70"
"HDFC","12-Nov-2014","29-Jan-2015","0","0","0","1116.35","1116.35","1164.25","0","0","500","0","       1142.70"
"HDFC","13-Nov-2014","27-Nov-2014","1145.8","1145.95","1122.85","1130.15","1127.5","1130.15","6571","18592.94","7502750","-271750","       1129.05"
"HDFC","13-Nov-2014","24-Dec-2014","1146.8","1148.05","1130.65","1136.3","1135.6","1136.3","129","366.93","186250","10000","       1129.05"
"HDFC","13-Nov-2014","29-Jan-2015","0","0","0","1116.35","1116.35","1149.9","0","0","500","0","       1129.05"
"HDFC","14-Nov-2014","27-Nov-2014","1135.05","1135.1","1108.4","1128.65","1129","1128.65","6807","19090.06","7387750","-115000","       1126.85"
"HDFC","14-Nov-2014","24-Dec-2014","1132","1139.15","1116.5","1134.7","1133.7","1134.7","179","503.74","206500","20250","       1126.85"
"HDFC","14-Nov-2014","29-Jan-2015","0","0","0","1116.35","1116.35","1147.4","0","0","500","0","       1126.85"
"HDFC","17-Nov-2014","27-Nov-2014","1130.3","1138","1102.5","1131.8","1131","1131.8","7800","21816.75","7238250","-149500","       1129.90"
"HDFC","17-Nov-2014","24-Dec-2014","1122","1143.6","1109.4","1137.75","1136.7","1137.75","387","1087.18","259000","52500","       1129.90"
"HDFC","17-Nov-2014","29-Jan-2015","1130.6","1130.6","1130.6","1130.6","1130.6","1149.6","1","2.83","750","250","       1129.90"
"HDFC","18-Nov-2014","27-Nov-2014","1132.3","1132.85","1106.1","1110.6","1110.65","1110.6","8290","23097.91","7365250","127000","       1105.65"
"HDFC","18-Nov-2014","24-Dec-2014","1132","1132","1112.75","1116.6","1117","1116.6","951","2662.56","366000","107000","       1105.65"
"HDFC","18-Nov-2014","29-Jan-2015","0","0","0","1130.6","1130.6","1124.65","0","0","750","0","       1105.65"
"HDFC","19-Nov-2014","27-Nov-2014","1111.45","1124.95","1103.7","1119.5","1118","1119.5","8093","22522.58","7169500","-195750","       1117.20"
"HDFC","19-Nov-2014","24-Dec-2014","1122","1130","1110.3","1124.85","1124.55","1124.85","608","1701.54","416000","50000","       1117.20"
"HDFC","19-Nov-2014","29-Jan-2015","1125.8","1125.8","1125.8","1125.8","1125.8","1136.1","1","2.81","750","0","       1117.20"
