"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"HDFC","01-Sep-2017","28-Sep-2017","1777.7","1782.5","1763.05","1770.6","1770.05","1770.6","4375","38723.12","9195500","134500","       1759.55"
"HDFC","01-Sep-2017","26-Oct-2017","1774.05","1781.05","1767.6","1775.75","1777.7","1775.75","57","505.82","38000","23000","       1759.55"
"HDFC","01-Sep-2017","30-Nov-2017","0","0","0","1804.95","0","1787","0","0","0","0","       1759.55"
"HDFC","04-Sep-2017","28-Sep-2017","1775.65","1775.65","1750.1","1757.95","1755.05","1757.95","3990","35067.91","9281000","85500","       1755.40"
"HDFC","04-Sep-2017","26-Oct-2017","1767.75","1770","1757.3","1765.65","1766.25","1765.65","61","537.82","53000","15000","       1755.40"
"HDFC","04-Sep-2017","30-Nov-2017","0","0","0","1804.95","0","1781.9","0","0","0","0","       1755.40"
"HDFC","05-Sep-2017","28-Sep-2017","1761.05","1774.25","1753.3","1769.8","1771.95","1769.8","3806","33595.09","9669500","388500","       1767.30"
"HDFC","05-Sep-2017","26-Oct-2017","1768.95","1781","1765.45","1778.5","1779.8","1778.5","36","319.1","62500","9500","       1767.30"
"HDFC","05-Sep-2017","30-Nov-2017","0","0","0","1804.95","0","1793.65","0","0","0","0","       1767.30"
"HDFC","06-Sep-2017","28-Sep-2017","1761.65","1779","1756.6","1777.4","1776.4","1777.4","4655","41166.24","9886000","216500","       1775.00"
"HDFC","06-Sep-2017","26-Oct-2017","1764","1784.05","1764","1784.05","1784.05","1790.4","63","558.2","80000","17500","       1775.00"
"HDFC","06-Sep-2017","30-Nov-2017","0","0","0","1804.95","0","1801.2","0","0","0","0","       1775.00"
"HDFC","07-Sep-2017","28-Sep-2017","1773.4","1792.65","1765.15","1784.95","1782.5","1784.95","5861","52131.48","10163500","277500","       1781.70"
"HDFC","07-Sep-2017","26-Oct-2017","1782","1796.2","1775.9","1793.7","1792.5","1793.7","39","348.07","81500","1500","       1781.70"
"HDFC","07-Sep-2017","30-Nov-2017","0","0","0","1804.95","0","1807.7","0","0","0","0","       1781.70"
