"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"HDFCBANK","02-Jul-2012","26-Jul-2012","567.05","576.9","563.55","575.3","576.6","575.3","4603","13135.07","14462000","394500","        573.95"
"HDFCBANK","02-Jul-2012","30-Aug-2012","550.05","580","550.05","578.9","580","578.9","79","227.12","103000","24000","        573.95"
"HDFCBANK","02-Jul-2012","27-Sep-2012","0","0","0","561.6","0","587","0","0","0","0","        573.95"
"HDFCBANK","03-Jul-2012","26-Jul-2012","577.6","582.25","573","578.15","578.05","578.15","6334","18314.46","14912500","450500","        575.85"
"HDFCBANK","03-Jul-2012","30-Aug-2012","582","584.5","577","581.75","581.75","581.75","55","159.88","117500","14500","        575.85"
"HDFCBANK","03-Jul-2012","27-Sep-2012","0","0","0","561.6","0","588.8","0","0","0","0","        575.85"
"HDFCBANK","04-Jul-2012","26-Jul-2012","578.7","582","576","580.95","581","580.95","4819","13959.56","15403000","490500","        578.00"
"HDFCBANK","04-Jul-2012","30-Aug-2012","583.25","585","581","584.5","585","584.5","67","195.46","142500","25000","        578.00"
"HDFCBANK","04-Jul-2012","27-Sep-2012","0","0","0","561.6","0","590.85","0","0","0","0","        578.00"
"HDFCBANK","05-Jul-2012","26-Jul-2012","583.8","586","576.65","585","584.5","585","4291","12474.94","15758500","355500","        584.10"
"HDFCBANK","05-Jul-2012","30-Aug-2012","582","589.9","580.7","589.1","588.05","589.1","123","360.68","178500","36000","        584.10"
"HDFCBANK","05-Jul-2012","27-Sep-2012","0","0","0","561.6","0","596.95","0","0","0","0","        584.10"
"HDFCBANK","06-Jul-2012","26-Jul-2012","584.25","589.15","581.05","583.9","584.75","583.9","7205","21073.48","16471000","712500","        581.50"
"HDFCBANK","06-Jul-2012","30-Aug-2012","587.05","592.4","585.15","587.25","587.95","587.25","254","746.29","248000","69500","        581.50"
"HDFCBANK","06-Jul-2012","27-Sep-2012","0","0","0","561.6","0","594.1","0","0","0","0","        581.50"
"HDFCBANK","09-Jul-2012","26-Jul-2012","588.85","588.85","571.5","580.25","581","580.25","4457","12857.53","16314500","-156500","        578.15"
"HDFCBANK","09-Jul-2012","30-Aug-2012","582.9","585.9","575.9","584.6","585.9","584.6","136","394.17","286500","38500","        578.15"
"HDFCBANK","09-Jul-2012","27-Sep-2012","0","0","0","561.6","0","590.15","0","0","0","0","        578.15"
"HDFCBANK","10-Jul-2012","26-Jul-2012","581.25","592.95","578","591.25","591.45","591.25","6305","18455.63","16665000","350500","        588.65"
"HDFCBANK","10-Jul-2012","30-Aug-2012","583.45","596.2","581.6","595.05","595.1","595.05","265","783.49","345000","58500","        588.65"
"HDFCBANK","10-Jul-2012","27-Sep-2012","0","0","0","561.6","0","600.7","0","0","0","0","        588.65"
"HDFCBANK","11-Jul-2012","26-Jul-2012","589.5","594.55","587.5","589.9","591","589.9","5004","14779.19","16673500","8500","        587.00"
"HDFCBANK","11-Jul-2012","30-Aug-2012","593.95","598.1","591.55","593.55","595.4","593.55","358","1063.93","408500","63500","        587.00"
"HDFCBANK","11-Jul-2012","27-Sep-2012","0","0","0","561.6","0","598.9","0","0","0","0","        587.00"
"HDFCBANK","12-Jul-2012","26-Jul-2012","587","592.65","578.15","582.8","583.35","582.8","6590","19203.67","16291500","-382000","        580.10"
"HDFCBANK","12-Jul-2012","30-Aug-2012","592.25","592.25","582","586.7","587.5","586.7","326","956.24","416500","8000","        580.10"
"HDFCBANK","12-Jul-2012","27-Sep-2012","0","0","0","561.6","0","591.7","0","0","0","0","        580.10"
"HDFCBANK","13-Jul-2012","26-Jul-2012","585.6","592.95","584.65","588.85","588.1","588.85","8042","23673.17","16427000","135500","        587.05"
"HDFCBANK","13-Jul-2012","30-Aug-2012","589.25","596.45","588.3","591.9","591.6","591.9","640","1897.26","547500","131000","        587.05"
"HDFCBANK","13-Jul-2012","27-Sep-2012","0","0","0","561.6","0","598.6","0","0","0","0","        587.05"
"HDFCBANK","16-Jul-2012","26-Jul-2012","589.75","594.45","583.1","584.7","584.6","584.7","7036","20713.86","16069500","-357500","        582.65"
"HDFCBANK","16-Jul-2012","30-Aug-2012","594.5","597.1","586.4","588.9","588","588.9","1113","3293.13","885500","338000","        582.65"
"HDFCBANK","16-Jul-2012","27-Sep-2012","600","600","600","600","600","593.65","1","3","500","500","        582.65"
"HDFCBANK","17-Jul-2012","26-Jul-2012","589.2","589.9","580.3","584.4","585.5","584.4","5851","17098.61","15417000","-652500","        583.25"
"HDFCBANK","17-Jul-2012","30-Aug-2012","592.5","592.55","583.65","587.35","588.55","587.35","1058","3108.24","1245000","359500","        583.25"
"HDFCBANK","17-Jul-2012","27-Sep-2012","0","0","0","600","600","594.15","0","0","500","0","        583.25"
"HDFCBANK","18-Jul-2012","26-Jul-2012","584.3","590","581.5","588.15","588.5","588.15","7271","21310.62","13966500","-1450500","        587.00"
"HDFCBANK","18-Jul-2012","30-Aug-2012","587.35","593","584.6","591.25","591.35","591.25","2831","8345.46","2346000","1101000","        587.00"
"HDFCBANK","18-Jul-2012","27-Sep-2012","0","0","0","600","600","597.8","0","0","500","0","        587.00"
"HDFCBANK","19-Jul-2012","26-Jul-2012","591.75","592.1","587.2","590.9","590.1","590.9","6590","19454.97","12486000","-1480500","        589.40"
"HDFCBANK","19-Jul-2012","30-Aug-2012","592.15","595.55","590.5","594.4","594","594.4","3753","11145.96","3960000","1614000","        589.40"
"HDFCBANK","19-Jul-2012","27-Sep-2012","597.8","597.8","595","597","597","600.05","3","8.95","2000","1500","        589.40"
"HDFCBANK","20-Jul-2012","26-Jul-2012","590","590","582.1","583.85","584.3","583.85","5595","16344.15","11133500","-1352500","        582.60"
"HDFCBANK","20-Jul-2012","30-Aug-2012","593.5","593.5","585.7","587.35","587.65","587.35","2927","8598.76","5104000","1144000","        582.60"
"HDFCBANK","20-Jul-2012","27-Sep-2012","591","592.15","591","591.6","592.15","591.6","2","5.92","3000","1000","        582.60"
"HDFCBANK","23-Jul-2012","26-Jul-2012","577.9","582.1","573.05","574.75","574.95","574.75","9858","28453.1","8815500","-2318000","        573.00"
"HDFCBANK","23-Jul-2012","30-Aug-2012","580.55","584.4","576","577.65","577.6","577.65","5765","16735.34","7213500","2109500","        573.00"
"HDFCBANK","23-Jul-2012","27-Sep-2012","584","585.25","581.4","581.4","581.4","581.4","19","55.48","8500","5500","        573.00"
"HDFCBANK","24-Jul-2012","26-Jul-2012","575","578.85","571.5","576.05","577.5","576.05","9083","26143.27","6410000","-2405500","        574.05"
"HDFCBANK","24-Jul-2012","30-Aug-2012","577.55","581","574.4","579.3","580.5","579.3","6665","19289.53","9442000","2228500","        574.05"
"HDFCBANK","24-Jul-2012","27-Sep-2012","583.5","583.5","582","583.5","583.5","583.6","3","8.75","9000","500","        574.05"
