"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"HDFCBANK","01-Sep-2003","25-Sep-2003","280","282.45","278.25","280.65","281","280.65","106","237.87","131200","41600","        278.45"
"HDFCBANK","01-Sep-2003","30-Oct-2003","0","0","0","283.3","0","280.7","0","0","0","0","        278.45"
"HDFCBANK","01-Sep-2003","27-Nov-2003","0","0","0","284.4","0","281.75","0","0","0","0","        278.45"
"HDFCBANK","02-Sep-2003","25-Sep-2003","283","284.75","281.25","282.65","281.25","282.65","106","240.13","152000","20800","        281.95"
"HDFCBANK","02-Sep-2003","30-Oct-2003","0","0","0","283.3","0","284.2","0","0","0","0","        281.95"
"HDFCBANK","02-Sep-2003","27-Nov-2003","0","0","0","284.4","0","285.3","0","0","0","0","        281.95"
"HDFCBANK","03-Sep-2003","25-Sep-2003","284.95","294","282.05","282.95","282.6","282.95","284","656.1","239200","87200","        280.35"
"HDFCBANK","03-Sep-2003","30-Oct-2003","0","0","0","283.3","0","282.55","0","0","0","0","        280.35"
"HDFCBANK","03-Sep-2003","27-Nov-2003","0","0","0","284.4","0","283.6","0","0","0","0","        280.35"
"HDFCBANK","04-Sep-2003","25-Sep-2003","276","285.9","276","283.1","283.75","283.1","77","173.85","232000","-7200","        280.35"
"HDFCBANK","04-Sep-2003","30-Oct-2003","0","0","0","283.3","0","282.5","0","0","0","0","        280.35"
"HDFCBANK","04-Sep-2003","27-Nov-2003","0","0","0","284.4","0","283.6","0","0","0","0","        280.35"
"HDFCBANK","05-Sep-2003","25-Sep-2003","284","285","281.05","282.75","282.1","282.75","82","185.21","249600","17600","        279.70"
"HDFCBANK","05-Sep-2003","30-Oct-2003","0","0","0","283.3","0","281.8","0","0","0","0","        279.70"
"HDFCBANK","05-Sep-2003","27-Nov-2003","0","0","0","284.4","0","282.9","0","0","0","0","        279.70"
"HDFCBANK","08-Sep-2003","25-Sep-2003","284.5","284.85","278.2","281.2","281.75","281.2","111","250.71","284000","34400","        278.35"
"HDFCBANK","08-Sep-2003","30-Oct-2003","0","0","0","283.3","0","280.3","0","0","0","0","        278.35"
"HDFCBANK","08-Sep-2003","27-Nov-2003","0","0","0","284.4","0","281.4","0","0","0","0","        278.35"
"HDFCBANK","09-Sep-2003","25-Sep-2003","280.95","283.5","280.1","280.6","280.75","280.6","63","142.1","267200","-16800","        280.10"
"HDFCBANK","09-Sep-2003","30-Oct-2003","0","0","0","283.3","0","282.05","0","0","0","0","        280.10"
"HDFCBANK","09-Sep-2003","27-Nov-2003","0","0","0","284.4","0","283.15","0","0","0","0","        280.10"
"HDFCBANK","10-Sep-2003","25-Sep-2003","283","283","274","280.05","280","280.05","52","116.73","268000","800","        277.10"
"HDFCBANK","10-Sep-2003","30-Oct-2003","0","0","0","283.3","0","279","0","0","0","0","        277.10"
"HDFCBANK","10-Sep-2003","27-Nov-2003","0","0","0","284.4","0","280.1","0","0","0","0","        277.10"
"HDFCBANK","11-Sep-2003","25-Sep-2003","281.25","284.2","280.05","280.7","280.05","280.7","122","275.19","253600","-14400","        278.50"
"HDFCBANK","11-Sep-2003","30-Oct-2003","0","0","0","283.3","0","280.4","0","0","0","0","        278.50"
"HDFCBANK","11-Sep-2003","27-Nov-2003","0","0","0","284.4","0","281.45","0","0","0","0","        278.50"
"HDFCBANK","12-Sep-2003","25-Sep-2003","281.9","281.9","277.1","279.95","278.1","279.95","86","192.17","212000","-41600","        279.35"
"HDFCBANK","12-Sep-2003","30-Oct-2003","0","0","0","283.3","0","281.2","0","0","0","0","        279.35"
"HDFCBANK","12-Sep-2003","27-Nov-2003","0","0","0","284.4","0","282.25","0","0","0","0","        279.35"
"HDFCBANK","15-Sep-2003","25-Sep-2003","273.1","280","273.1","275.65","276","275.65","44","97.68","188000","-24000","        275.65"
"HDFCBANK","15-Sep-2003","30-Oct-2003","0","0","0","283.3","0","277.35","0","0","0","0","        275.65"
"HDFCBANK","15-Sep-2003","27-Nov-2003","0","0","0","284.4","0","278.4","0","0","0","0","        275.65"
"HDFCBANK","16-Sep-2003","25-Sep-2003","276","280.75","272.4","279.1","278.9","279.1","70","155.4","187200","-800","        277.45"
"HDFCBANK","16-Sep-2003","30-Oct-2003","0","0","0","283.3","0","279.15","0","0","0","0","        277.45"
"HDFCBANK","16-Sep-2003","27-Nov-2003","0","0","0","284.4","0","280.2","0","0","0","0","        277.45"
"HDFCBANK","17-Sep-2003","25-Sep-2003","280.3","281","271","274.75","271","274.75","36","80.06","188800","1600","        273.45"
"HDFCBANK","17-Sep-2003","30-Oct-2003","0","0","0","283.3","0","275.1","0","0","0","0","        273.45"
"HDFCBANK","17-Sep-2003","27-Nov-2003","0","0","0","284.4","0","276.15","0","0","0","0","        273.45"
"HDFCBANK","18-Sep-2003","25-Sep-2003","270.1","273","262","263.5","263.2","263.5","98","209.26","156000","-32800","        265.05"
"HDFCBANK","18-Sep-2003","30-Oct-2003","0","0","0","283.3","0","266.6","0","0","0","0","        265.05"
"HDFCBANK","18-Sep-2003","27-Nov-2003","0","0","0","284.4","0","267.6","0","0","0","0","        265.05"
"HDFCBANK","19-Sep-2003","25-Sep-2003","266","272.4","261.1","270.75","269.5","270.75","41","87.33","144000","-12000","        271.75"
"HDFCBANK","19-Sep-2003","30-Oct-2003","269","272","269","272","272","273.3","2","4.33","1600","1600","        271.75"
"HDFCBANK","19-Sep-2003","27-Nov-2003","0","0","0","284.4","0","274.35","0","0","0","0","        271.75"
"HDFCBANK","22-Sep-2003","25-Sep-2003","267","267.65","261.6","262.4","261.6","262.4","21","44.28","148800","4800","        264.65"
"HDFCBANK","22-Sep-2003","30-Oct-2003","267","267","264","264.95","264","264.95","8","16.98","7200","5600","        264.65"
"HDFCBANK","22-Sep-2003","27-Nov-2003","0","0","0","284.4","0","267.05","0","0","0","0","        264.65"
"HDFCBANK","23-Sep-2003","25-Sep-2003","265","268.95","263.15","267.65","268.95","267.65","25","53.14","139200","-9600","        266.85"
"HDFCBANK","23-Sep-2003","30-Oct-2003","267","268","266","268","268","268","5","10.69","11200","4000","        266.85"
"HDFCBANK","23-Sep-2003","27-Nov-2003","0","0","0","284.4","0","269.3","0","0","0","0","        266.85"
"HDFCBANK","24-Sep-2003","25-Sep-2003","267","273.8","265.2","273.35","272.5","273.35","47","101.57","116800","-22400","        274.15"
"HDFCBANK","24-Sep-2003","30-Oct-2003","267.25","276.5","267.25","276.05","275.25","276.05","36","78.68","32000","20800","        274.15"
"HDFCBANK","24-Sep-2003","27-Nov-2003","0","0","0","284.4","0","276.6","0","0","0","0","        274.15"
"HDFCBANK","25-Sep-2003","25-Sep-2003","270.5","274","261.2","267.2","267.1","267.85","63","136.67","94400","-22400","        267.85"
"HDFCBANK","25-Sep-2003","30-Oct-2003","272.05","277.85","270","271","270","271","77","168.86","86400","54400","        267.85"
"HDFCBANK","25-Sep-2003","27-Nov-2003","0","0","0","284.4","0","270.2","0","0","0","0","        267.85"
"HDFCBANK","26-Sep-2003","30-Oct-2003","271.5","275","267.95","274.15","275","274.15","126","273.95","128800","42400","        271.45"
"HDFCBANK","26-Sep-2003","27-Nov-2003","0","0","0","284.4","0","273.8","0","0","0","0","        271.45"
"HDFCBANK","26-Sep-2003","24-Dec-2003","0","0","0","271.2","0","274.8","0","0","0","0","        271.45"
"HDFCBANK","29-Sep-2003","30-Oct-2003","278","282","271.25","273.45","272.6","273.45","347","765.46","298400","169600","        269.75"
"HDFCBANK","29-Sep-2003","27-Nov-2003","0","0","0","284.4","0","271.95","0","0","0","0","        269.75"
"HDFCBANK","29-Sep-2003","24-Dec-2003","0","0","0","271.2","0","272.95","0","0","0","0","        269.75"
"HDFCBANK","30-Sep-2003","30-Oct-2003","275","277.9","274.5","276.95","277.3","276.95","299","660.53","347200","48800","        275.00"
"HDFCBANK","30-Sep-2003","27-Nov-2003","0","0","0","284.4","0","277.2","0","0","0","0","        275.00"
"HDFCBANK","30-Sep-2003","24-Dec-2003","0","0","0","271.2","0","278.2","0","0","0","0","        275.00"
"HDFCBANK","01-Oct-2003","30-Oct-2003","278.6","288.85","278.45","284.7","284.25","284.7","478","1085.82","330400","-16800","        283.25"
"HDFCBANK","01-Oct-2003","27-Nov-2003","0","0","0","284.4","0","285.45","0","0","0","0","        283.25"
"HDFCBANK","01-Oct-2003","24-Dec-2003","0","0","0","271.2","0","286.5","0","0","0","0","        283.25"
"HDFCBANK","03-Oct-2003","30-Oct-2003","287.9","298","287.9","296.7","297","296.7","562","1323.67","422400","92000","        294.45"
