"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"HEROMOTOCO","01-Mar-2012","29-Mar-2012","1978.75","1992","1932","1953.2","1946.8","1953.2","4259","10455.48","1559750","37000","       1937.55"
"HEROMOTOCO","01-Mar-2012","26-Apr-2012","1955.45","1965","1920","1938.3","1932","1938.3","463","1129.61","42375","-1875","       1937.55"
"HEROMOTOCO","01-Mar-2012","31-May-2012","0","0","0","1931.45","1931.45","1988.85","0","0","2750","0","       1937.55"
"HEROMOTOCO","02-Mar-2012","29-Mar-2012","1979.9","1991.25","1943","1956.5","1953","1956.5","2954","7245.9","1544500","-15250","       1941.45"
"HEROMOTOCO","02-Mar-2012","26-Apr-2012","1880.35","1964.1","1880.35","1944.55","1944","1944.55","187","457.25","44000","1625","       1941.45"
"HEROMOTOCO","02-Mar-2012","31-May-2012","0","0","0","1931.45","1931.45","1992","0","0","2750","0","       1941.45"
"HEROMOTOCO","03-Mar-2012","29-Mar-2012","1963.45","1968.95","1957.1","1959.55","1960","1959.55","250","612.93","1546625","2125","       1947.15"
"HEROMOTOCO","03-Mar-2012","26-Apr-2012","1949.4","1950","1948.95","1950","1950","1950","5","12.18","44125","125","       1947.15"
"HEROMOTOCO","03-Mar-2012","31-May-2012","0","0","0","1931.45","1931.45","1997.3","0","0","2750","0","       1947.15"
"HEROMOTOCO","05-Mar-2012","29-Mar-2012","1955.55","1955.55","1890.05","1898.1","1892","1898.1","2253","5374.52","1560125","13500","       1886.95"
"HEROMOTOCO","05-Mar-2012","26-Apr-2012","1920.6","1920.65","1880","1881.35","1883.95","1881.35","24","56.98","44625","500","       1886.95"
"HEROMOTOCO","05-Mar-2012","31-May-2012","0","0","0","1931.45","1931.45","1935.8","0","0","2750","0","       1886.95"
"HEROMOTOCO","06-Mar-2012","29-Mar-2012","1863.25","1944.55","1828.05","1880.75","1878.8","1880.75","5068","12000.29","1578125","18000","       1871.70"
"HEROMOTOCO","06-Mar-2012","26-Apr-2012","1829.55","1930","1829.55","1876.5","1875","1876.5","73","171.98","45500","875","       1871.70"
"HEROMOTOCO","06-Mar-2012","31-May-2012","1888.4","1901.45","1876.6","1879.15","1880","1879.15","30","70.74","6500","3750","       1871.70"
"HEROMOTOCO","07-Mar-2012","29-Mar-2012","1884.35","1914","1884.35","1898.4","1897","1898.4","3305","7857.09","1570125","-8000","       1889.60"
