"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"HEROMOTOCO","04-May-2015","28-May-2015","2351.15","2408.5","2342.25","2400.35","2406","2400.35","6101","18128.23","2136875","-68750","       2389.55"
"HEROMOTOCO","04-May-2015","25-Jun-2015","2387.7","2415","2364.25","2406.5","2412.4","2406.5","187","555.13","23000","13375","       2389.55"
"HEROMOTOCO","04-May-2015","30-Jul-2015","0","0","0","2376.15","0","2437.5","0","0","0","0","       2389.55"
"HEROMOTOCO","05-May-2015","28-May-2015","2389.05","2400.1","2352.5","2369.7","2368","2369.7","4317","12810.28","2129625","-7250","       2357.45"
"HEROMOTOCO","05-May-2015","25-Jun-2015","2406","2406","2362.55","2377.95","2378","2377.95","81","240.66","26250","3250","       2357.45"
"HEROMOTOCO","05-May-2015","30-Jul-2015","2399.3","2399.3","2399.3","2399.3","2399.3","2404.05","1","3","125","125","       2357.45"
"HEROMOTOCO","06-May-2015","28-May-2015","2361.05","2370","2319","2335.45","2336.1","2335.45","6327","18492.54","1904750","-224875","       2326.40"
"HEROMOTOCO","06-May-2015","25-Jun-2015","2365","2372","2332","2345.55","2343.6","2345.55","149","436.94","35000","8750","       2326.40"
"HEROMOTOCO","06-May-2015","30-Jul-2015","2340","2343","2295","2324.95","2324.95","2372.1","78","225.67","8250","8125","       2326.40"
"HEROMOTOCO","07-May-2015","28-May-2015","2329.75","2379.5","2315.25","2363.55","2360","2363.55","10710","31554.3","1875000","-29750","       2354.55"
"HEROMOTOCO","07-May-2015","25-Jun-2015","2335","2387.75","2334.6","2373.5","2369.8","2373.5","216","639.51","38500","3500","       2354.55"
"HEROMOTOCO","07-May-2015","30-Jul-2015","2350","2365","2339.1","2355","2355","2400.2","15","44.13","8875","625","       2354.55"
"HEROMOTOCO","08-May-2015","28-May-2015","2300","2323.6","2257.5","2310.5","2318","2310.5","15934","45651.44","1964625","89625","       2300.65"
