"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"HEROMOTOCO","03-Sep-2019","26-Sep-2019","2579.95","2630","2560.9","2569.2","2570.5","2569.2","6681","34722.44","2525800","128200","       2557.45"
"HEROMOTOCO","03-Sep-2019","31-Oct-2019","2595.75","2633.95","2572.3","2577.45","2583.1","2577.45","100","521.08","66800","6000","       2557.45"
"HEROMOTOCO","03-Sep-2019","28-Nov-2019","0","0","0","2587.35","0","2594.8","0","0","0","0","       2557.45"
"HEROMOTOCO","04-Sep-2019","26-Sep-2019","2567.3","2594.8","2534.05","2575.3","2574.95","2575.3","3667","18830.29","2557800","32000","       2566.10"
"HEROMOTOCO","04-Sep-2019","31-Oct-2019","2591.9","2600","2548","2584","2584","2584","20","103.21","67800","1000","       2566.10"
"HEROMOTOCO","04-Sep-2019","28-Nov-2019","0","0","0","2587.35","0","2603.15","0","0","0","0","       2566.10"
"HEROMOTOCO","05-Sep-2019","26-Sep-2019","2578.3","2626","2575","2619","2619.75","2619","3568","18564.16","2515800","-42000","       2605.90"
"HEROMOTOCO","05-Sep-2019","31-Oct-2019","2598.65","2629.6","2581.85","2625.55","2629.6","2625.55","103","535.57","78400","10600","       2605.90"
"HEROMOTOCO","05-Sep-2019","28-Nov-2019","0","0","0","2587.35","0","2643","0","0","0","0","       2605.90"
"HEROMOTOCO","06-Sep-2019","26-Sep-2019","2627.9","2682.55","2596.25","2673.3","2669.95","2673.3","5586","29575.25","2604400","88600","       2659.95"
"HEROMOTOCO","06-Sep-2019","31-Oct-2019","2646.3","2687.8","2615.45","2677.85","2671.75","2677.85","45","239.36","80600","2200","       2659.95"
"HEROMOTOCO","06-Sep-2019","28-Nov-2019","0","0","0","2587.35","0","2697.35","0","0","0","0","       2659.95"
"HEROMOTOCO","09-Sep-2019","26-Sep-2019","2634.15","2702.4","2628","2697.15","2694","2697.15","3853","20576.87","2585200","-19200","       2691.60"
"HEROMOTOCO","09-Sep-2019","31-Oct-2019","2643.8","2710","2643.8","2703.2","2699.3","2703.2","36","192.75","81800","1200","       2691.60"
"HEROMOTOCO","09-Sep-2019","28-Nov-2019","0","0","0","2587.35","0","2728","0","0","0","0","       2691.60"
"HEROMOTOCO","11-Sep-2019","26-Sep-2019","2707.5","2782.4","2700.1","2770.8","2762.4","2770.8","7435","40844.29","2703200","118000","       2760.15"
"HEROMOTOCO","11-Sep-2019","31-Oct-2019","2711.65","2785","2711.65","2776.85","2769.25","2776.85","60","331.47","82200","400","       2760.15"
"HEROMOTOCO","11-Sep-2019","28-Nov-2019","2781.6","2781.6","2781.6","2781.6","2781.6","2796.6","1","5.56","200","200","       2760.15"
"HEROMOTOCO","12-Sep-2019","26-Sep-2019","2766.35","2772","2723.45","2744.45","2749","2744.45","3980","21846.54","2649400","-53800","       2740.75"
"HEROMOTOCO","12-Sep-2019","31-Oct-2019","2772.25","2776.35","2737.1","2754.85","2758","2754.85","35","192.88","83400","1200","       2740.75"
"HEROMOTOCO","12-Sep-2019","28-Nov-2019","2753.9","2762.6","2753.9","2760.4","2762.6","2760.4","6","33.11","1400","1200","       2740.75"
"HEROMOTOCO","13-Sep-2019","26-Sep-2019","2747","2791","2719","2780.45","2774.1","2780.45","5412","29897.71","2697400","48000","       2776.60"
"HEROMOTOCO","13-Sep-2019","31-Oct-2019","2772.7","2799.95","2731.1","2791.9","2783.35","2791.9","149","828.21","91000","7600","       2776.60"
"HEROMOTOCO","13-Sep-2019","28-Nov-2019","2781.55","2806.8","2748.55","2799.8","2799.8","2812.1","15","83.37","4400","3000","       2776.60"
"HEROMOTOCO","16-Sep-2019","26-Sep-2019","2776.9","2849.65","2726.6","2744","2745.3","2744","4048","22341.31","2642000","-55400","       2738.65"
"HEROMOTOCO","16-Sep-2019","31-Oct-2019","2777","2804","2745.05","2754.6","2757.05","2754.6","214","1182.16","114000","23000","       2738.65"
"HEROMOTOCO","16-Sep-2019","28-Nov-2019","0","0","0","2799.8","2799.8","2772.45","0","0","4400","0","       2738.65"
"HEROMOTOCO","17-Sep-2019","26-Sep-2019","2758.45","2760.7","2562.75","2575.75","2576.95","2575.75","7363","38987.74","2676200","34200","       2568.95"
"HEROMOTOCO","17-Sep-2019","31-Oct-2019","2750","2750","2574.35","2584.85","2582.75","2584.85","547","2879.21","150600","36600","       2568.95"
"HEROMOTOCO","17-Sep-2019","28-Nov-2019","2718.7","2718.7","2590","2596.25","2590","2596.25","12","63.02","6600","2200","       2568.95"
"HEROMOTOCO","18-Sep-2019","26-Sep-2019","2597.95","2618.4","2516.7","2579.45","2587","2579.45","8449","43475.17","2654400","-21800","       2576.10"
"HEROMOTOCO","18-Sep-2019","31-Oct-2019","2617.35","2629","2530","2589.7","2595.9","2589.7","530","2737.25","196200","45600","       2576.10"
"HEROMOTOCO","18-Sep-2019","28-Nov-2019","2596.4","2621","2561","2587.45","2573.85","2587.45","15","77.78","7200","600","       2576.10"
"HEROMOTOCO","19-Sep-2019","26-Sep-2019","2580","2596.7","2516.15","2534.6","2539","2534.6","4374","22238.7","2666800","12400","       2532.25"
"HEROMOTOCO","19-Sep-2019","31-Oct-2019","2572","2602.8","2526","2544","2548.6","2544","392","1998.74","225600","29400","       2532.25"
"HEROMOTOCO","19-Sep-2019","28-Nov-2019","2586","2586","2546.7","2553.1","2553","2553.1","12","61.58","7800","600","       2532.25"
"HEROMOTOCO","20-Sep-2019","26-Sep-2019","2545","3026.8","2532.2","2873.15","2858.05","2873.15","27813","154383.3","2466000","-200800","       2862.90"
"HEROMOTOCO","20-Sep-2019","31-Oct-2019","2548.05","3031.45","2546","2882.25","2869.75","2882.25","5746","32219.84","523200","297600","       2862.90"
"HEROMOTOCO","20-Sep-2019","28-Nov-2019","2568.2","2966.2","2568.2","2887","2887","2896.3","40","217.02","8200","400","       2862.90"
"HEROMOTOCO","23-Sep-2019","26-Sep-2019","2890","3024.8","2801.05","2827.2","2867.7","2827.2","12841","73825.08","1635800","-830200","       2820.35"
"HEROMOTOCO","23-Sep-2019","31-Oct-2019","2904.75","3035.4","2810","2840.05","2839","2840.05","6563","37805.24","1300800","777600","       2820.35"
"HEROMOTOCO","23-Sep-2019","28-Nov-2019","2926.65","2957.95","2880","2940","2940","2852","18","105.26","7200","-1000","       2820.35"
"HEROMOTOCO","24-Sep-2019","26-Sep-2019","2844","2849.75","2730.3","2766.25","2767.85","2766.25","8373","46513.4","1039800","-596000","       2755.95"
"HEROMOTOCO","24-Sep-2019","31-Oct-2019","2856","2860.1","2743.7","2778.55","2782","2778.55","5110","28492.39","1892400","591600","       2755.95"
"HEROMOTOCO","24-Sep-2019","28-Nov-2019","2846.45","2846.45","2755","2786","2786","2786","8","44.52","8000","800","       2755.95"
"HEROMOTOCO","25-Sep-2019","26-Sep-2019","2737","2758.35","2651.15","2705.55","2693.6","2705.55","7855","42519.47","486600","-553200","       2704.25"
"HEROMOTOCO","25-Sep-2019","31-Oct-2019","2776.8","2776.8","2664.95","2717.15","2714.4","2717.15","6414","34860.98","2464600","572200","       2704.25"
"HEROMOTOCO","25-Sep-2019","28-Nov-2019","2743.9","2743.9","2692.75","2729.6","2730.95","2729.6","14","75.97","9800","1800","       2704.25"
"HEROMOTOCO","26-Sep-2019","26-Sep-2019","2694.4","2775","2694.4","2761.6","2760.45","2760.1","4308","23603.67","270400","-216200","       2760.10"
"HEROMOTOCO","26-Sep-2019","31-Oct-2019","2692.4","2796","2692.4","2777","2767","2777","5226","28831.41","2672200","207600","       2760.10"
"HEROMOTOCO","26-Sep-2019","28-Nov-2019","2759.95","2792.45","2756.3","2774.85","2774.85","2789.55","6","33.21","10200","400","       2760.10"
"HEROMOTOCO","27-Sep-2019","31-Oct-2019","2774.35","2793","2726","2745.95","2741","2745.95","3821","21033.77","2695400","23200","       2729.15"
"HEROMOTOCO","27-Sep-2019","28-Nov-2019","2768.2","2768.2","2749.65","2768","2768","2757.8","10","55.24","11200","1000","       2729.15"
"HEROMOTOCO","27-Sep-2019","26-Dec-2019","0","0","0","2802.75","0","2770.85","0","0","0","0","       2729.15"
"HEROMOTOCO","30-Sep-2019","31-Oct-2019","2747.7","2774.2","2688","2723.25","2713.5","2723.25","4080","22235.37","2734000","38600","       2704.75"
"HEROMOTOCO","30-Sep-2019","28-Nov-2019","2765","2769.55","2701","2729.8","2720.8","2729.8","34","186.38","12600","1400","       2704.75"
"HEROMOTOCO","30-Sep-2019","26-Dec-2019","0","0","0","2802.75","0","2744.8","0","0","0","0","       2704.75"
"HEROMOTOCO","01-Oct-2019","31-Oct-2019","2730.9","2756.4","2655.55","2704.25","2692.65","2704.25","4693","25439.34","2773200","39200","       2688.35"
"HEROMOTOCO","01-Oct-2019","28-Nov-2019","2740","2762.75","2673.25","2718.35","2716","2718.35","28","152.52","14200","1600","       2688.35"
"HEROMOTOCO","01-Oct-2019","26-Dec-2019","0","0","0","2802.75","0","2727.55","0","0","0","0","       2688.35"
"HEROMOTOCO","03-Oct-2019","31-Oct-2019","2692","2745.8","2674.25","2682.7","2676.15","2682.7","4913","26583.63","2907200","134000","       2667.45"
"HEROMOTOCO","03-Oct-2019","28-Nov-2019","2732","2749.2","2688.7","2693.35","2688.7","2693.35","22","119.61","14400","200","       2667.45"
"HEROMOTOCO","03-Oct-2019","26-Dec-2019","0","0","0","2802.75","0","2705.2","0","0","0","0","       2667.45"
"HEROMOTOCO","04-Oct-2019","31-Oct-2019","2689.6","2731.8","2674.65","2685.5","2687.35","2685.5","4818","26087.71","2882200","-25000","       2668.30"
"HEROMOTOCO","04-Oct-2019","28-Nov-2019","2709.4","2733","2690.15","2694","2695.5","2694","19","103.1","13800","-600","       2668.30"
"HEROMOTOCO","04-Oct-2019","26-Dec-2019","0","0","0","2802.75","0","2705.55","0","0","0","0","       2668.30"
"HEROMOTOCO","07-Oct-2019","31-Oct-2019","2669.35","2695","2619","2685.65","2692","2685.65","4884","26055.18","2860400","-21800","       2674.00"
