"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"HINDALC0","01-Jan-2003","30-Jan-2003","587","587","584","585.65","586.2","585.65","15","26.33","72600","300","        585.90"
"HINDALC0","01-Jan-2003","27-Feb-2003","586","587","586","587","587","587","3","5.28","2400","900","        585.90"
"HINDALC0","01-Jan-2003","27-Mar-2003","0","0","0","602.2","0","597.8","0","0","0","0","        585.90"
"HINDALC0","02-Jan-2003","30-Jan-2003","584.55","584.55","583.65","584.05","584","584.05","14","24.53","74400","1800","        584.15"
"HINDALC0","02-Jan-2003","27-Feb-2003","586","586","586","586","586","592","1","1.76","2700","300","        584.15"
"HINDALC0","02-Jan-2003","27-Mar-2003","0","0","0","602.2","0","595.95","0","0","0","0","        584.15"
"HINDALC0","03-Jan-2003","30-Jan-2003","586.5","588.5","585.5","586.9","587.5","586.9","30","52.8","74100","-300","        588.90"
"HINDALC0","03-Jan-2003","27-Feb-2003","590","590","590","590","590","596.6","2","3.54","3300","600","        588.90"
"HINDALC0","03-Jan-2003","27-Mar-2003","0","0","0","602.2","0","600.55","0","0","0","0","        588.90"
"HINDALC0","06-Jan-2003","30-Jan-2003","588","588.85","585.25","587.35","588.85","587.35","25","44.04","71700","-2400","        589.75"
"HINDALC0","06-Jan-2003","27-Feb-2003","0","0","0","590","590","597","0","0","3300","0","        589.75"
"HINDALC0","06-Jan-2003","27-Mar-2003","0","0","0","602.2","0","600.95","0","0","0","0","        589.75"
"HINDALC0","07-Jan-2003","30-Jan-2003","589.5","592.6","586.55","588.4","586.55","588.4","37","65.47","65400","-6300","        590.25"
"HINDALC0","07-Jan-2003","27-Feb-2003","591","594","590","590","590","590","9","15.96","6000","2700","        590.25"
"HINDALC0","07-Jan-2003","27-Mar-2003","0","0","0","602.2","0","601.25","0","0","0","0","        590.25"
"HINDALC0","08-Jan-2003","30-Jan-2003","590","591","583","585.25","584.5","585.25","53","93.24","72000","6600","        583.95"
"HINDALC0","08-Jan-2003","27-Feb-2003","592.7","593.7","586.2","587","587","590.85","28","49.61","11700","5700","        583.95"
"HINDALC0","08-Jan-2003","27-Mar-2003","0","0","0","602.2","0","594.7","0","0","0","0","        583.95"
"HINDALC0","09-Jan-2003","30-Jan-2003","587","590","583","585.1","585.7","585.1","47","82.68","73200","1200","        584.35"
"HINDALC0","09-Jan-2003","27-Feb-2003","587.1","587.15","585","587","587","591.05","5","8.8","12600","900","        584.35"
"HINDALC0","09-Jan-2003","27-Mar-2003","588","588","588","588","588","594.95","1","1.76","300","300","        584.35"
"HINDALC0","10-Jan-2003","30-Jan-2003","585.5","588.1","585","586.2","585.5","586.2","33","58.08","68400","-4800","        590.45"
