"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"HINDALCO","01-Jul-2010","29-Jul-2010","144","144.35","141.5","143.75","144.05","143.75","7552","21586.38","21326000","-338000","        142.95"
"HINDALCO","01-Jul-2010","26-Aug-2010","142.5","143.4","140.9","142.8","143.3","142.8","134","380.87","706000","58000","        142.95"
"HINDALCO","01-Jul-2010","30-Sep-2010","142.4","142.4","142.4","142.4","142.4","145.3","1","2.85","2000","2000","        142.95"
"HINDALCO","02-Jul-2010","29-Jul-2010","143.9","146.4","142.1","144.5","143.95","144.5","10058","29089.48","21492000","166000","        143.75"
"HINDALCO","02-Jul-2010","26-Aug-2010","143.8","145.45","141.55","143.35","143","143.35","141","404.67","746000","40000","        143.75"
"HINDALCO","02-Jul-2010","30-Sep-2010","0","0","0","142.4","142.4","146.1","0","0","2000","0","        143.75"
"HINDALCO","05-Jul-2010","29-Jul-2010","143.7","144.5","142.25","142.75","142.8","142.75","2985","8559.59","22172000","680000","        141.65"
"HINDALCO","05-Jul-2010","26-Aug-2010","142.55","143.75","141.7","142.05","142.05","142.05","65","185.49","778000","32000","        141.65"
"HINDALCO","05-Jul-2010","30-Sep-2010","0","0","0","142.4","142.4","143.85","0","0","2000","0","        141.65"
"HINDALCO","06-Jul-2010","29-Jul-2010","142.1","146.15","142.1","144.95","145","144.95","7217","20892.63","23228000","1056000","        143.85"
"HINDALCO","06-Jul-2010","26-Aug-2010","141.95","145.2","141.95","144.2","144.05","144.2","103","296.84","814000","36000","        143.85"
"HINDALCO","06-Jul-2010","30-Sep-2010","144","144","144","144","144","146","1","2.88","0","-2000","        143.85"
"HINDALCO","07-Jul-2010","29-Jul-2010","144.4","144.5","141.7","142.55","142.35","142.55","5822","16637.84","23158000","-70000","        142.00"
"HINDALCO","07-Jul-2010","26-Aug-2010","143.5","143.5","141","141.8","142.2","141.8","107","303.93","900000","86000","        142.00"
"HINDALCO","07-Jul-2010","30-Sep-2010","143.4","143.4","143.4","143.4","143.4","144.15","1","2.87","2000","2000","        142.00"
"HINDALCO","08-Jul-2010","29-Jul-2010","145.05","146.25","144.35","145.25","145","145.25","6408","18632.6","21882000","-1276000","        144.85"
"HINDALCO","08-Jul-2010","26-Aug-2010","144.05","145.25","143.75","144.5","144.45","144.5","86","248.62","888000","-12000","        144.85"
"HINDALCO","08-Jul-2010","30-Sep-2010","0","0","0","143.4","143.4","147","0","0","2000","0","        144.85"
"HINDALCO","09-Jul-2010","29-Jul-2010","146.2","150.45","146.2","149.35","149","149.35","9632","28620.48","21024000","-858000","        149.00"
"HINDALCO","09-Jul-2010","26-Aug-2010","145.3","149.6","145.3","148.3","148.2","148.3","181","534.89","932000","44000","        149.00"
"HINDALCO","09-Jul-2010","30-Sep-2010","0","0","0","143.4","143.4","151.25","0","0","2000","0","        149.00"
"HINDALCO","12-Jul-2010","29-Jul-2010","150.35","151.9","148.95","149.7","149.45","149.7","5636","16955.54","20572000","-452000","        149.50"
"HINDALCO","12-Jul-2010","26-Aug-2010","150","151.1","148.25","148.95","148.6","148.95","96","287.23","988000","56000","        149.50"
"HINDALCO","12-Jul-2010","30-Sep-2010","0","0","0","143.4","143.4","151.65","0","0","2000","0","        149.50"
"HINDALCO","13-Jul-2010","29-Jul-2010","150.6","152.9","148.75","152.4","152.75","152.4","7768","23462.12","20992000","420000","        151.30"
"HINDALCO","13-Jul-2010","26-Aug-2010","149.2","152.1","148.1","151.4","152","151.4","146","438.84","1072000","84000","        151.30"
"HINDALCO","13-Jul-2010","30-Sep-2010","145.3","145.3","145.3","145.3","145.3","153.4","1","2.91","2000","0","        151.30"
"HINDALCO","14-Jul-2010","29-Jul-2010","153.9","155.25","149.45","150.75","149.95","150.75","9781","29985.14","19388000","-1604000","        150.65"
"HINDALCO","14-Jul-2010","26-Aug-2010","153.5","154.4","148.75","150.05","149.05","150.05","278","847.26","1202000","130000","        150.65"
"HINDALCO","14-Jul-2010","30-Sep-2010","0","0","0","145.3","145.3","152.8","0","0","2000","0","        150.65"
"HINDALCO","15-Jul-2010","29-Jul-2010","150.6","152.2","149.4","151.35","151.3","151.35","7154","21585.36","20064000","676000","        150.90"
"HINDALCO","15-Jul-2010","26-Aug-2010","149.05","151.35","148.65","150.5","150.4","150.5","204","611.49","1226000","24000","        150.90"
"HINDALCO","15-Jul-2010","30-Sep-2010","0","0","0","145.3","145.3","153","0","0","2000","0","        150.90"
"HINDALCO","16-Jul-2010","29-Jul-2010","151.1","151.45","150.2","151","150.95","151","4326","13046.56","20982000","918000","        150.15"
"HINDALCO","16-Jul-2010","26-Aug-2010","150.3","150.65","149.45","150.2","150.2","150.2","159","477.07","1422000","196000","        150.15"
