"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"HINDALCO","03-Mar-2014","27-Mar-2014","105.35","107.6","105.1","105.9","106.05","105.9","7429","15789.29","18210000","-1950000","        105.60"
"HINDALCO","03-Mar-2014","24-Apr-2014","107.15","108.25","105.8","106.7","106.6","106.7","103","220.51","168000","18000","        105.60"
"HINDALCO","03-Mar-2014","29-May-2014","0","0","0","105.85","105.85","108.05","0","0","8000","0","        105.60"
"HINDALCO","04-Mar-2014","27-Mar-2014","105.9","114.6","105.9","114","114.25","114","11880","26384.75","19158000","948000","        113.60"
"HINDALCO","04-Mar-2014","24-Apr-2014","107.8","115.7","107.8","114.9","115","114.9","169","378.73","246000","78000","        113.60"
"HINDALCO","04-Mar-2014","29-May-2014","109.6","110.05","109.6","110.05","110.05","116.3","2","4.39","12000","4000","        113.60"
"HINDALCO","05-Mar-2014","27-Mar-2014","114.8","117.55","112.7","116.1","116.4","116.1","9443","21697.03","20182000","1024000","        115.75"
"HINDALCO","05-Mar-2014","24-Apr-2014","115.1","118.05","113.5","116.85","117","116.85","196","452.06","284000","38000","        115.75"
"HINDALCO","05-Mar-2014","29-May-2014","114.75","117.65","114.75","117.65","117.65","117.65","2","4.65","14000","2000","        115.75"
"HINDALCO","06-Mar-2014","27-Mar-2014","116.35","121.3","115.15","120.85","120.65","120.85","11733","27858.94","22844000","2662000","        120.80"
"HINDALCO","06-Mar-2014","24-Apr-2014","116.5","122.05","116.5","121.65","121.55","121.65","310","743.51","470000","186000","        120.80"
"HINDALCO","06-Mar-2014","29-May-2014","117.5","117.5","117.5","117.5","117.5","123.65","1","2.35","16000","2000","        120.80"
"HINDALCO","07-Mar-2014","27-Mar-2014","121","126.35","119.85","125.3","124.95","125.3","15662","38551.82","26478000","3634000","        124.55"
"HINDALCO","07-Mar-2014","24-Apr-2014","121.7","126.95","120.85","126.15","125.75","126.15","302","747.2","610000","140000","        124.55"
"HINDALCO","07-Mar-2014","29-May-2014","122.3","127.5","121.6","127","127.5","127","9","22.53","30000","14000","        124.55"
"HINDALCO","10-Mar-2014","27-Mar-2014","123.05","124.3","121.45","122.65","122.45","122.65","6600","16203.85","25588000","-890000","        121.95"
"HINDALCO","10-Mar-2014","24-Apr-2014","123.7","125","122.75","123.5","123.4","123.5","165","408.04","688000","78000","        121.95"
"HINDALCO","10-Mar-2014","29-May-2014","124","124.95","123.6","124.95","124.95","124.65","4","9.94","28000","-2000","        121.95"
"HINDALCO","11-Mar-2014","27-Mar-2014","121.75","122.35","117","118.15","117.75","118.15","9302","22066.42","24212000","-1376000","        117.40"
"HINDALCO","11-Mar-2014","24-Apr-2014","122.4","122.7","117.85","119","118.65","119","756","1801.42","1394000","706000","        117.40"
"HINDALCO","11-Mar-2014","29-May-2014","122.1","122.1","119.1","119.9","119.9","119.9","21","50.56","32000","4000","        117.40"
"HINDALCO","12-Mar-2014","27-Mar-2014","116.15","119.05","114.7","115.5","115.7","115.5","8960","20886.23","24448000","236000","        114.75"
"HINDALCO","12-Mar-2014","24-Apr-2014","117.85","119.7","115.5","116.3","116.4","116.3","329","772.71","1480000","86000","        114.75"
"HINDALCO","12-Mar-2014","29-May-2014","118.65","118.65","118.15","118.15","118.15","117.2","2","4.74","30000","-2000","        114.75"
"HINDALCO","13-Mar-2014","27-Mar-2014","115.8","119.6","115.3","115.95","116.1","115.95","6227","14609.78","23652000","-796000","        115.65"
"HINDALCO","13-Mar-2014","24-Apr-2014","117","120.3","116.2","116.8","117","116.8","206","486.82","1552000","72000","        115.65"
"HINDALCO","13-Mar-2014","29-May-2014","117.65","117.65","117.65","117.65","117.65","117.65","1","2.35","30000","0","        115.65"
"HINDALCO","14-Mar-2014","27-Mar-2014","114.9","116.65","114.1","116","116","116","4961","11447.49","25060000","1408000","        115.20"
"HINDALCO","14-Mar-2014","24-Apr-2014","115.4","117.4","115.05","117","116.8","117","170","394.99","1548000","-4000","        115.20"
