"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"HINDALCO","02-May-2012","31-May-2012","124","124","120.55","120.95","120.9","120.95","3135","7632.04","27420000","-92000","        120.10"
"HINDALCO","02-May-2012","28-Jun-2012","123.45","124.05","121.8","121.9","121.8","121.9","45","110.5","256000","22000","        120.10"
"HINDALCO","02-May-2012","26-Jul-2012","0","0","0","119.1","0","122.85","0","0","0","0","        120.10"
"HINDALCO","03-May-2012","31-May-2012","120.1","121.15","118.5","119.6","119.75","119.6","3291","7886.93","26602000","-818000","        118.80"
"HINDALCO","03-May-2012","28-Jun-2012","120.5","122.2","119.7","120.95","121","120.95","59","142.66","276000","20000","        118.80"
"HINDALCO","03-May-2012","26-Jul-2012","122","122.6","120.8","120.85","120.85","121.5","13","31.63","24000","24000","        118.80"
"HINDALCO","04-May-2012","31-May-2012","119","119.55","115.1","116.75","116.9","116.75","3638","8507.86","26218000","-384000","        115.90"
"HINDALCO","04-May-2012","28-Jun-2012","120.6","120.6","116.25","117.95","117.8","117.95","85","200.48","342000","66000","        115.90"
"HINDALCO","04-May-2012","26-Jul-2012","119.75","119.75","117.05","118.7","118.7","118.7","12","28.38","38000","14000","        115.90"
"HINDALCO","07-May-2012","31-May-2012","114.95","117.55","113.1","116.8","116.65","116.8","4404","10159.15","27162000","944000","        115.65"
"HINDALCO","07-May-2012","28-Jun-2012","115.45","118.45","114.5","117.85","117.5","117.85","327","764.55","740000","398000","        115.65"
"HINDALCO","07-May-2012","26-Jul-2012","116.25","119.45","115.55","118.95","118.95","118.95","13","30.51","48000","10000","        115.65"
"HINDALCO","08-May-2012","31-May-2012","117","120.05","114.1","118.35","117.8","118.35","11941","28131.95","26208000","-954000","        117.75"
"HINDALCO","08-May-2012","28-Jun-2012","117.9","121","115.3","119.15","119.05","119.15","100","237.27","720000","-20000","        117.75"
"HINDALCO","08-May-2012","26-Jul-2012","118.95","118.95","118.95","118.95","118.95","120.3","1","2.38","50000","2000","        117.75"
"HINDALCO","09-May-2012","31-May-2012","116.75","121.6","114.2","119.5","119.55","119.5","10401","24714.94","25324000","-884000","        118.80"
"HINDALCO","09-May-2012","28-Jun-2012","117.75","122.2","115.5","120.65","120.55","120.65","165","395.17","700000","-20000","        118.80"
"HINDALCO","09-May-2012","26-Jul-2012","119.1","122.45","119.1","122.45","122.45","121.3","6","14.55","54000","4000","        118.80"
"HINDALCO","10-May-2012","31-May-2012","119.7","121.55","117.15","118","118.15","118","5270","12596.49","25090000","-234000","        117.50"
"HINDALCO","10-May-2012","28-Jun-2012","121.6","122.1","118.25","118.95","119","118.95","90","216.51","716000","16000","        117.50"
"HINDALCO","10-May-2012","26-Jul-2012","122.5","122.5","121","121","121","119.95","2","4.87","56000","2000","        117.50"
"HINDALCO","11-May-2012","31-May-2012","116.75","117.85","113.4","114","114","114","5685","13121.65","26492000","1402000","        113.15"
"HINDALCO","11-May-2012","28-Jun-2012","117.6","118.8","114.5","115","115","115","188","436.77","816000","100000","        113.15"
"HINDALCO","11-May-2012","26-Jul-2012","118.45","118.5","115.5","115.65","115.5","115.65","7","16.36","64000","8000","        113.15"
"HINDALCO","14-May-2012","31-May-2012","114.75","115.9","110.85","112.05","111.45","112.05","4247","9626.12","25518000","-974000","        111.30"
"HINDALCO","14-May-2012","28-Jun-2012","116","116.7","111.8","113.1","112.75","113.1","131","298.94","858000","42000","        111.30"
"HINDALCO","14-May-2012","26-Jul-2012","115.5","115.5","114.05","114.05","114.05","114.05","4","9.19","68000","4000","        111.30"
"HINDALCO","15-May-2012","31-May-2012","111.2","115.5","111","114.95","114.6","114.95","5523","12553.9","24444000","-1074000","        114.35"
"HINDALCO","15-May-2012","28-Jun-2012","112.8","116.3","112.4","115.95","115.7","115.95","117","268.97","884000","26000","        114.35"
"HINDALCO","15-May-2012","26-Jul-2012","113.5","117.95","113.4","117.95","117.95","116.6","4","9.25","70000","2000","        114.35"
"HINDALCO","16-May-2012","31-May-2012","112","112.85","109.8","110.9","110.9","110.9","4983","11095.16","24484000","40000","        110.30"
"HINDALCO","16-May-2012","28-Jun-2012","113.4","113.5","111","112","111.95","112","174","391.02","1032000","148000","        110.30"
"HINDALCO","16-May-2012","26-Jul-2012","113.35","113.4","112.05","112.05","112.05","112.45","7","15.77","82000","12000","        110.30"
"HINDALCO","17-May-2012","31-May-2012","111.9","112.8","108.15","109.2","109.25","109.2","5853","12928.86","25054000","570000","        108.85"
"HINDALCO","17-May-2012","28-Jun-2012","113.4","113.4","109.25","110.3","110.3","110.3","294","656.22","1374000","342000","        108.85"
"HINDALCO","17-May-2012","26-Jul-2012","113.9","114","111","111","111","110.9","9","20.37","92000","10000","        108.85"
"HINDALCO","18-May-2012","31-May-2012","106.8","109.55","106.4","108.55","109.2","108.55","7196","15533.06","25688000","634000","        107.95"
"HINDALCO","18-May-2012","28-Jun-2012","107.5","110.5","107.45","109.5","110.2","109.5","590","1286.74","1756000","382000","        107.95"
"HINDALCO","18-May-2012","26-Jul-2012","108.25","109.15","108.25","109.15","109.15","110","3","6.53","94000","2000","        107.95"
"HINDALCO","21-May-2012","31-May-2012","109.05","111.7","108.55","110.8","110.6","110.8","5520","12195.89","26040000","352000","        110.40"
"HINDALCO","21-May-2012","28-Jun-2012","109.9","112.45","109.7","111.6","111.5","111.6","610","1359.59","2352000","596000","        110.40"
"HINDALCO","21-May-2012","26-Jul-2012","111.6","115.7","111.6","113","113","113","4","9.07","94000","0","        110.40"
"HINDALCO","22-May-2012","31-May-2012","112","112.7","106.9","107.2","106.9","107.2","6174","13476.42","25282000","-758000","        107.05"
"HINDALCO","22-May-2012","28-Jun-2012","112.75","113.2","107.85","108.1","108","108.1","607","1336.35","2666000","314000","        107.05"
"HINDALCO","22-May-2012","26-Jul-2012","113","113","109.6","109.6","109.6","108.95","6","13.35","100000","6000","        107.05"
"HINDALCO","23-May-2012","31-May-2012","105.5","108.5","105.4","107.65","107.6","107.65","4074","8745.74","24242000","-1040000","        107.55"
"HINDALCO","23-May-2012","28-Jun-2012","107.05","109.4","107.05","108.65","108.35","108.65","402","869.94","3030000","364000","        107.55"
"HINDALCO","23-May-2012","26-Jul-2012","107.9","110.25","107.9","110.25","110.25","109.45","2","4.36","102000","2000","        107.55"
"HINDALCO","24-May-2012","31-May-2012","108.9","111.45","107.45","110.85","111.05","110.85","6570","14430.82","23508000","-734000","        110.60"
"HINDALCO","24-May-2012","28-Jun-2012","109.35","112.4","108.5","111.95","112.1","111.95","1132","2497.25","4198000","1168000","        110.60"
"HINDALCO","24-May-2012","26-Jul-2012","112","112","111.25","111.25","111.25","112.5","2","4.47","106000","4000","        110.60"
"HINDALCO","25-May-2012","31-May-2012","108","113.1","108","111.95","112","111.95","6755","14978.93","21256000","-2252000","        111.90"
"HINDALCO","25-May-2012","28-Jun-2012","109.6","114.05","109.6","113","113.15","113","2079","4638.98","6504000","2306000","        111.90"
"HINDALCO","25-May-2012","26-Jul-2012","110.8","114.45","110.5","114.25","114.25","114.25","32","71.43","156000","50000","        111.90"
"HINDALCO","28-May-2012","31-May-2012","112.55","115.65","112.3","114.95","115.25","114.95","6618","15102.03","18628000","-2628000","        114.95"
"HINDALCO","28-May-2012","28-Jun-2012","113.45","116.5","113.45","115.95","116.2","115.95","2440","5610.99","8890000","2386000","        114.95"
"HINDALCO","28-May-2012","26-Jul-2012","114.65","117","114.65","117","117","117","23","53.19","178000","22000","        114.95"
"HINDALCO","29-May-2012","31-May-2012","115.55","115.95","113.3","114.65","114.15","114.65","7061","16145.15","14860000","-3768000","        114.55"
"HINDALCO","29-May-2012","28-Jun-2012","116.55","116.75","114.3","115.7","115.15","115.7","5050","11644.19","14304000","5414000","        114.55"
"HINDALCO","29-May-2012","26-Jul-2012","116.4","117.65","115.4","116","116.05","116","27","62.69","194000","16000","        114.55"
"HINDALCO","30-May-2012","31-May-2012","115","115.85","112.75","114.3","114","114.3","6545","14981.26","10372000","-4488000","        114.45"
"HINDALCO","30-May-2012","28-Jun-2012","114.9","117","113.8","115.35","115","115.35","4115","9507.34","18000000","3696000","        114.45"
"HINDALCO","30-May-2012","26-Jul-2012","115.75","123.95","115.4","116.3","116.4","116.3","34","79.22","214000","20000","        114.45"
"HINDALCO","31-May-2012","31-May-2012","117.25","119.95","115.5","116.6","116.7","116.65","10549","24888.83","4642000","-5730000","        116.65"
"HINDALCO","31-May-2012","28-Jun-2012","117.9","120.75","116.5","117.55","117.7","117.55","10407","24702.24","22226000","4226000","        116.65"
"HINDALCO","31-May-2012","26-Jul-2012","119.6","121.6","117.8","118.3","118.9","118.3","84","201.17","246000","32000","        116.65"
"HINDALCO","01-Jun-2012","28-Jun-2012","116.85","119.65","116.25","116.85","117.25","116.85","6728","15855.35","20982000","-1244000","        116.55"
"HINDALCO","01-Jun-2012","26-Jul-2012","118.25","120.15","117.5","117.75","117.75","117.75","63","149.72","272000","26000","        116.55"
"HINDALCO","01-Jun-2012","30-Aug-2012","0","0","0","119.55","0","119.4","0","0","0","0","        116.55"
"HINDALCO","04-Jun-2012","28-Jun-2012","115.7","116.85","113.1","115.9","116.05","115.9","3782","8713.31","21112000","130000","        115.35"
