"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"HINDALCO","01-Sep-2017","28-Sep-2017","238.15","244.7","237.65","243.1","243.4","243.1","7365","62248.74","33974500","1281000","        243.75"
"HINDALCO","01-Sep-2017","26-Oct-2017","240","245.1","239","244.1","244","244.1","45","382.41","402500","66500","        243.75"
"HINDALCO","01-Sep-2017","30-Nov-2017","0","0","0","241.8","0","247.55","0","0","0","0","        243.75"
"HINDALCO","04-Sep-2017","28-Sep-2017","244.05","246.35","237.1","242.05","242.15","242.05","8514","72114.6","32665500","-1309000","        242.45"
"HINDALCO","04-Sep-2017","26-Oct-2017","245.05","247","238.15","242.85","243.05","242.85","77","653.57","451500","49000","        242.45"
"HINDALCO","04-Sep-2017","30-Nov-2017","0","0","0","241.8","0","246.15","0","0","0","0","        242.45"
"HINDALCO","05-Sep-2017","28-Sep-2017","244","244.9","241.25","243.1","243","243.1","4464","37969.39","33621000","955500","        241.90"
"HINDALCO","05-Sep-2017","26-Oct-2017","245","245.8","242.4","244.2","244.2","244.2","31","264.98","441000","-10500","        241.90"
"HINDALCO","05-Sep-2017","30-Nov-2017","0","0","0","241.8","0","245.55","0","0","0","0","        241.90"
"HINDALCO","06-Sep-2017","28-Sep-2017","238.35","247","238.35","246.2","246.75","246.2","7500","64044.76","34296500","675500","        245.80"
"HINDALCO","06-Sep-2017","26-Oct-2017","241.5","247.5","241.05","247.15","247.5","247.15","67","574.15","497000","56000","        245.80"
"HINDALCO","06-Sep-2017","30-Nov-2017","0","0","0","241.8","0","249.45","0","0","0","0","        245.80"
"HINDALCO","07-Sep-2017","28-Sep-2017","247.25","252.25","246.1","251.1","251","251.1","9456","82623.4","35381500","1085000","        249.95"
"HINDALCO","07-Sep-2017","26-Oct-2017","248.2","253.2","247.2","252.25","252.1","252.25","86","755.84","630000","133000","        249.95"
"HINDALCO","07-Sep-2017","30-Nov-2017","0","0","0","241.8","0","253.6","0","0","0","0","        249.95"
"HINDALCO","08-Sep-2017","28-Sep-2017","253","256.45","247.6","250","249.65","250","10292","90770.97","33621000","-1760500","        249.55"
"HINDALCO","08-Sep-2017","26-Oct-2017","253.5","257.75","249","251","251","251","155","1371.94","710500","80500","        249.55"
"HINDALCO","08-Sep-2017","30-Nov-2017","0","0","0","241.8","0","253.15","0","0","0","0","        249.55"
"HINDALCO","11-Sep-2017","28-Sep-2017","251.2","253.75","247.25","251.15","251.6","251.15","6563","57579.47","33719000","98000","        250.05"
"HINDALCO","11-Sep-2017","26-Oct-2017","251.6","254.9","249.55","252","251.95","252","85","749.03","756000","45500","        250.05"
"HINDALCO","11-Sep-2017","30-Nov-2017","0","0","0","241.8","0","253.55","0","0","0","0","        250.05"
