"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"HINDUNILVR","01-Jul-2019","25-Jul-2019","1803.1","1805","1782","1788.5","1789.25","1788.5","2558","13751.96","11294100","-6300","       1780.20"
"HINDUNILVR","01-Jul-2019","29-Aug-2019","1800.45","1808.55","1795.8","1797.9","1800.2","1797.9","65","351.47","64800","15000","       1780.20"
"HINDUNILVR","01-Jul-2019","26-Sep-2019","0","0","0","1804.6","0","1809.15","0","0","0","0","       1780.20"
"HINDUNILVR","02-Jul-2019","25-Jul-2019","1785.5","1806.8","1781.05","1800.75","1801.55","1800.75","3048","16403.22","11223600","-70500","       1789.20"
"HINDUNILVR","02-Jul-2019","29-Aug-2019","1803.3","1814.1","1795.2","1809.3","1814.1","1809.3","30","162.14","67200","2400","       1789.20"
"HINDUNILVR","02-Jul-2019","26-Sep-2019","0","0","0","1804.6","0","1817.9","0","0","0","0","       1789.20"
"HINDUNILVR","03-Jul-2019","25-Jul-2019","1808.6","1808.6","1789","1796","1796","1796","2708","14595.87","11249700","26100","       1784.70"
"HINDUNILVR","03-Jul-2019","29-Aug-2019","1807.2","1810.75","1800","1805.65","1806.8","1805.65","45","243.98","69300","2100","       1784.70"
"HINDUNILVR","03-Jul-2019","26-Sep-2019","0","0","0","1804.6","0","1812.95","0","0","0","0","       1784.70"
"HINDUNILVR","04-Jul-2019","25-Jul-2019","1791.05","1805.9","1790.1","1803.1","1803.95","1803.1","2722","14691.53","11201700","-48000","       1793.60"
"HINDUNILVR","04-Jul-2019","29-Aug-2019","1801","1815.85","1801","1813.95","1814.2","1813.95","53","287.78","73800","4500","       1793.60"
"HINDUNILVR","04-Jul-2019","26-Sep-2019","0","0","0","1804.6","0","1821.6","0","0","0","0","       1793.60"
"HINDUNILVR","05-Jul-2019","25-Jul-2019","1807.95","1821","1792","1795.75","1792.9","1795.75","5914","32106.63","11081100","-120600","       1791.40"
"HINDUNILVR","05-Jul-2019","29-Aug-2019","1820.35","1830","1803","1806.35","1803","1806.35","67","365.79","82200","8400","       1791.40"
"HINDUNILVR","05-Jul-2019","26-Sep-2019","0","0","0","1804.6","0","1818.9","0","0","0","0","       1791.40"
"HINDUNILVR","08-Jul-2019","25-Jul-2019","1792.25","1792.25","1753.95","1761.95","1758.15","1761.95","4494","23803.87","10878600","-202500","       1753.55"
"HINDUNILVR","08-Jul-2019","29-Aug-2019","1788","1788.1","1765","1771.9","1770.8","1771.9","83","441.98","88800","6600","       1753.55"
"HINDUNILVR","08-Jul-2019","26-Sep-2019","1754.65","1754.65","1754.65","1754.65","1754.65","1779.55","1","5.26","300","300","       1753.55"
"HINDUNILVR","09-Jul-2019","25-Jul-2019","1756.75","1761.85","1728","1742","1740.95","1742","5816","30426.82","10852200","-26400","       1740.25"
"HINDUNILVR","09-Jul-2019","29-Aug-2019","1763.75","1767.95","1740.2","1752.55","1750.85","1752.55","190","999.46","111600","22800","       1740.25"
"HINDUNILVR","09-Jul-2019","26-Sep-2019","1755.55","1755.55","1755.55","1755.55","1755.55","1765.9","1","5.27","600","300","       1740.25"
"HINDUNILVR","10-Jul-2019","25-Jul-2019","1748.9","1757.05","1706.1","1716.75","1708.9","1716.75","4582","23815.58","10974900","122700","       1718.60"
"HINDUNILVR","10-Jul-2019","29-Aug-2019","1756","1766","1716.35","1728.9","1718.25","1728.9","233","1218.53","150300","38700","       1718.60"
"HINDUNILVR","10-Jul-2019","26-Sep-2019","0","0","0","1755.55","1755.55","1743.65","0","0","600","0","       1718.60"
"HINDUNILVR","11-Jul-2019","25-Jul-2019","1710.9","1743.35","1710.9","1732.15","1732.5","1732.15","3599","18700.23","10924200","-50700","       1730.90"
