"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"HINDUNILVR","03-May-2010","27-May-2010","234.35","234.9","230.75","231.35","231.65","231.35","1060","2460.76","21899000","341000","        233.75"
"HINDUNILVR","03-May-2010","24-Jun-2010","230.6","230.95","228.6","228.9","228.9","228.9","39","89.5","517000","25000","        233.75"
"HINDUNILVR","03-May-2010","29-Jul-2010","0","0","0","230.5","230.5","236.6","0","0","7000","0","        233.75"
"HINDUNILVR","04-May-2010","27-May-2010","231.9","233.9","230.5","232","231.8","232","2228","5177.09","21218000","-681000","        232.35"
"HINDUNILVR","04-May-2010","24-Jun-2010","230.15","230.95","228.5","229.15","229.1","229.15","111","255.13","557000","40000","        232.35"
"HINDUNILVR","04-May-2010","29-Jul-2010","229.9","229.9","229.9","229.9","229.9","235.15","1","2.3","8000","1000","        232.35"
"HINDUNILVR","05-May-2010","27-May-2010","230.7","234","226.75","228.05","228.15","228.05","2479","5681.62","21752000","534000","        228.75"
"HINDUNILVR","05-May-2010","24-Jun-2010","229.9","231.1","224.4","225.45","225.5","225.45","114","258.15","617000","60000","        228.75"
"HINDUNILVR","05-May-2010","29-Jul-2010","227.55","228","227.35","228","228","231.45","10","22.76","18000","10000","        228.75"
"HINDUNILVR","06-May-2010","27-May-2010","228.6","232.5","228.05","229.8","230.3","229.8","2311","5322.39","21868000","116000","        232.15"
"HINDUNILVR","06-May-2010","24-Jun-2010","226.45","229.1","226","226.8","227.5","226.8","156","355.14","596000","-21000","        232.15"
"HINDUNILVR","06-May-2010","29-Jul-2010","228.75","228.8","227.1","227.1","227.1","234.85","3","6.85","21000","3000","        232.15"
"HINDUNILVR","07-May-2010","27-May-2010","229","233.2","228.35","231.15","232.9","231.15","2604","6032.92","21741000","-127000","        234.60"
"HINDUNILVR","07-May-2010","24-Jun-2010","227.5","229.8","226.5","228.1","229","228.1","150","342.94","569000","-27000","        234.60"
"HINDUNILVR","07-May-2010","29-Jul-2010","227.05","227.05","227","227","227","237.3","2","4.54","21000","0","        234.60"
"HINDUNILVR","10-May-2010","27-May-2010","233","236.7","232.9","234","233","234","2210","5192.47","21218000","-523000","        236.95"
"HINDUNILVR","10-May-2010","24-Jun-2010","230.95","233.2","229.55","230.55","229.85","230.55","160","370.26","562000","-7000","        236.95"
"HINDUNILVR","10-May-2010","29-Jul-2010","229.5","231.9","229.4","231.9","231.9","239.6","4","9.2","21000","0","        236.95"
"HINDUNILVR","11-May-2010","27-May-2010","234","234.5","230.35","233.9","234","233.9","1498","3480.43","21076000","-142000","        236.85"
"HINDUNILVR","11-May-2010","24-Jun-2010","228.9","230.7","227.2","230.5","230.5","230.5","139","317.8","590000","28000","        236.85"
"HINDUNILVR","11-May-2010","29-Jul-2010","227.05","229.5","227","229.5","229.5","229.5","4","9.11","24000","3000","        236.85"
"HINDUNILVR","12-May-2010","27-May-2010","233.2","236.5","233.05","234.65","234.55","234.65","1607","3779.42","21237000","161000","        238.50"
"HINDUNILVR","12-May-2010","24-Jun-2010","231","233","230.7","231.45","231.05","231.45","89","206.49","597000","7000","        238.50"
"HINDUNILVR","12-May-2010","29-Jul-2010","230.4","231","230.4","231","231","241.1","2","4.61","24000","0","        238.50"
"HINDUNILVR","13-May-2010","27-May-2010","236","240.1","234.65","238.05","238.15","238.05","5691","13575.97","18646000","-2591000","        238.20"
"HINDUNILVR","13-May-2010","24-Jun-2010","232.5","236.85","232.5","234.95","234.9","234.95","277","652.28","608000","11000","        238.20"
"HINDUNILVR","13-May-2010","29-Jul-2010","0","0","0","231","231","240.75","0","0","24000","0","        238.20"
"HINDUNILVR","14-May-2010","27-May-2010","237.5","240.7","232.5","233.35","233","233.35","2539","6007.41","18057000","-589000","        233.90"
"HINDUNILVR","14-May-2010","24-Jun-2010","236.7","237.5","230.1","230.6","230.1","230.6","197","460.46","729000","121000","        233.90"
"HINDUNILVR","14-May-2010","29-Jul-2010","0","0","0","231","231","236.35","0","0","24000","0","        233.90"
"HINDUNILVR","17-May-2010","27-May-2010","232.2","240.4","230.6","239.35","239.9","239.35","3725","8790.72","17188000","-869000","        240.05"
"HINDUNILVR","17-May-2010","24-Jun-2010","228.5","236.05","228.5","235.25","235.5","235.25","989","2311.6","1126000","397000","        240.05"
"HINDUNILVR","17-May-2010","29-Jul-2010","235","235","235","235","235","235","2","4.7","24000","0","        240.05"
"HINDUNILVR","18-May-2010","27-May-2010","238.75","242.85","236.75","239.95","240.1","239.95","3588","8591.44","16735000","-453000","        240.05"
"HINDUNILVR","18-May-2010","24-Jun-2010","234.1","239","232.85","236.55","236.6","236.55","820","1927.93","1194000","68000","        240.05"
"HINDUNILVR","18-May-2010","29-Jul-2010","232.75","236.8","232.75","235.3","235.9","235.3","11","25.84","30000","6000","        240.05"
"HINDUNILVR","19-May-2010","27-May-2010","239.2","240.2","232.5","233.9","235.45","233.9","3193","7532.24","16873000","138000","        233.35"
"HINDUNILVR","19-May-2010","24-Jun-2010","234.95","236.65","230","231.35","232.75","231.35","593","1376.94","1484000","290000","        233.35"
"HINDUNILVR","19-May-2010","29-Jul-2010","232","232","229.5","229.5","229.5","235.65","10","23.05","37000","7000","        233.35"
"HINDUNILVR","20-May-2010","27-May-2010","234.15","237.75","232","236.2","236","236.2","2197","5176.49","17009000","136000","        236.95"
"HINDUNILVR","20-May-2010","24-Jun-2010","230.7","234.55","230","232.95","232.6","232.95","555","1292.48","1736000","252000","        236.95"
"HINDUNILVR","20-May-2010","29-Jul-2010","232.15","232.95","232","232.25","232.25","239.3","6","13.94","41000","4000","        236.95"
"HINDUNILVR","21-May-2010","27-May-2010","234.9","237.2","230.55","231.6","230.8","231.6","7166","16824.14","14260000","-2749000","        230.70"
"HINDUNILVR","21-May-2010","24-Jun-2010","233.35","233.4","227.7","228.55","228","228.55","4091","9492.35","5347000","3611000","        230.70"
"HINDUNILVR","21-May-2010","29-Jul-2010","228.05","228.7","227.5","228.1","227.5","228.1","3","6.84","44000","3000","        230.70"
"HINDUNILVR","24-May-2010","27-May-2010","232.6","234.5","228.75","231.75","230.45","231.75","4419","10278.53","13058000","-1202000","        231.70"
"HINDUNILVR","24-May-2010","24-Jun-2010","228.1","231.2","226.5","228.2","227.3","228.2","2578","5920.62","6378000","1031000","        231.70"
"HINDUNILVR","24-May-2010","29-Jul-2010","226.4","229.4","226.4","226.95","226.4","226.95","18","41.02","53000","9000","        231.70"
"HINDUNILVR","25-May-2010","27-May-2010","230","231.25","225.6","230.4","231.2","230.4","8047","18355.53","10706000","-2352000","        230.55"
"HINDUNILVR","25-May-2010","24-Jun-2010","226.5","227","220.5","223.2","223.45","223.2","7963","17752.94","10064000","3686000","        230.55"
"HINDUNILVR","25-May-2010","29-Jul-2010","226.2","226.2","218.9","221","221","221","64","141.67","85000","32000","        230.55"
"HINDUNILVR","26-May-2010","27-May-2010","231","232.7","228.1","231.8","231.3","231.8","8556","19670.28","6631000","-4075000","        231.55"
"HINDUNILVR","26-May-2010","24-Jun-2010","226","230.45","224.2","229.35","229.05","229.35","7783","17665.34","12907000","2843000","        231.55"
"HINDUNILVR","26-May-2010","29-Jul-2010","224","225.5","220.75","224.95","225.5","224.95","105","234.62","131000","46000","        231.55"
"HINDUNILVR","27-May-2010","27-May-2010","231.55","234.9","230.65","233","233","233","7812","18208.45","3109000","-3522000","        233.00"
"HINDUNILVR","27-May-2010","24-Jun-2010","228.4","233.5","228.4","231.05","229.6","231.05","7871","18216.23","14649000","1742000","        233.00"
"HINDUNILVR","27-May-2010","29-Jul-2010","224.7","229.5","224.7","227.35","226.35","227.35","77","175.28","163000","32000","        233.00"
"HINDUNILVR","28-May-2010","24-Jun-2010","231.5","234.85","230.15","234.15","234","234.15","2245","5235.03","14867000","218000","        236.35"
"HINDUNILVR","28-May-2010","29-Jul-2010","227.4","231.15","227.4","230.55","230.15","230.55","378","866.49","464000","301000","        236.35"
"HINDUNILVR","28-May-2010","26-Aug-2010","228.55","230.5","228.55","230.5","230.5","230.5","5","11.48","5000","5000","        236.35"
"HINDUNILVR","31-May-2010","24-Jun-2010","234","237.35","233.7","235.25","235.7","235.25","1888","4454.95","15332000","465000","        237.20"
"HINDUNILVR","31-May-2010","29-Jul-2010","232","233.55","229.65","231.35","231.6","231.35","504","1170.41","817000","353000","        237.20"
"HINDUNILVR","31-May-2010","26-Aug-2010","232.65","232.65","232.5","232.5","232.5","240.25","4","9.3","9000","4000","        237.20"
"HINDUNILVR","01-Jun-2010","24-Jun-2010","234.4","235.8","231.7","232.7","232.65","232.7","1818","4256.87","15816000","484000","        233.80"
"HINDUNILVR","01-Jun-2010","29-Jul-2010","231.4","231.7","227.65","228.55","228.15","228.55","392","903.11","1098000","281000","        233.80"
"HINDUNILVR","01-Jun-2010","26-Aug-2010","0","0","0","232.5","232.5","236.9","0","0","9000","0","        233.80"
"HINDUNILVR","02-Jun-2010","24-Jun-2010","232.25","237.5","231","236.35","237","236.35","2205","5176.83","16148000","332000","        237.75"
"HINDUNILVR","02-Jun-2010","29-Jul-2010","228.4","233.15","228.4","232","232.9","232","401","923.28","1331000","233000","        237.75"
"HINDUNILVR","02-Jun-2010","26-Aug-2010","232.5","232.5","232.5","232.5","232.5","232.5","2","4.61","9000","0","        237.75"
"HINDUNILVR","03-Jun-2010","24-Jun-2010","237.2","250.1","237.2","246.7","246.25","246.7","5707","13964.41","16814000","666000","        247.05"
"HINDUNILVR","03-Jun-2010","29-Jul-2010","233.75","245.5","233.75","242.25","241.5","242.25","538","1290.07","1500000","169000","        247.05"
"HINDUNILVR","03-Jun-2010","26-Aug-2010","232.4","235","232.4","235","235","250.25","5","11.65","12000","3000","        247.05"
