"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"ICICIBANK","01-Jul-2008","31-Jul-2008","622","632.7","568.15","577.55","575","577.55","34002","35823.49","9494975","112000","        589.10"
"ICICIBANK","01-Jul-2008","28-Aug-2008","613","631","566.05","576.3","573.1","576.3","301","314.61","28700","9625","        589.10"
"ICICIBANK","01-Jul-2008","25-Sep-2008","588.15","588.15","575","575","575","603.1","2","2.04","350","350","        589.10"
"ICICIBANK","02-Jul-2008","31-Jul-2008","585","619.7","543.35","612.35","617.4","612.35","43735","44870.83","9970275","475300","        621.05"
"ICICIBANK","02-Jul-2008","28-Aug-2008","583","619.95","535","613.2","614.95","613.2","471","482.16","57225","28525","        621.05"
"ICICIBANK","02-Jul-2008","25-Sep-2008","576.25","639.75","550","639.75","639.75","639.75","7","7.2","1050","700","        621.05"
"ICICIBANK","03-Jul-2008","31-Jul-2008","598.9","598.9","546.25","563.2","556.7","563.2","41268","41076.27","10127775","157500","        571.90"
"ICICIBANK","03-Jul-2008","28-Aug-2008","600","601","548.9","562.05","555.3","562.05","477","474.31","70000","12775","        571.90"
"ICICIBANK","03-Jul-2008","25-Sep-2008","555","595","550","595","595","584.85","8","7.93","1050","0","        571.90"
"ICICIBANK","04-Jul-2008","31-Jul-2008","560","607","549","594.85","586.8","594.85","37527","38083.37","10622150","494375","        603.60"
"ICICIBANK","04-Jul-2008","28-Aug-2008","561","609.45","553","596.4","585","596.4","303","308.31","67550","-2450","        603.60"
"ICICIBANK","04-Jul-2008","25-Sep-2008","595","595","595","595","595","617.2","1","1.04","1050","0","        603.60"
"ICICIBANK","07-Jul-2008","31-Jul-2008","598.85","628.8","585","593.9","586","593.9","32615","34804.24","9925825","-696325","        605.15"
"ICICIBANK","07-Jul-2008","28-Aug-2008","610","629.55","586.35","594.25","586.35","594.25","250","266.77","73675","6125","        605.15"
"ICICIBANK","07-Jul-2008","25-Sep-2008","610","610","610","610","610","618.3","3","3.2","1225","175","        605.15"
"ICICIBANK","08-Jul-2008","31-Jul-2008","569.8","595","561.5","584.15","587","584.15","29110","29384.96","10210200","284375","        594.35"
"ICICIBANK","08-Jul-2008","28-Aug-2008","573.9","595","563","585.4","590","585.4","233","234.1","79800","6125","        594.35"
"ICICIBANK","08-Jul-2008","25-Sep-2008","0","0","0","610","610","607.35","0","0","1225","0","        594.35"
"ICICIBANK","09-Jul-2008","31-Jul-2008","606.05","634.7","599","613.55","612","613.55","30602","33180.56","10384325","174125","        621.70"
"ICICIBANK","09-Jul-2008","28-Aug-2008","615","635","612.4","614.6","613.05","614.6","221","240.36","74725","-5075","        621.70"
"ICICIBANK","09-Jul-2008","25-Sep-2008","626","626","626","626","626","635.05","2","2.19","1575","350","        621.70"
"ICICIBANK","10-Jul-2008","31-Jul-2008","615.3","624","593.25","617.25","613.75","617.25","35490","37839.7","10178700","-205625","        616.90"
