"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"ICICIBANK","02-May-2016","26-May-2016","228.6","231.9","226.8","228.3","228.7","228.3","24924","96960.5","48393900","768400","        226.75"
"ICICIBANK","02-May-2016","30-Jun-2016","227.15","227.95","223.4","224.8","224.95","224.8","699","2675.28","2398700","632400","        226.75"
"ICICIBANK","02-May-2016","28-Jul-2016","230","230","224.8","226.15","226.1","226.15","37","209.39","95000","85000","        226.75"
"ICICIBANK","03-May-2016","26-May-2016","226.9","231.4","221.5","222.5","222.7","222.5","21150","81668.75","49743700","1349800","        221.10"
"ICICIBANK","03-May-2016","30-Jun-2016","224.65","227.75","218","218.95","218.75","218.95","1657","6308.81","3383000","984300","        221.10"
"ICICIBANK","03-May-2016","28-Jul-2016","229.9","229.9","220","220.3","220.1","220.3","28","156.93","110000","15000","        221.10"
"ICICIBANK","04-May-2016","26-May-2016","218.55","222.2","214.75","215.85","215.4","215.85","25178","93449.65","54449300","4705600","        214.45"
"ICICIBANK","04-May-2016","30-Jun-2016","216","218.3","211.15","212.3","212","212.3","747","2723.32","3881100","498100","        214.45"
"ICICIBANK","04-May-2016","28-Jul-2016","216","216.45","212.7","213.85","213","213.85","25","134.43","155000","45000","        214.45"
"ICICIBANK","05-May-2016","26-May-2016","216.6","221.25","215.2","216.05","215.8","216.05","17542","64859.04","55879000","1429700","        214.65"
"ICICIBANK","05-May-2016","30-Jun-2016","213","217.3","211.5","212.4","212.2","212.4","694","2523.4","4328200","447100","        214.65"
"ICICIBANK","05-May-2016","28-Jul-2016","213","216.4","213","214.65","214.55","214.65","14","75.36","170000","15000","        214.65"
"ICICIBANK","06-May-2016","26-May-2016","215","221.15","214.35","219.45","219.65","219.45","16534","61275.01","52635400","-3243600","        218.60"
"ICICIBANK","06-May-2016","30-Jun-2016","211.35","217.35","210.9","215.7","215.85","215.7","405","1475.2","4469300","141100","        218.60"
"ICICIBANK","06-May-2016","28-Jul-2016","214.85","218.85","214.85","216.7","216.65","216.7","8","43.4","180000","10000","        218.60"
