"Symbol","Date","Expiry","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Open Int","Change in OI","Underlying Value "
"ICICIBANK","01-Nov-2017","30-Nov-2017","302.35","317.8","302.15","312.4","312.6","312.4","28398","243803.86","81694250","1809500","        313.40"
"ICICIBANK","01-Nov-2017","28-Dec-2017","304.6","319","304.4","313.7","313.8","313.7","971","8398.49","3484250","1669250","        313.40"
"ICICIBANK","01-Nov-2017","25-Jan-2018","313.35","319.85","313.35","315.25","315.25","315.25","24","208.92","63250","16500","        313.40"
"ICICIBANK","02-Nov-2017","30-Nov-2017","312.6","319.1","310.65","315.45","314.8","315.45","16781","145805.36","85684500","3990250","        316.65"
"ICICIBANK","02-Nov-2017","28-Dec-2017","314","320.3","312.55","316.5","315.95","316.5","801","6987.15","5164500","1680250","        316.65"
"ICICIBANK","02-Nov-2017","25-Jan-2018","320","320","317.65","319.2","319.2","321.35","10","87.6","63250","0","        316.65"
"ICICIBANK","03-Nov-2017","30-Nov-2017","315.7","317.95","313.45","315.5","315.7","315.5","9280","80494.86","87777250","2092750","        315.90"
"ICICIBANK","03-Nov-2017","28-Dec-2017","317.85","318.6","314.9","316.9","317.4","316.9","255","2220.91","5483500","319000","        315.90"
"ICICIBANK","03-Nov-2017","25-Jan-2018","316.85","319.8","316.85","318.5","318.5","320.55","4","34.99","66000","2750","        315.90"
"ICICIBANK","06-Nov-2017","30-Nov-2017","313.45","319.65","311.05","315.4","314.8","315.4","10731","93128.83","89765500","1988250","        316.10"
"ICICIBANK","06-Nov-2017","28-Dec-2017","314.7","320.6","312.5","316.6","315.5","316.6","188","1636.63","5676000","192500","        316.10"
"ICICIBANK","06-Nov-2017","25-Jan-2018","316.75","321.15","314.25","319.6","319.6","320.55","11","96.16","82500","16500","        316.10"
"ICICIBANK","07-Nov-2017","30-Nov-2017","317.4","317.6","309.15","312.5","313","312.5","11784","101252.74","85511250","-4254250","        312.45"
"ICICIBANK","07-Nov-2017","28-Dec-2017","317.3","317.3","310.7","313.95","314.4","313.95","107","922.66","5662250","-13750","        312.45"
"ICICIBANK","07-Nov-2017","25-Jan-2018","317.45","317.45","312","312","312","316.8","7","60.55","93500","11000","        312.45"
"ICICIBANK","08-Nov-2017","30-Nov-2017","312.1","314.4","305","306.85","307.6","306.85","10899","92812.57","84686250","-825000","        305.50"
"ICICIBANK","08-Nov-2017","28-Dec-2017","312.35","315.45","306.45","307.5","308.35","307.5","371","3174.47","5937250","275000","        305.50"
"ICICIBANK","08-Nov-2017","25-Jan-2018","312.9","312.9","309.2","309.2","309.2","309.7","7","60","99000","5500","        305.50"
"ICICIBANK","09-Nov-2017","30-Nov-2017","308.6","315.2","307.85","312.3","312.5","312.3","10133","86739.99","86682750","1996500","        311.30"
